State_Code,Year,pH,EC_dS_m,Water_Holding_Cap,Organic_Matter_Pct,CEC,Bulk_Density,Clay_Pct,Sand_Pct,CaCO3_Pct
IN,2016,6.09,0.028,0.183,3.37,18.0,1.46,21.2,27.5,0
IN,2017,6.1,0.002,0.182,3.3,18.5,1.5,21.2,27.5,0
IN,2018,6.04,0.021,0.186,3.33,18.3,1.42,21.2,27.5,0
IN,2019,6.04,0.0,0.183,3.3,18.2,1.47,21.2,27.5,0
IN,2020,6.1,0.038,0.186,3.44,18.5,1.45,21.2,27.5,0
IN,2021,6.09,0.006,0.18,3.36,18.3,1.45,21.2,27.5,0
IN,2022,6.09,0.0,0.186,3.5,18.5,1.45,21.2,27.5,0
IN,2023,6.09,0.042,0.188,3.35,18.5,1.45,21.2,27.5,0
IN,2024,6.06,0.0,0.179,3.3,18.5,1.44,21.2,27.5,0
IN,2025,6.09,0.0,0.187,3.24,18.1,1.46,21.2,27.5,0
KS,2015,6.91,0.544,0.167,1.7,19.5,1.42,25.6,27.6,2
KS,2016,6.92,0.515,0.171,1.6,19.1,1.39,25.6,27.6,2
KS,2017,6.96,0.516,0.168,1.71,18.9,1.4,25.6,27.6,2
KS,2018,6.89,0.501,0.169,1.75,19.0,1.4,25.6,27.6,2
KS,2019,6.88,0.51,0.175,1.69,19.4,1.41,25.6,27.6,2
KS,2020,6.87,0.52,0.175,1.75,19.2,1.39,25.6,27.6,2
KS,2021,6.87,0.461,0.173,1.77,19.1,1.41,25.6,27.6,2
KS,2022,6.9,0.472,0.168,1.75,19.2,1.39,25.6,27.6,2
KS,2023,6.91,0.533,0.17,1.72,19.3,1.4,25.6,27.6,2
KS,2024,6.91,0.516,0.175,1.78,19.4,1.4,25.6,27.6,2
KS,2025,6.92,0.506,0.172,1.8,19.5,1.4,25.6,27.6,2
KY,2015,5.69,0.001,0.179,2.55,14.8,1.37,25.4,19.7,0
KY,2016,5.73,0.011,0.173,2.74,14.7,1.37,25.4,19.7,0
KY,2017,5.68,0.0,0.172,2.62,14.8,1.39,25.4,19.7,0
KY,2018,5.77,0.0,0.17,2.63,14.9,1.38,25.4,19.7,0
KY,2019,5.71,0.006,0.172,2.69,14.7,1.38,25.4,19.7,0
KY,2020,5.66,0.0,0.171,2.65,14.7,1.37,25.4,19.7,0
KY,2021,5.66,0.012,0.174,2.7,15.0,1.36,25.4,19.7,0
KY,2022,5.7,0.0,0.174,2.65,14.9,1.38,25.4,19.7,0
KY,2023,5.68,0.03,0.169,2.59,14.9,1.38,25.4,19.7,0
KY,2024,5.71,0.014,0.167,2.66,14.8,1.39,25.4,19.7,0
KY,2025,5.7,0.008,0.166,2.55,14.9,1.36,25.4,19.7,0
LA,2015,5.77,0.628,0.173,2.95,27.8,1.39,29.2,26.9,0
LA,2016,5.74,0.648,0.168,2.94,28.1,1.37,29.2,26.9,0
LA,2017,5.72,0.629,0.164,2.93,28.2,1.38,29.2,26.9,0
LA,2018,5.76,0.545,0.173,2.93,27.6,1.4,29.2,26.9,0
LA,2019,5.8,0.562,0.179,2.8,27.8,1.38,29.2,26.9,0
LA,2020,5.78,0.581,0.171,2.9,27.7,1.4,29.2,26.9,0
LA,2021,5.73,0.6,0.174,2.95,27.9,1.39,29.2,26.9,0
LA,2022,5.78,0.614,0.172,2.96,28.0,1.39,29.2,26.9,0
LA,2023,5.78,0.578,0.171,2.87,27.7,1.37,29.2,26.9,0
LA,2024,5.74,0.604,0.174,3.04,27.8,1.39,29.2,26.9,0
LA,2025,5.77,0.577,0.17,2.88,27.8,1.35,29.2,26.9,0
MA,2015,5.16,0.196,0.169,21.38,12.0,1.07,5.6,59.5,0
MA,2016,5.03,0.159,0.171,21.45,12.0,1.1,5.6,59.5,0
MA,2017,5.11,0.194,0.169,21.44,11.8,1.08,5.6,59.5,0
MA,2018,5.04,0.204,0.171,21.53,11.8,1.12,5.6,59.5,0
MA,2019,5.07,0.193,0.169,21.56,11.6,1.11,5.6,59.5,0
MA,2020,5.12,0.129,0.163,21.57,11.9,1.1,5.6,59.5,0
MA,2021,5.09,0.154,0.166,21.43,11.9,1.12,5.6,59.5,0
MA,2022,5.05,0.168,0.169,21.45,11.8,1.09,5.6,59.5,0
MA,2023,5.06,0.173,0.165,21.34,12.0,1.11,5.6,59.5,0
MA,2024,5.11,0.193,0.171,21.41,11.8,1.1,5.6,59.5,0
MA,2025,5.06,0.18,0.174,21.54,11.9,1.1,5.6,59.5,0
MD,2015,5.41,0.496,0.167,5.69,13.5,1.35,16.7,39.5,0
MD,2016,5.31,0.458,0.166,5.66,13.8,1.36,16.7,39.5,0
MD,2017,5.32,0.479,0.168,5.74,13.9,1.36,16.7,39.5,0
MD,2018,5.32,0.55,0.17,5.73,13.5,1.36,16.7,39.5,0
MD,2019,5.31,0.472,0.168,5.54,13.5,1.35,16.7,39.5,0
MD,2020,5.28,0.509,0.166,5.77,13.8,1.38,16.7,39.5,0
MD,2021,5.31,0.455,0.162,5.55,13.7,1.36,16.7,39.5,0
MD,2022,5.27,0.474,0.162,5.75,13.8,1.37,16.7,39.5,0
MD,2023,5.28,0.527,0.165,5.76,13.7,1.36,16.7,39.5,0
MD,2024,5.27,0.457,0.164,5.59,13.7,1.34,16.7,39.5,0
MD,2025,5.29,0.528,0.165,5.64,13.4,1.37,16.7,39.5,0
ME,2015,4.82,0.018,0.21,20.22,22.3,0.94,8.4,50.4,0
ME,2016,4.78,0.0,0.21,20.18,22.3,0.92,8.4,50.4,0
ME,2017,4.83,0.009,0.207,20.1,22.2,0.96,8.4,50.4,0
ME,2018,4.83,0.0,0.212,20.28,22.3,0.95,8.4,50.4,0
ME,2019,4.85,0.008,0.208,20.06,22.2,0.95,8.4,50.4,0
ME,2020,4.85,0.067,0.206,20.22,22.2,0.96,8.4,50.4,0
ME,2021,4.77,0.008,0.21,20.23,22.6,0.93,8.4,50.4,0
ME,2022,4.79,0.113,0.206,20.1,22.5,0.96,8.4,50.4,0
ME,2023,4.83,0.051,0.209,20.25,22.1,0.95,8.4,50.4,0
ME,2024,4.83,0.042,0.209,20.13,22.4,0.94,8.4,50.4,0
ME,2025,4.83,0.011,0.212,20.17,22.4,0.95,8.4,50.4,0
MI,2015,5.69,0.0,0.171,12.93,18.4,1.31,9.9,65.0,0
MI,2016,5.68,0.03,0.167,12.72,18.6,1.3,9.9,65.0,0
MI,2017,5.66,0.036,0.172,12.77,18.5,1.3,9.9,65.0,0
MI,2018,5.74,0.035,0.168,12.81,18.6,1.27,9.9,65.0,0
MI,2019,5.7,0.05,0.166,12.83,18.5,1.28,9.9,65.0,0
MI,2020,5.62,0.043,0.166,12.75,18.5,1.29,9.9,65.0,0
MI,2021,5.68,0.032,0.167,12.85,18.7,1.3,9.9,65.0,0
MI,2022,5.66,0.016,0.166,12.78,18.5,1.28,9.9,65.0,0
MI,2023,5.7,0.0,0.168,12.81,18.3,1.33,9.9,65.0,0
MI,2024,5.65,0.031,0.168,12.85,18.9,1.32,9.9,65.0,0
MI,2025,5.68,0.025,0.168,12.81,18.8,1.3,9.9,65.0,0
MN,2015,6.47,0.089,0.185,8.33,22.5,1.33,17.2,45.7,2
MN,2016,6.48,0.044,0.187,8.36,22.9,1.33,17.2,45.7,2
MN,2017,6.42,0.05,0.187,8.36,22.7,1.32,17.2,45.7,2
MN,2018,6.45,0.112,0.179,8.34,22.8,1.33,17.2,45.7,2
MN,2019,6.44,0.08,0.175,8.35,22.8,1.34,17.2,45.7,2
MN,2020,6.44,0.101,0.187,8.48,22.7,1.32,17.2,45.7,2
MN,2021,6.51,0.082,0.179,8.41,22.6,1.34,17.2,45.7,2
MN,2022,6.47,0.082,0.183,8.34,22.6,1.33,17.2,45.7,2
MN,2023,6.42,0.109,0.18,8.42,22.6,1.31,17.2,45.7,2
MN,2024,6.49,0.066,0.178,8.34,22.6,1.32,17.2,45.7,2
MN,2025,6.52,0.084,0.185,8.45,22.8,1.33,17.2,45.7,2
MO,2015,5.92,0.455,0.166,3.53,17.4,1.36,22.6,21.4,0
MO,2016,5.89,0.382,0.162,3.62,17.4,1.38,22.6,21.4,0
MO,2017,5.98,0.433,0.162,3.61,17.1,1.34,22.6,21.4,0
MO,2018,5.88,0.451,0.159,3.62,17.2,1.33,22.6,21.4,0
MO,2019,5.91,0.428,0.161,3.65,17.3,1.36,22.6,21.4,0
MO,2020,5.93,0.456,0.159,3.63,17.2,1.37,22.6,21.4,0
MO,2021,5.97,0.41,0.162,3.52,17.4,1.38,22.6,21.4,0
MO,2022,5.88,0.466,0.168,3.72,17.6,1.36,22.6,21.4,0
MO,2023,5.96,0.492,0.158,3.58,17.1,1.36,22.6,21.4,0
MO,2024,5.93,0.415,0.157,3.68,17.0,1.38,22.6,21.4,0
MO,2025,5.9,0.412,0.167,3.82,17.3,1.34,22.6,21.4,0
MS,2015,5.35,0.327,0.172,1.23,18.4,1.49,22.4,34.7,0
MS,2016,5.28,0.328,0.167,1.19,18.6,1.47,22.4,34.7,0
MS,2017,5.31,0.332,0.161,1.23,18.8,1.45,22.4,34.7,0
MS,2018,5.36,0.347,0.167,1.08,18.4,1.47,22.4,34.7,0
MS,2019,5.3,0.327,0.17,1.11,18.6,1.45,22.4,34.7,0
MS,2020,5.34,0.377,0.165,1.11,18.6,1.48,22.4,34.7,0
MS,2021,5.35,0.315,0.17,1.21,18.6,1.46,22.4,34.7,0
MS,2022,5.29,0.335,0.169,1.33,18.5,1.47,22.4,34.7,0
MS,2023,5.32,0.328,0.171,1.36,18.6,1.48,22.4,34.7,0
MS,2024,5.22,0.383,0.17,1.25,18.6,1.45,22.4,34.7,0
MS,2025,5.29,0.346,0.166,1.24,18.3,1.45,22.4,34.7,0
MT,2015,7.01,0.679,0.154,9.44,18.7,1.25,21.9,40.0,3
MT,2016,7.01,0.683,0.153,9.32,18.5,1.25,21.9,40.0,3
MT,2017,6.98,0.622,0.158,9.49,18.8,1.26,21.9,40.0,3
MT,2018,7.0,0.625,0.153,9.59,18.3,1.24,21.9,40.0,3
MT,2019,6.99,0.629,0.161,9.65,18.7,1.25,21.9,40.0,3
MT,2020,7.0,0.598,0.157,9.42,18.5,1.22,21.9,40.0,3
MT,2021,7.02,0.61,0.153,9.55,18.9,1.24,21.9,40.0,3
MT,2022,7.05,0.608,0.162,9.47,18.9,1.26,21.9,40.0,3
MT,2023,6.96,0.615,0.153,9.5,18.4,1.24,21.9,40.0,3
MT,2024,7.06,0.636,0.157,9.71,18.5,1.25,21.9,40.0,3
MT,2025,6.94,0.644,0.156,9.4,18.7,1.26,21.9,40.0,3
NC,2015,5.18,0.194,0.137,4.05,10.8,1.41,20.2,52.3,0
NC,2016,5.15,0.23,0.144,4.09,10.5,1.4,20.2,52.3,0
NC,2017,5.15,0.198,0.138,3.97,10.3,1.38,20.2,52.3,0
NC,2018,5.12,0.194,0.13,4.13,10.5,1.39,20.2,52.3,0
NC,2019,5.15,0.153,0.138,4.11,10.0,1.37,20.2,52.3,0
NC,2020,5.14,0.215,0.137,4.05,10.4,1.39,20.2,52.3,0
NC,2021,5.16,0.212,0.14,4.16,10.5,1.39,20.2,52.3,0
NC,2022,5.13,0.256,0.138,4.18,10.6,1.36,20.2,52.3,0
NC,2023,5.17,0.184,0.136,3.99,10.3,1.37,20.2,52.3,0
NC,2024,5.2,0.199,0.132,4.05,10.5,1.38,20.2,52.3,0
NC,2025,5.15,0.2,0.135,4.05,10.3,1.38,20.2,52.3,0
ND,2015,7.32,1.389,0.171,3.04,18.7,1.35,22.2,41.4,4
ND,2016,7.33,1.34,0.171,3.17,18.5,1.37,22.2,41.4,4
ND,2017,7.29,1.351,0.175,3.1,18.6,1.37,22.2,41.4,4
ND,2018,7.31,1.361,0.179,3.09,18.5,1.36,22.2,41.4,4
ND,2019,7.31,1.348,0.175,2.96,18.8,1.35,22.2,41.4,4
ND,2020,7.31,1.33,0.169,3.16,18.8,1.38,22.2,41.4,4
ND,2021,7.28,1.349,0.175,3.02,18.6,1.39,22.2,41.4,4
ND,2022,7.31,1.374,0.177,3.12,18.7,1.36,22.2,41.4,4
ND,2023,7.32,1.313,0.171,3.13,18.4,1.36,22.2,41.4,4
ND,2024,7.35,1.347,0.173,3.21,18.6,1.37,22.2,41.4,4
ND,2025,7.33,1.323,0.173,3.02,18.6,1.36,22.2,41.4,4
NE,2015,7.04,0.596,0.168,2.11,16.0,1.41,18.7,43.1,2
NE,2016,7.07,0.522,0.169,2.13,16.0,1.42,18.7,43.1,2
NE,2017,7.06,0.579,0.164,2.17,16.0,1.4,18.7,43.1,2
NE,2018,7.03,0.544,0.162,2.1,15.7,1.41,18.7,43.1,2
NE,2019,7.04,0.549,0.166,2.12,16.0,1.42,18.7,43.1,2
NE,2020,7.03,0.57,0.162,2.06,15.9,1.42,18.7,43.1,2
NE,2021,7.03,0.518,0.171,2.11,15.9,1.41,18.7,43.1,2
NE,2022,7.07,0.562,0.165,2.07,16.3,1.42,18.7,43.1,2
NE,2023,7.06,0.556,0.163,2.14,15.8,1.42,18.7,43.1,2
NE,2024,7.03,0.565,0.165,2.07,16.2,1.39,18.7,43.1,2
NE,2025,7.08,0.559,0.16,2.12,16.0,1.43,18.7,43.1,2
NH,2015,4.91,0.21,0.193,20.81,12.3,1.02,5.4,59.1,0
NH,2016,4.89,0.245,0.194,20.75,12.3,1.03,5.4,59.1,0
NH,2017,4.88,0.232,0.199,20.73,12.6,1.04,5.4,59.1,0
NH,2018,4.92,0.182,0.196,20.75,12.6,1.03,5.4,59.1,0
NH,2019,4.92,0.271,0.196,20.77,12.6,1.03,5.4,59.1,0
NH,2020,4.92,0.278,0.201,20.78,12.5,1.03,5.4,59.1,0
NH,2021,4.93,0.208,0.192,20.77,12.5,1.02,5.4,59.1,0
NH,2022,4.89,0.215,0.197,20.74,12.6,1.04,5.4,59.1,0
NH,2023,4.91,0.234,0.195,20.72,12.5,1.06,5.4,59.1,0
NH,2024,4.88,0.236,0.195,20.72,12.1,1.03,5.4,59.1,0
NH,2025,4.9,0.245,0.199,20.72,12.5,1.04,5.4,59.1,0
NJ,2015,5.14,0.751,0.167,10.14,21.4,1.27,13.6,50.5,0
NJ,2016,5.15,0.687,0.167,10.1,21.6,1.25,13.6,50.5,0
NJ,2017,5.16,0.669,0.169,9.83,22.1,1.29,13.6,50.5,0
NJ,2018,5.12,0.652,0.164,10.1,21.6,1.27,13.6,50.5,0
NJ,2019,5.21,0.671,0.163,10.07,21.5,1.29,13.6,50.5,0
NJ,2020,5.12,0.691,0.162,10.05,21.7,1.26,13.6,50.5,0
NJ,2021,5.11,0.745,0.159,10.02,21.7,1.29,13.6,50.5,0
NJ,2022,5.18,0.677,0.172,10.14,21.6,1.27,13.6,50.5,0
NJ,2023,5.17,0.699,0.162,10.12,21.7,1.27,13.6,50.5,0
NJ,2024,5.17,0.692,0.165,9.99,21.9,1.27,13.6,50.5,0
NJ,2025,5.17,0.727,0.165,10.08,21.4,1.26,13.6,50.5,0
NM,2015,7.54,1.863,0.134,3.11,16.2,1.41,21.6,49.3,5
NM,2016,7.51,1.773,0.136,3.08,16.0,1.39,21.6,49.3,5
NM,2017,7.54,1.775,0.136,3.13,16.2,1.36,21.6,49.3,5
NM,2018,7.52,1.819,0.131,3.25,16.0,1.38,21.6,49.3,5
