year,load_time,state_alpha,county_ansi,util_practice_desc,state_ansi,reference_period_desc,asd_desc,state_name,domain_desc,sector_desc,end_code,county_name,region_desc,prodn_practice_desc,domaincat_desc,class_desc,location_desc,agg_level_desc,asd_code,freq_desc,group_desc,Value,unit_desc,zip_5,statisticcat_desc,county_code,begin_code,week_ending,watershed_desc,country_name,short_desc,state_fips_code,commodity_desc,source_desc,watershed_code,congr_district_code,CV (%),country_code
2017,2018-02-01 00:00:00.000,IA,059,GRAIN,19,YEAR,NORTHWEST,IOWA,TOTAL,CROPS,00,DICKINSON,,IRRIGATED,NOT SPECIFIED,ALL CLASSES,"IOWA, NORTHWEST, DICKINSON",COUNTY,10,ANNUAL,FIELD CROPS,785,ACRES,,AREA HARVESTED,059,00,,,UNITED STATES,"CORN, GRAIN, IRRIGATED - ACRES HARVESTED",19,CORN,CENSUS,00000000,,25.6,9000
2012,2012-12-31 00:00:00.000,IA,059,GRAIN,19,YEAR,NORTHWEST,IOWA,TOTAL,CROPS,00,DICKINSON,,IRRIGATED,NOT SPECIFIED,ALL CLASSES,"IOWA, NORTHWEST, DICKINSON",COUNTY,10,ANNUAL,FIELD CROPS,744,ACRES,,AREA HARVESTED,059,00,,,UNITED STATES,"CORN, GRAIN, IRRIGATED - ACRES HARVESTED",19,CORN,CENSUS,00000000,,13.0,9000
2007,2012-01-01 00:00:00.000,IA,059,GRAIN,19,YEAR,NORTHWEST,IOWA,TOTAL,CROPS,00,DICKINSON,,IRRIGATED,NOT SPECIFIED,ALL CLASSES,"IOWA, NORTHWEST, DICKINSON",COUNTY,10,ANNUAL,FIELD CROPS,840,ACRES,,AREA HARVESTED,059,00,,,UNITED STATES,"CORN, GRAIN, IRRIGATED - ACRES HARVESTED",19,CORN,CENSUS,00000000,,,9000
2002,2012-01-01 00:00:00.000,IA,059,GRAIN,19,YEAR,NORTHWEST,IOWA,TOTAL,CROPS,00,DICKINSON,,IRRIGATED,NOT SPECIFIED,ALL CLASSES,"IOWA, NORTHWEST, DICKINSON",COUNTY,10,ANNUAL,FIELD CROPS,                 (D),ACRES,,AREA HARVESTED,059,00,,,UNITED STATES,"CORN, GRAIN, IRRIGATED - ACRES HARVESTED",19,CORN,CENSUS,00000000,,,9000
2022,2024-07-02 12:00:00.000,IA,063,GRAIN,19,YEAR,NORTHWEST,IOWA,TOTAL,CROPS,00,EMMET,,IRRIGATED,NOT SPECIFIED,ALL CLASSES,"IOWA, NORTHWEST, EMMET",COUNTY,10,ANNUAL,FIELD CROPS,                 (D),ACRES,,AREA HARVESTED,063,00,,,UNITED STATES,"CORN, GRAIN, IRRIGATED - ACRES HARVESTED",19,CORN,CENSUS,00000000,,(D),9000
2017,2018-02-01 00:00:00.000,IA,063,GRAIN,19,YEAR,NORTHWEST,IOWA,TOTAL,CROPS,00,EMMET,,IRRIGATED,NOT SPECIFIED,ALL CLASSES,"IOWA, NORTHWEST, EMMET",COUNTY,10,ANNUAL,FIELD CROPS,727,ACRES,,AREA HARVESTED,063,00,,,UNITED STATES,"CORN, GRAIN, IRRIGATED - ACRES HARVESTED",19,CORN,CENSUS,00000000,,25.6,9000
2012,2012-12-31 00:00:00.000,IA,063,GRAIN,19,YEAR,NORTHWEST,IOWA,TOTAL,CROPS,00,EMMET,,IRRIGATED,NOT SPECIFIED,ALL CLASSES,"IOWA, NORTHWEST, EMMET",COUNTY,10,ANNUAL,FIELD CROPS,201,ACRES,,AREA HARVESTED,063,00,,,UNITED STATES,"CORN, GRAIN, IRRIGATED - ACRES HARVESTED",19,CORN,CENSUS,00000000,,13.0,9000
2002,2012-01-01 00:00:00.000,IA,063,GRAIN,19,YEAR,NORTHWEST,IOWA,TOTAL,CROPS,00,EMMET,,IRRIGATED,NOT SPECIFIED,ALL CLASSES,"IOWA, NORTHWEST, EMMET",COUNTY,10,ANNUAL,FIELD CROPS,                 (D),ACRES,,AREA HARVESTED,063,00,,,UNITED STATES,"CORN, GRAIN, IRRIGATED - ACRES HARVESTED",19,CORN,CENSUS,00000000,,,9000
2022,2024-07-02 12:00:00.000,IA,119,GRAIN,19,YEAR,NORTHWEST,IOWA,TOTAL,CROPS,00,LYON,,IRRIGATED,NOT SPECIFIED,ALL CLASSES,"IOWA, NORTHWEST, LYON",COUNTY,10,ANNUAL,FIELD CROPS,196,ACRES,,AREA HARVESTED,119,00,,,UNITED STATES,"CORN, GRAIN, IRRIGATED - ACRES HARVESTED",19,CORN,CENSUS,00000000,,(L),9000
2017,2018-02-01 00:00:00.000,IA,119,GRAIN,19,YEAR,NORTHWEST,IOWA,TOTAL,CROPS,00,LYON,,IRRIGATED,NOT SPECIFIED,ALL CLASSES,"IOWA, NORTHWEST, LYON",COUNTY,10,ANNUAL,FIELD CROPS,822,ACRES,,AREA HARVESTED,119,00,,,UNITED STATES,"CORN, GRAIN, IRRIGATED - ACRES HARVESTED",19,CORN,CENSUS,00000000,,25.6,9000
2012,2012-12-31 00:00:00.000,IA,119,GRAIN,19,YEAR,NORTHWEST,IOWA,TOTAL,CROPS,00,LYON,,IRRIGATED,NOT SPECIFIED,ALL CLASSES,"IOWA, NORTHWEST, LYON",COUNTY,10,ANNUAL,FIELD CROPS,"1,071",ACRES,,AREA HARVESTED,119,00,,,UNITED STATES,"CORN, GRAIN, IRRIGATED - ACRES HARVESTED",19,CORN,CENSUS,00000000,,13.0,9000
2007,2012-01-01 00:00:00.000,IA,119,GRAIN,19,YEAR,NORTHWEST,IOWA,TOTAL,CROPS,00,LYON,,IRRIGATED,NOT SPECIFIED,ALL CLASSES,"IOWA, NORTHWEST, LYON",COUNTY,10,ANNUAL,FIELD CROPS,681,ACRES,,AREA HARVESTED,119,00,,,UNITED STATES,"CORN, GRAIN, IRRIGATED - ACRES HARVESTED",19,CORN,CENSUS,00000000,,,9000
2002,2012-01-01 00:00:00.000,IA,119,GRAIN,19,YEAR,NORTHWEST,IOWA,TOTAL,CROPS,00,LYON,,IRRIGATED,NOT SPECIFIED,ALL CLASSES,"IOWA, NORTHWEST, LYON",COUNTY,10,ANNUAL,FIELD CROPS,254,ACRES,,AREA HARVESTED,119,00,,,UNITED STATES,"CORN, GRAIN, IRRIGATED - ACRES HARVESTED",19,CORN,CENSUS,00000000,,,9000
2022,2024-07-02 12:00:00.000,IA,141,GRAIN,19,YEAR,NORTHWEST,IOWA,TOTAL,CROPS,00,O BRIEN,,IRRIGATED,NOT SPECIFIED,ALL CLASSES,"IOWA, NORTHWEST, O BRIEN",COUNTY,10,ANNUAL,FIELD CROPS,                 (D),ACRES,,AREA HARVESTED,141,00,,,UNITED STATES,"CORN, GRAIN, IRRIGATED - ACRES HARVESTED",19,CORN,CENSUS,00000000,,(D),9000
2017,2018-02-01 00:00:00.000,IA,141,GRAIN,19,YEAR,NORTHWEST,IOWA,TOTAL,CROPS,00,O BRIEN,,IRRIGATED,NOT SPECIFIED,ALL CLASSES,"IOWA, NORTHWEST, O BRIEN",COUNTY,10,ANNUAL,FIELD CROPS,                 (D),ACRES,,AREA HARVESTED,141,00,,,UNITED STATES,"CORN, GRAIN, IRRIGATED - ACRES HARVESTED",19,CORN,CENSUS,00000000,,(D),9000
2012,2012-12-31 00:00:00.000,IA,141,GRAIN,19,YEAR,NORTHWEST,IOWA,TOTAL,CROPS,00,O BRIEN,,IRRIGATED,NOT SPECIFIED,ALL CLASSES,"IOWA, NORTHWEST, O BRIEN",COUNTY,10,ANNUAL,FIELD CROPS,431,ACRES,,AREA HARVESTED,141,00,,,UNITED STATES,"CORN, GRAIN, IRRIGATED - ACRES HARVESTED",19,CORN,CENSUS,00000000,,13.0,9000
2007,2012-01-01 00:00:00.000,IA,141,GRAIN,19,YEAR,NORTHWEST,IOWA,TOTAL,CROPS,00,O BRIEN,,IRRIGATED,NOT SPECIFIED,ALL CLASSES,"IOWA, NORTHWEST, O BRIEN",COUNTY,10,ANNUAL,FIELD CROPS,                 (D),ACRES,,AREA HARVESTED,141,00,,,UNITED STATES,"CORN, GRAIN, IRRIGATED - ACRES HARVESTED",19,CORN,CENSUS,00000000,,,9000
2002,2012-01-01 00:00:00.000,IA,141,GRAIN,19,YEAR,NORTHWEST,IOWA,TOTAL,CROPS,00,O BRIEN,,IRRIGATED,NOT SPECIFIED,ALL CLASSES,"IOWA, NORTHWEST, O BRIEN",COUNTY,10,ANNUAL,FIELD CROPS,                 (D),ACRES,,AREA HARVESTED,141,00,,,UNITED STATES,"CORN, GRAIN, IRRIGATED - ACRES HARVESTED",19,CORN,CENSUS,00000000,,,9000
2022,2024-07-02 12:00:00.000,IA,143,GRAIN,19,YEAR,NORTHWEST,IOWA,TOTAL,CROPS,00,OSCEOLA,,IRRIGATED,NOT SPECIFIED,ALL CLASSES,"IOWA, NORTHWEST, OSCEOLA",COUNTY,10,ANNUAL,FIELD CROPS,975,ACRES,,AREA HARVESTED,143,00,,,UNITED STATES,"CORN, GRAIN, IRRIGATED - ACRES HARVESTED",19,CORN,CENSUS,00000000,,18.8,9000
2017,2018-02-01 00:00:00.000,IA,143,GRAIN,19,YEAR,NORTHWEST,IOWA,TOTAL,CROPS,00,OSCEOLA,,IRRIGATED,NOT SPECIFIED,ALL CLASSES,"IOWA, NORTHWEST, OSCEOLA",COUNTY,10,ANNUAL,FIELD CROPS,"1,117",ACRES,,AREA HARVESTED,143,00,,,UNITED STATES,"CORN, GRAIN, IRRIGATED - ACRES HARVESTED",19,CORN,CENSUS,00000000,,25.6,9000
2012,2012-12-31 00:00:00.000,IA,143,GRAIN,19,YEAR,NORTHWEST,IOWA,TOTAL,CROPS,00,OSCEOLA,,IRRIGATED,NOT SPECIFIED,ALL CLASSES,"IOWA, NORTHWEST, OSCEOLA",COUNTY,10,ANNUAL,FIELD CROPS,"1,057",ACRES,,AREA HARVESTED,143,00,,,UNITED STATES,"CORN, GRAIN, IRRIGATED - ACRES HARVESTED",19,CORN,CENSUS,00000000,,13.0,9000
2007,2012-01-01 00:00:00.000,IA,143,GRAIN,19,YEAR,NORTHWEST,IOWA,TOTAL,CROPS,00,OSCEOLA,,IRRIGATED,NOT SPECIFIED,ALL CLASSES,"IOWA, NORTHWEST, OSCEOLA",COUNTY,10,ANNUAL,FIELD CROPS,"1,478",ACRES,,AREA HARVESTED,143,00,,,UNITED STATES,"CORN, GRAIN, IRRIGATED - ACRES HARVESTED",19,CORN,CENSUS,00000000,,,9000
2002,2012-01-01 00:00:00.000,IA,143,GRAIN,19,YEAR,NORTHWEST,IOWA,TOTAL,CROPS,00,OSCEOLA,,IRRIGATED,NOT SPECIFIED,ALL CLASSES,"IOWA, NORTHWEST, OSCEOLA",COUNTY,10,ANNUAL,FIELD CROPS,941,ACRES,,AREA HARVESTED,143,00,,,UNITED STATES,"CORN, GRAIN, IRRIGATED - ACRES HARVESTED",19,CORN,CENSUS,00000000,,,9000
2022,2024-07-02 12:00:00.000,IA,147,GRAIN,19,YEAR,NORTHWEST,IOWA,TOTAL,CROPS,00,PALO ALTO,,IRRIGATED,NOT SPECIFIED,ALL CLASSES,"IOWA, NORTHWEST, PALO ALTO",COUNTY,10,ANNUAL,FIELD CROPS,"6,813",ACRES,,AREA HARVESTED,147,00,,,UNITED STATES,"CORN, GRAIN, IRRIGATED - ACRES HARVESTED",19,CORN,CENSUS,00000000,,18.8,9000
2017,2018-02-01 00:00:00.000,IA,147,GRAIN,19,YEAR,NORTHWEST,IOWA,TOTAL,CROPS,00,PALO ALTO,,IRRIGATED,NOT SPECIFIED,ALL CLASSES,"IOWA, NORTHWEST, PALO ALTO",COUNTY,10,ANNUAL,FIELD CROPS,"4,896",ACRES,,AREA HARVESTED,147,00,,,UNITED STATES,"CORN, GRAIN, IRRIGATED - ACRES HARVESTED",19,CORN,CENSUS,00000000,,25.6,9000
2012,2012-12-31 00:00:00.000,IA,147,GRAIN,19,YEAR,NORTHWEST,IOWA,TOTAL,CROPS,00,PALO ALTO,,IRRIGATED,NOT SPECIFIED,ALL CLASSES,"IOWA, NORTHWEST, PALO ALTO",COUNTY,10,ANNUAL,FIELD CROPS,"3,455",ACRES,,AREA HARVESTED,147,00,,,UNITED STATES,"CORN, GRAIN, IRRIGATED - ACRES HARVESTED",19,CORN,CENSUS,00000000,,13.0,9000
2007,2012-01-01 00:00:00.000,IA,147,GRAIN,19,YEAR,NORTHWEST,IOWA,TOTAL,CROPS,00,PALO ALTO,,IRRIGATED,NOT SPECIFIED,ALL CLASSES,"IOWA, NORTHWEST, PALO ALTO",COUNTY,10,ANNUAL,FIELD CROPS,"3,671",ACRES,,AREA HARVESTED,147,00,,,UNITED STATES,"CORN, GRAIN, IRRIGATED - ACRES HARVESTED",19,CORN,CENSUS,00000000,,,9000
2002,2012-01-01 00:00:00.000,IA,147,GRAIN,19,YEAR,NORTHWEST,IOWA,TOTAL,CROPS,00,PALO ALTO,,IRRIGATED,NOT SPECIFIED,ALL CLASSES,"IOWA, NORTHWEST, PALO ALTO",COUNTY,10,ANNUAL,FIELD CROPS,"3,015",ACRES,,AREA HARVESTED,147,00,,,UNITED STATES,"CORN, GRAIN, IRRIGATED - ACRES HARVESTED",19,CORN,CENSUS,00000000,,,9000
2022,2024-07-02 12:00:00.000,IA,149,GRAIN,19,YEAR,NORTHWEST,IOWA,TOTAL,CROPS,00,PLYMOUTH,,IRRIGATED,NOT SPECIFIED,ALL CLASSES,"IOWA, NORTHWEST, PLYMOUTH",COUNTY,10,ANNUAL,FIELD CROPS,751,ACRES,,AREA HARVESTED,149,00,,,UNITED STATES,"CORN, GRAIN, IRRIGATED - ACRES HARVESTED",19,CORN,CENSUS,00000000,,18.8,9000
2017,2018-02-01 00:00:00.000,IA,149,GRAIN,19,YEAR,NORTHWEST,IOWA,TOTAL,CROPS,00,PLYMOUTH,,IRRIGATED,NOT SPECIFIED,ALL CLASSES,"IOWA, NORTHWEST, PLYMOUTH",COUNTY,10,ANNUAL,FIELD CROPS,"1,817",ACRES,,AREA HARVESTED,149,00,,,UNITED STATES,"CORN, GRAIN, IRRIGATED - ACRES HARVESTED",19,CORN,CENSUS,00000000,,25.6,9000
2012,2012-12-31 00:00:00.000,IA,149,GRAIN,19,YEAR,NORTHWEST,IOWA,TOTAL,CROPS,00,PLYMOUTH,,IRRIGATED,NOT SPECIFIED,ALL CLASSES,"IOWA, NORTHWEST, PLYMOUTH",COUNTY,10,ANNUAL,FIELD CROPS,"1,420",ACRES,,AREA HARVESTED,149,00,,,UNITED STATES,"CORN, GRAIN, IRRIGATED - ACRES HARVESTED",19,CORN,CENSUS,00000000,,13.0,9000
2007,2012-01-01 00:00:00.000,IA,149,GRAIN,19,YEAR,NORTHWEST,IOWA,TOTAL,CROPS,00,PLYMOUTH,,IRRIGATED,NOT SPECIFIED,ALL CLASSES,"IOWA, NORTHWEST, PLYMOUTH",COUNTY,10,ANNUAL,FIELD CROPS,"2,417",ACRES,,AREA HARVESTED,149,00,,,UNITED STATES,"CORN, GRAIN, IRRIGATED - ACRES HARVESTED",19,CORN,CENSUS,00000000,,,9000
2002,2012-01-01 00:00:00.000,IA,149,GRAIN,19,YEAR,NORTHWEST,IOWA,TOTAL,CROPS,00,PLYMOUTH,,IRRIGATED,NOT SPECIFIED,ALL CLASSES,"IOWA, NORTHWEST, PLYMOUTH",COUNTY,10,ANNUAL,FIELD CROPS,"1,400",ACRES,,AREA HARVESTED,149,00,,,UNITED STATES,"CORN, GRAIN, IRRIGATED - ACRES HARVESTED",19,CORN,CENSUS,00000000,,,9000
2022,2024-07-02 12:00:00.000,IA,151,GRAIN,19,YEAR,NORTHWEST,IOWA,TOTAL,CROPS,00,POCAHONTAS,,IRRIGATED,NOT SPECIFIED,ALL CLASSES,"IOWA, NORTHWEST, POCAHONTAS",COUNTY,10,ANNUAL,FIELD CROPS,263,ACRES,,AREA HARVESTED,151,00,,,UNITED STATES,"CORN, GRAIN, IRRIGATED - ACRES HARVESTED",19,CORN,CENSUS,00000000,,18.8,9000
2017,2018-02-01 00:00:00.000,IA,151,GRAIN,19,YEAR,NORTHWEST,IOWA,TOTAL,CROPS,00,POCAHONTAS,,IRRIGATED,NOT SPECIFIED,ALL CLASSES,"IOWA, NORTHWEST, POCAHONTAS",COUNTY,10,ANNUAL,FIELD CROPS,175,ACRES,,AREA HARVESTED,151,00,,,UNITED STATES,"CORN, GRAIN, IRRIGATED - ACRES HARVESTED",19,CORN,CENSUS,00000000,,25.6,9000
2012,2012-12-31 00:00:00.000,IA,151,GRAIN,19,YEAR,NORTHWEST,IOWA,TOTAL,CROPS,00,POCAHONTAS,,IRRIGATED,NOT SPECIFIED,ALL CLASSES,"IOWA, NORTHWEST, POCAHONTAS",COUNTY,10,ANNUAL,FIELD CROPS,383,ACRES,,AREA HARVESTED,151,00,,,UNITED STATES,"CORN, GRAIN, IRRIGATED - ACRES HARVESTED",19,CORN,CENSUS,00000000,,13.0,9000
2007,2012-01-01 00:00:00.000,IA,151,GRAIN,19,YEAR,NORTHWEST,IOWA,TOTAL,CROPS,00,POCAHONTAS,,IRRIGATED,NOT SPECIFIED,ALL CLASSES,"IOWA, NORTHWEST, POCAHONTAS",COUNTY,10,ANNUAL,FIELD CROPS,                 (D),ACRES,,AREA HARVESTED,151,00,,,UNITED STATES,"CORN, GRAIN, IRRIGATED - ACRES HARVESTED",19,CORN,CENSUS,00000000,,,9000
2022,2024-07-02 12:00:00.000,IA,167,GRAIN,19,YEAR,NORTHWEST,IOWA,TOTAL,CROPS,00,SIOUX,,IRRIGATED,NOT SPECIFIED,ALL CLASSES,"IOWA, NORTHWEST, SIOUX",COUNTY,10,ANNUAL,FIELD CROPS,"8,466",ACRES,,AREA HARVESTED,167,00,,,UNITED STATES,"CORN, GRAIN, IRRIGATED - ACRES HARVESTED",19,CORN,CENSUS,00000000,,18.8,9000
2017,2018-02-01 00:00:00.000,IA,167,GRAIN,19,YEAR,NORTHWEST,IOWA,TOTAL,CROPS,00,SIOUX,,IRRIGATED,NOT SPECIFIED,ALL CLASSES,"IOWA, NORTHWEST, SIOUX",COUNTY,10,ANNUAL,FIELD CROPS,"6,066",ACRES,,AREA HARVESTED,167,00,,,UNITED STATES,"CORN, GRAIN, IRRIGATED - ACRES HARVESTED",19,CORN,CENSUS,00000000,,25.6,9000
2012,2012-12-31 00:00:00.000,IA,167,GRAIN,19,YEAR,NORTHWEST,IOWA,TOTAL,CROPS,00,SIOUX,,IRRIGATED,NOT SPECIFIED,ALL CLASSES,"IOWA, NORTHWEST, SIOUX",COUNTY,10,ANNUAL,FIELD CROPS,"5,033",ACRES,,AREA HARVESTED,167,00,,,UNITED STATES,"CORN, GRAIN, IRRIGATED - ACRES HARVESTED",19,CORN,CENSUS,00000000,,13.0,9000
2007,2012-01-01 00:00:00.000,IA,167,GRAIN,19,YEAR,NORTHWEST,IOWA,TOTAL,CROPS,00,SIOUX,,IRRIGATED,NOT SPECIFIED,ALL CLASSES,"IOWA, NORTHWEST, SIOUX",COUNTY,10,ANNUAL,FIELD CROPS,"6,092",ACRES,,AREA HARVESTED,167,00,,,UNITED STATES,"CORN, GRAIN, IRRIGATED - ACRES HARVESTED",19,CORN,CENSUS,00000000,,,9000
2002,2012-01-01 00:00:00.000,IA,167,GRAIN,19,YEAR,NORTHWEST,IOWA,TOTAL,CROPS,00,SIOUX,,IRRIGATED,NOT SPECIFIED,ALL CLASSES,"IOWA, NORTHWEST, SIOUX",COUNTY,10,ANNUAL,FIELD CROPS,"5,404",ACRES,,AREA HARVESTED,167,00,,,UNITED STATES,"CORN, GRAIN, IRRIGATED - ACRES HARVESTED",19,CORN,CENSUS,00000000,,,9000
2022,2024-07-02 12:00:00.000,IA,023,GRAIN,19,YEAR,NORTH CENTRAL,IOWA,TOTAL,CROPS,00,BUTLER,,IRRIGATED,NOT SPECIFIED,ALL CLASSES,"IOWA, NORTH CENTRAL, BUTLER",COUNTY,20,ANNUAL,FIELD CROPS,989,ACRES,,AREA HARVESTED,023,00,,,UNITED STATES,"CORN, GRAIN, IRRIGATED - ACRES HARVESTED",19,CORN,CENSUS,00000000,,18.8,9000
2017,2018-02-01 00:00:00.000,IA,023,GRAIN,19,YEAR,NORTH CENTRAL,IOWA,TOTAL,CROPS,00,BUTLER,,IRRIGATED,NOT SPECIFIED,ALL CLASSES,"IOWA, NORTH CENTRAL, BUTLER",COUNTY,20,ANNUAL,FIELD CROPS,"1,326",ACRES,,AREA HARVESTED,023,00,,,UNITED STATES,"CORN, GRAIN, IRRIGATED - ACRES HARVESTED",19,CORN,CENSUS,00000000,,25.6,9000
2012,2012-12-31 00:00:00.000,IA,023,GRAIN,19,YEAR,NORTH CENTRAL,IOWA,TOTAL,CROPS,00,BUTLER,,IRRIGATED,NOT SPECIFIED,ALL CLASSES,"IOWA, NORTH CENTRAL, BUTLER",COUNTY,20,ANNUAL,FIELD CROPS,344,ACRES,,AREA HARVESTED,023,00,,,UNITED STATES,"CORN, GRAIN, IRRIGATED - ACRES HARVESTED",19,CORN,CENSUS,00000000,,13.0,9000
2007,2012-01-01 00:00:00.000,IA,023,GRAIN,19,YEAR,NORTH CENTRAL,IOWA,TOTAL,CROPS,00,BUTLER,,IRRIGATED,NOT SPECIFIED,ALL CLASSES,"IOWA, NORTH CENTRAL, BUTLER",COUNTY,20,ANNUAL,FIELD CROPS,                 (D),ACRES,,AREA HARVESTED,023,00,,,UNITED STATES,"CORN, GRAIN, IRRIGATED - ACRES HARVESTED",19,CORN,CENSUS,00000000,,,9000
2002,2012-01-01 00:00:00.000,IA,023,GRAIN,19,YEAR,NORTH CENTRAL,IOWA,TOTAL,CROPS,00,BUTLER,,IRRIGATED,NOT SPECIFIED,ALL CLASSES,"IOWA, NORTH CENTRAL, BUTLER",COUNTY,20,ANNUAL,FIELD CROPS,                 (D),ACRES,,AREA HARVESTED,023,00,,,UNITED STATES,"CORN, GRAIN, IRRIGATED - ACRES HARVESTED",19,CORN,CENSUS,00000000,,,9000
2022,2024-07-02 12:00:00.000,IA,033,GRAIN,19,YEAR,NORTH CENTRAL,IOWA,TOTAL,CROPS,00,CERRO GORDO,,IRRIGATED,NOT SPECIFIED,ALL CLASSES,"IOWA, NORTH CENTRAL, CERRO GORDO",COUNTY,20,ANNUAL,FIELD CROPS,412,ACRES,,AREA HARVESTED,033,00,,,UNITED STATES,"CORN, GRAIN, IRRIGATED - ACRES HARVESTED",19,CORN,CENSUS,00000000,,18.8,9000
