reference_period_desc,asd_code,year,zip_5,sector_desc,state_ansi,begin_code,location_desc,Value,unit_desc,watershed_code,domain_desc,country_code,freq_desc,end_code,group_desc,county_ansi,commodity_desc,asd_desc,agg_level_desc,state_alpha,source_desc,domaincat_desc,state_name,congr_district_code,county_code,CV (%),short_desc,week_ending,prodn_practice_desc,state_fips_code,statisticcat_desc,region_desc,country_name,load_time,class_desc,county_name,util_practice_desc,watershed_desc
YEAR - NOV FORECAST,,2021,,CROPS,19,00,IOWA,"31,800",PLANTS / ACRE,00000000,TOTAL,9000,ANNUAL,00,FIELD CROPS,,CORN,,STATE,IA,SURVEY,NOT SPECIFIED,IOWA,,,,"CORN, GRAIN - PLANT POPULATION, MEASURED IN PLANTS / ACRE",,ALL PRODUCTION PRACTICES,19,PLANT POPULATION,,UNITED STATES,2021-11-09 12:02:06.000,ALL CLASSES,,GRAIN,
YEAR - OCT FORECAST,,2021,,CROPS,19,00,IOWA,"31,850",PLANTS / ACRE,00000000,TOTAL,9000,ANNUAL,00,FIELD CROPS,,CORN,,STATE,IA,SURVEY,NOT SPECIFIED,IOWA,,,,"CORN, GRAIN - PLANT POPULATION, MEASURED IN PLANTS / ACRE",,ALL PRODUCTION PRACTICES,19,PLANT POPULATION,,UNITED STATES,2021-10-12 12:01:38.000,ALL CLASSES,,GRAIN,
YEAR - SEP FORECAST,,2021,,CROPS,19,00,IOWA,"31,850",PLANTS / ACRE,00000000,TOTAL,9000,ANNUAL,00,FIELD CROPS,,CORN,,STATE,IA,SURVEY,NOT SPECIFIED,IOWA,,,,"CORN, GRAIN - PLANT POPULATION, MEASURED IN PLANTS / ACRE",,ALL PRODUCTION PRACTICES,19,PLANT POPULATION,,UNITED STATES,2021-09-10 12:08:17.000,ALL CLASSES,,GRAIN,
YEAR,,2020,,CROPS,19,00,IOWA,"31,050",PLANTS / ACRE,00000000,TOTAL,9000,ANNUAL,00,FIELD CROPS,,CORN,,STATE,IA,SURVEY,NOT SPECIFIED,IOWA,,,,"CORN, GRAIN - PLANT POPULATION, MEASURED IN PLANTS / ACRE",,ALL PRODUCTION PRACTICES,19,PLANT POPULATION,,UNITED STATES,2021-01-12 12:02:26.000,ALL CLASSES,,GRAIN,
YEAR - NOV FORECAST,,2020,,CROPS,19,00,IOWA,"31,050",PLANTS / ACRE,00000000,TOTAL,9000,ANNUAL,00,FIELD CROPS,,CORN,,STATE,IA,SURVEY,NOT SPECIFIED,IOWA,,,,"CORN, GRAIN - PLANT POPULATION, MEASURED IN PLANTS / ACRE",,ALL PRODUCTION PRACTICES,19,PLANT POPULATION,,UNITED STATES,2020-11-10 12:02:34.000,ALL CLASSES,,GRAIN,
YEAR - OCT FORECAST,,2020,,CROPS,19,00,IOWA,"31,000",PLANTS / ACRE,00000000,TOTAL,9000,ANNUAL,00,FIELD CROPS,,CORN,,STATE,IA,SURVEY,NOT SPECIFIED,IOWA,,,,"CORN, GRAIN - PLANT POPULATION, MEASURED IN PLANTS / ACRE",,ALL PRODUCTION PRACTICES,19,PLANT POPULATION,,UNITED STATES,2020-10-09 12:01:33.000,ALL CLASSES,,GRAIN,
YEAR - SEP FORECAST,,2020,,CROPS,19,00,IOWA,"31,050",PLANTS / ACRE,00000000,TOTAL,9000,ANNUAL,00,FIELD CROPS,,CORN,,STATE,IA,SURVEY,NOT SPECIFIED,IOWA,,,,"CORN, GRAIN - PLANT POPULATION, MEASURED IN PLANTS / ACRE",,ALL PRODUCTION PRACTICES,19,PLANT POPULATION,,UNITED STATES,2020-09-11 12:03:32.000,ALL CLASSES,,GRAIN,
YEAR,,2019,,CROPS,19,00,IOWA,"30,750",PLANTS / ACRE,00000000,TOTAL,9000,ANNUAL,00,FIELD CROPS,,CORN,,STATE,IA,SURVEY,NOT SPECIFIED,IOWA,,,,"CORN, GRAIN - PLANT POPULATION, MEASURED IN PLANTS / ACRE",,ALL PRODUCTION PRACTICES,19,PLANT POPULATION,,UNITED STATES,2020-01-10 12:00:41.000,ALL CLASSES,,GRAIN,
YEAR - NOV FORECAST,,2019,,CROPS,19,00,IOWA,"30,750",PLANTS / ACRE,00000000,TOTAL,9000,ANNUAL,00,FIELD CROPS,,CORN,,STATE,IA,SURVEY,NOT SPECIFIED,IOWA,,,,"CORN, GRAIN - PLANT POPULATION, MEASURED IN PLANTS / ACRE",,ALL PRODUCTION PRACTICES,19,PLANT POPULATION,,UNITED STATES,2019-11-08 12:00:46.000,ALL CLASSES,,GRAIN,
YEAR - OCT FORECAST,,2019,,CROPS,19,00,IOWA,"30,800",PLANTS / ACRE,00000000,TOTAL,9000,ANNUAL,00,FIELD CROPS,,CORN,,STATE,IA,SURVEY,NOT SPECIFIED,IOWA,,,,"CORN, GRAIN - PLANT POPULATION, MEASURED IN PLANTS / ACRE",,ALL PRODUCTION PRACTICES,19,PLANT POPULATION,,UNITED STATES,2019-10-10 12:03:54.000,ALL CLASSES,,GRAIN,
YEAR - SEP FORECAST,,2019,,CROPS,19,00,IOWA,"30,850",PLANTS / ACRE,00000000,TOTAL,9000,ANNUAL,00,FIELD CROPS,,CORN,,STATE,IA,SURVEY,NOT SPECIFIED,IOWA,,,,"CORN, GRAIN - PLANT POPULATION, MEASURED IN PLANTS / ACRE",,ALL PRODUCTION PRACTICES,19,PLANT POPULATION,,UNITED STATES,2019-09-12 12:01:19.000,ALL CLASSES,,GRAIN,
YEAR,,2018,,CROPS,19,00,IOWA,"31,100",PLANTS / ACRE,00000000,TOTAL,9000,ANNUAL,00,FIELD CROPS,,CORN,,STATE,IA,SURVEY,NOT SPECIFIED,IOWA,,,,"CORN, GRAIN - PLANT POPULATION, MEASURED IN PLANTS / ACRE",,ALL PRODUCTION PRACTICES,19,PLANT POPULATION,,UNITED STATES,2019-02-08 12:04:51.000,ALL CLASSES,,GRAIN,
YEAR - NOV FORECAST,,2018,,CROPS,19,00,IOWA,"31,100",PLANTS / ACRE,00000000,TOTAL,9000,ANNUAL,00,FIELD CROPS,,CORN,,STATE,IA,SURVEY,NOT SPECIFIED,IOWA,,,,"CORN, GRAIN - PLANT POPULATION, MEASURED IN PLANTS / ACRE",,ALL PRODUCTION PRACTICES,19,PLANT POPULATION,,UNITED STATES,2018-11-08 12:01:20.000,ALL CLASSES,,GRAIN,
YEAR - OCT FORECAST,,2018,,CROPS,19,00,IOWA,"31,150",PLANTS / ACRE,00000000,TOTAL,9000,ANNUAL,00,FIELD CROPS,,CORN,,STATE,IA,SURVEY,NOT SPECIFIED,IOWA,,,,"CORN, GRAIN - PLANT POPULATION, MEASURED IN PLANTS / ACRE",,ALL PRODUCTION PRACTICES,19,PLANT POPULATION,,UNITED STATES,2018-10-11 12:02:09.000,ALL CLASSES,,GRAIN,
YEAR - SEP FORECAST,,2018,,CROPS,19,00,IOWA,"31,350",PLANTS / ACRE,00000000,TOTAL,9000,ANNUAL,00,FIELD CROPS,,CORN,,STATE,IA,SURVEY,NOT SPECIFIED,IOWA,,,,"CORN, GRAIN - PLANT POPULATION, MEASURED IN PLANTS / ACRE",,ALL PRODUCTION PRACTICES,19,PLANT POPULATION,,UNITED STATES,2018-09-12 12:02:09.000,ALL CLASSES,,GRAIN,
YEAR,,2017,,CROPS,19,00,IOWA,"31,150",PLANTS / ACRE,00000000,TOTAL,9000,ANNUAL,00,FIELD CROPS,,CORN,,STATE,IA,SURVEY,NOT SPECIFIED,IOWA,,,,"CORN, GRAIN - PLANT POPULATION, MEASURED IN PLANTS / ACRE",,ALL PRODUCTION PRACTICES,19,PLANT POPULATION,,UNITED STATES,2018-01-12 12:02:42.000,ALL CLASSES,,GRAIN,
YEAR - NOV FORECAST,,2017,,CROPS,19,00,IOWA,"31,150",PLANTS / ACRE,00000000,TOTAL,9000,ANNUAL,00,FIELD CROPS,,CORN,,STATE,IA,SURVEY,NOT SPECIFIED,IOWA,,,,"CORN, GRAIN - PLANT POPULATION, MEASURED IN PLANTS / ACRE",,ALL PRODUCTION PRACTICES,19,PLANT POPULATION,,UNITED STATES,2017-11-09 12:02:08.000,ALL CLASSES,,GRAIN,
YEAR - OCT FORECAST,,2017,,CROPS,19,00,IOWA,"31,150",PLANTS / ACRE,00000000,TOTAL,9000,ANNUAL,00,FIELD CROPS,,CORN,,STATE,IA,SURVEY,NOT SPECIFIED,IOWA,,,,"CORN, GRAIN - PLANT POPULATION, MEASURED IN PLANTS / ACRE",,ALL PRODUCTION PRACTICES,19,PLANT POPULATION,,UNITED STATES,2017-10-12 12:04:13.000,ALL CLASSES,,GRAIN,
YEAR - SEP FORECAST,,2017,,CROPS,19,00,IOWA,"31,300",PLANTS / ACRE,00000000,TOTAL,9000,ANNUAL,00,FIELD CROPS,,CORN,,STATE,IA,SURVEY,NOT SPECIFIED,IOWA,,,,"CORN, GRAIN - PLANT POPULATION, MEASURED IN PLANTS / ACRE",,ALL PRODUCTION PRACTICES,19,PLANT POPULATION,,UNITED STATES,2017-09-12 12:01:44.000,ALL CLASSES,,GRAIN,
YEAR,,2016,,CROPS,19,00,IOWA,"31,050",PLANTS / ACRE,00000000,TOTAL,9000,ANNUAL,00,FIELD CROPS,,CORN,,STATE,IA,SURVEY,NOT SPECIFIED,IOWA,,,,"CORN, GRAIN - PLANT POPULATION, MEASURED IN PLANTS / ACRE",,ALL PRODUCTION PRACTICES,19,PLANT POPULATION,,UNITED STATES,2017-01-12 12:05:05.000,ALL CLASSES,,GRAIN,
YEAR - NOV FORECAST,,2016,,CROPS,19,00,IOWA,"31,050",PLANTS / ACRE,00000000,TOTAL,9000,ANNUAL,00,FIELD CROPS,,CORN,,STATE,IA,SURVEY,NOT SPECIFIED,IOWA,,,,"CORN, GRAIN - PLANT POPULATION, MEASURED IN PLANTS / ACRE",,ALL PRODUCTION PRACTICES,19,PLANT POPULATION,,UNITED STATES,2016-11-09 13:11:41.000,ALL CLASSES,,GRAIN,
YEAR - OCT FORECAST,,2016,,CROPS,19,00,IOWA,"31,050",PLANTS / ACRE,00000000,TOTAL,9000,ANNUAL,00,FIELD CROPS,,CORN,,STATE,IA,SURVEY,NOT SPECIFIED,IOWA,,,,"CORN, GRAIN - PLANT POPULATION, MEASURED IN PLANTS / ACRE",,ALL PRODUCTION PRACTICES,19,PLANT POPULATION,,UNITED STATES,2016-10-12 12:00:00.000,ALL CLASSES,,GRAIN,
YEAR - SEP FORECAST,,2016,,CROPS,19,00,IOWA,"31,250",PLANTS / ACRE,00000000,TOTAL,9000,ANNUAL,00,FIELD CROPS,,CORN,,STATE,IA,SURVEY,NOT SPECIFIED,IOWA,,,,"CORN, GRAIN - PLANT POPULATION, MEASURED IN PLANTS / ACRE",,ALL PRODUCTION PRACTICES,19,PLANT POPULATION,,UNITED STATES,2016-09-15 16:56:41.000,ALL CLASSES,,GRAIN,
YEAR,,2015,,CROPS,19,00,IOWA,"31,450",PLANTS / ACRE,00000000,TOTAL,9000,ANNUAL,00,FIELD CROPS,,CORN,,STATE,IA,SURVEY,NOT SPECIFIED,IOWA,,,,"CORN, GRAIN - PLANT POPULATION, MEASURED IN PLANTS / ACRE",,ALL PRODUCTION PRACTICES,19,PLANT POPULATION,,UNITED STATES,2016-05-10 15:27:43.000,ALL CLASSES,,GRAIN,
YEAR - NOV FORECAST,,2015,,CROPS,19,00,IOWA,"31,450",PLANTS / ACRE,00000000,TOTAL,9000,ANNUAL,00,FIELD CROPS,,CORN,,STATE,IA,SURVEY,NOT SPECIFIED,IOWA,,,,"CORN, GRAIN - PLANT POPULATION, MEASURED IN PLANTS / ACRE",,ALL PRODUCTION PRACTICES,19,PLANT POPULATION,,UNITED STATES,2016-05-10 15:27:43.000,ALL CLASSES,,GRAIN,
YEAR - OCT FORECAST,,2015,,CROPS,19,00,IOWA,"31,450",PLANTS / ACRE,00000000,TOTAL,9000,ANNUAL,00,FIELD CROPS,,CORN,,STATE,IA,SURVEY,NOT SPECIFIED,IOWA,,,,"CORN, GRAIN - PLANT POPULATION, MEASURED IN PLANTS / ACRE",,ALL PRODUCTION PRACTICES,19,PLANT POPULATION,,UNITED STATES,2016-05-10 15:27:43.000,ALL CLASSES,,GRAIN,
YEAR - SEP FORECAST,,2015,,CROPS,19,00,IOWA,"31,500",PLANTS / ACRE,00000000,TOTAL,9000,ANNUAL,00,FIELD CROPS,,CORN,,STATE,IA,SURVEY,NOT SPECIFIED,IOWA,,,,"CORN, GRAIN - PLANT POPULATION, MEASURED IN PLANTS / ACRE",,ALL PRODUCTION PRACTICES,19,PLANT POPULATION,,UNITED STATES,2015-09-15 15:52:06.000,ALL CLASSES,,GRAIN,
YEAR,,2014,,CROPS,19,00,IOWA,"30,800",PLANTS / ACRE,00000000,TOTAL,9000,ANNUAL,00,FIELD CROPS,,CORN,,STATE,IA,SURVEY,NOT SPECIFIED,IOWA,,,,"CORN, GRAIN - PLANT POPULATION, MEASURED IN PLANTS / ACRE",,ALL PRODUCTION PRACTICES,19,PLANT POPULATION,,UNITED STATES,2015-06-24 14:04:29.000,ALL CLASSES,,GRAIN,
YEAR - NOV FORECAST,,2014,,CROPS,19,00,IOWA,"30,800",PLANTS / ACRE,00000000,TOTAL,9000,ANNUAL,00,FIELD CROPS,,CORN,,STATE,IA,SURVEY,NOT SPECIFIED,IOWA,,,,"CORN, GRAIN - PLANT POPULATION, MEASURED IN PLANTS / ACRE",,ALL PRODUCTION PRACTICES,19,PLANT POPULATION,,UNITED STATES,2015-06-24 14:04:29.000,ALL CLASSES,,GRAIN,
YEAR - OCT FORECAST,,2014,,CROPS,19,00,IOWA,"30,800",PLANTS / ACRE,00000000,TOTAL,9000,ANNUAL,00,FIELD CROPS,,CORN,,STATE,IA,SURVEY,NOT SPECIFIED,IOWA,,,,"CORN, GRAIN - PLANT POPULATION, MEASURED IN PLANTS / ACRE",,ALL PRODUCTION PRACTICES,19,PLANT POPULATION,,UNITED STATES,2015-06-24 14:04:29.000,ALL CLASSES,,GRAIN,
YEAR - SEP FORECAST,,2014,,CROPS,19,00,IOWA,"30,850",PLANTS / ACRE,00000000,TOTAL,9000,ANNUAL,00,FIELD CROPS,,CORN,,STATE,IA,SURVEY,NOT SPECIFIED,IOWA,,,,"CORN, GRAIN - PLANT POPULATION, MEASURED IN PLANTS / ACRE",,ALL PRODUCTION PRACTICES,19,PLANT POPULATION,,UNITED STATES,2015-06-24 14:04:29.000,ALL CLASSES,,GRAIN,
YEAR,,2013,,CROPS,19,00,IOWA,"30,050",PLANTS / ACRE,00000000,TOTAL,9000,ANNUAL,00,FIELD CROPS,,CORN,,STATE,IA,SURVEY,NOT SPECIFIED,IOWA,,,,"CORN, GRAIN - PLANT POPULATION, MEASURED IN PLANTS / ACRE",,ALL PRODUCTION PRACTICES,19,PLANT POPULATION,,UNITED STATES,2015-06-24 14:04:29.000,ALL CLASSES,,GRAIN,
YEAR - NOV FORECAST,,2013,,CROPS,19,00,IOWA,"30,000",PLANTS / ACRE,00000000,TOTAL,9000,ANNUAL,00,FIELD CROPS,,CORN,,STATE,IA,SURVEY,NOT SPECIFIED,IOWA,,,,"CORN, GRAIN - PLANT POPULATION, MEASURED IN PLANTS / ACRE",,ALL PRODUCTION PRACTICES,19,PLANT POPULATION,,UNITED STATES,2015-06-24 14:04:29.000,ALL CLASSES,,GRAIN,
YEAR - SEP FORECAST,,2013,,CROPS,19,00,IOWA,"30,250",PLANTS / ACRE,00000000,TOTAL,9000,ANNUAL,00,FIELD CROPS,,CORN,,STATE,IA,SURVEY,NOT SPECIFIED,IOWA,,,,"CORN, GRAIN - PLANT POPULATION, MEASURED IN PLANTS / ACRE",,ALL PRODUCTION PRACTICES,19,PLANT POPULATION,,UNITED STATES,2015-06-24 14:04:29.000,ALL CLASSES,,GRAIN,
YEAR,,2012,,CROPS,19,00,IOWA,"30,100",PLANTS / ACRE,00000000,TOTAL,9000,ANNUAL,00,FIELD CROPS,,CORN,,STATE,IA,SURVEY,NOT SPECIFIED,IOWA,,,,"CORN, GRAIN - PLANT POPULATION, MEASURED IN PLANTS / ACRE",,ALL PRODUCTION PRACTICES,19,PLANT POPULATION,,UNITED STATES,2015-06-24 14:04:29.000,ALL CLASSES,,GRAIN,
YEAR - NOV FORECAST,,2012,,CROPS,19,00,IOWA,"30,100",PLANTS / ACRE,00000000,TOTAL,9000,ANNUAL,00,FIELD CROPS,,CORN,,STATE,IA,SURVEY,NOT SPECIFIED,IOWA,,,,"CORN, GRAIN - PLANT POPULATION, MEASURED IN PLANTS / ACRE",,ALL PRODUCTION PRACTICES,19,PLANT POPULATION,,UNITED STATES,2015-06-24 14:04:29.000,ALL CLASSES,,GRAIN,
YEAR - OCT FORECAST,,2012,,CROPS,19,00,IOWA,"30,100",PLANTS / ACRE,00000000,TOTAL,9000,ANNUAL,00,FIELD CROPS,,CORN,,STATE,IA,SURVEY,NOT SPECIFIED,IOWA,,,,"CORN, GRAIN - PLANT POPULATION, MEASURED IN PLANTS / ACRE",,ALL PRODUCTION PRACTICES,19,PLANT POPULATION,,UNITED STATES,2015-06-24 14:04:29.000,ALL CLASSES,,GRAIN,
YEAR - SEP FORECAST,,2012,,CROPS,19,00,IOWA,"30,150",PLANTS / ACRE,00000000,TOTAL,9000,ANNUAL,00,FIELD CROPS,,CORN,,STATE,IA,SURVEY,NOT SPECIFIED,IOWA,,,,"CORN, GRAIN - PLANT POPULATION, MEASURED IN PLANTS / ACRE",,ALL PRODUCTION PRACTICES,19,PLANT POPULATION,,UNITED STATES,2015-06-24 14:04:29.000,ALL CLASSES,,GRAIN,
YEAR,,2011,,CROPS,19,00,IOWA,"30,750",PLANTS / ACRE,00000000,TOTAL,9000,ANNUAL,00,FIELD CROPS,,CORN,,STATE,IA,SURVEY,NOT SPECIFIED,IOWA,,,,"CORN, GRAIN - PLANT POPULATION, MEASURED IN PLANTS / ACRE",,ALL PRODUCTION PRACTICES,19,PLANT POPULATION,,UNITED STATES,2015-06-24 14:04:29.000,ALL CLASSES,,GRAIN,
YEAR - NOV FORECAST,,2011,,CROPS,19,00,IOWA,"30,750",PLANTS / ACRE,00000000,TOTAL,9000,ANNUAL,00,FIELD CROPS,,CORN,,STATE,IA,SURVEY,NOT SPECIFIED,IOWA,,,,"CORN, GRAIN - PLANT POPULATION, MEASURED IN PLANTS / ACRE",,ALL PRODUCTION PRACTICES,19,PLANT POPULATION,,UNITED STATES,2015-06-24 14:04:29.000,ALL CLASSES,,GRAIN,
YEAR - OCT FORECAST,,2011,,CROPS,19,00,IOWA,"30,750",PLANTS / ACRE,00000000,TOTAL,9000,ANNUAL,00,FIELD CROPS,,CORN,,STATE,IA,SURVEY,NOT SPECIFIED,IOWA,,,,"CORN, GRAIN - PLANT POPULATION, MEASURED IN PLANTS / ACRE",,ALL PRODUCTION PRACTICES,19,PLANT POPULATION,,UNITED STATES,2015-06-24 14:04:29.000,ALL CLASSES,,GRAIN,
YEAR - SEP FORECAST,,2011,,CROPS,19,00,IOWA,"30,850",PLANTS / ACRE,00000000,TOTAL,9000,ANNUAL,00,FIELD CROPS,,CORN,,STATE,IA,SURVEY,NOT SPECIFIED,IOWA,,,,"CORN, GRAIN - PLANT POPULATION, MEASURED IN PLANTS / ACRE",,ALL PRODUCTION PRACTICES,19,PLANT POPULATION,,UNITED STATES,2015-06-24 14:04:29.000,ALL CLASSES,,GRAIN,
YEAR,,2010,,CROPS,19,00,IOWA,"29,950",PLANTS / ACRE,00000000,TOTAL,9000,ANNUAL,00,FIELD CROPS,,CORN,,STATE,IA,SURVEY,NOT SPECIFIED,IOWA,,,,"CORN, GRAIN - PLANT POPULATION, MEASURED IN PLANTS / ACRE",,ALL PRODUCTION PRACTICES,19,PLANT POPULATION,,UNITED STATES,2015-06-24 14:04:29.000,ALL CLASSES,,GRAIN,
