short_desc,watershed_desc,country_name,commodity_desc,source_desc,state_fips_code,watershed_code,congr_district_code,CV (%),country_code,zip_5,statisticcat_desc,begin_code,county_code,week_ending,asd_code,group_desc,freq_desc,Value,unit_desc,prodn_practice_desc,domaincat_desc,location_desc,class_desc,agg_level_desc,end_code,county_name,region_desc,asd_desc,state_name,domain_desc,sector_desc,state_ansi,reference_period_desc,year,load_time,state_alpha,county_ansi,util_practice_desc
"PRACTICES, LAND USE, CROPLAND, CONSERVATION TILLAGE, (EXCL NO-TILL) - ACRES",,UNITED STATES,PRACTICES,CENSUS,19,00000000,,7.5,9000,,AREA,00,,,,FARMS & LAND & ASSETS,ANNUAL,"292,633",ACRES,"CONSERVATION TILLAGE, (EXCL NO-TILL)","OPERATORS, PRINCIPAL: (PRIMARY OCCUPATION, FARMING, AGE 25 TO 34)",IOWA,"LAND USE, CROPLAND",STATE,00,,,,IOWA,"OPERATORS, PRINCIPAL",DEMOGRAPHICS,19,YEAR,2012,2012-12-31 00:00:00.000,IA,,ALL UTILIZATION PRACTICES
"PRACTICES, LAND USE, CROPLAND, CONSERVATION TILLAGE, (EXCL NO-TILL) - ACRES",,UNITED STATES,PRACTICES,CENSUS,19,00000000,,5.5,9000,,AREA,00,,,,FARMS & LAND & ASSETS,ANNUAL,"730,415",ACRES,"CONSERVATION TILLAGE, (EXCL NO-TILL)","OPERATORS, PRINCIPAL: (PRIMARY OCCUPATION, FARMING, AGE 35 TO 44)",IOWA,"LAND USE, CROPLAND",STATE,00,,,,IOWA,"OPERATORS, PRINCIPAL",DEMOGRAPHICS,19,YEAR,2012,2012-12-31 00:00:00.000,IA,,ALL UTILIZATION PRACTICES
"PRACTICES, LAND USE, CROPLAND, CONSERVATION TILLAGE, (EXCL NO-TILL) - ACRES",,UNITED STATES,PRACTICES,CENSUS,19,00000000,,2.9,9000,,AREA,00,,,,FARMS & LAND & ASSETS,ANNUAL,"2,375,013",ACRES,"CONSERVATION TILLAGE, (EXCL NO-TILL)","OPERATORS, PRINCIPAL: (PRIMARY OCCUPATION, FARMING, AGE 45 TO 54)",IOWA,"LAND USE, CROPLAND",STATE,00,,,,IOWA,"OPERATORS, PRINCIPAL",DEMOGRAPHICS,19,YEAR,2012,2012-12-31 00:00:00.000,IA,,ALL UTILIZATION PRACTICES
"PRACTICES, LAND USE, CROPLAND, CONSERVATION TILLAGE, (EXCL NO-TILL) - ACRES",,UNITED STATES,PRACTICES,CENSUS,19,00000000,,2.7,9000,,AREA,00,,,,FARMS & LAND & ASSETS,ANNUAL,"2,887,945",ACRES,"CONSERVATION TILLAGE, (EXCL NO-TILL)","OPERATORS, PRINCIPAL: (PRIMARY OCCUPATION, FARMING, AGE 55 TO 64)",IOWA,"LAND USE, CROPLAND",STATE,00,,,,IOWA,"OPERATORS, PRINCIPAL",DEMOGRAPHICS,19,YEAR,2012,2012-12-31 00:00:00.000,IA,,ALL UTILIZATION PRACTICES
"PRACTICES, LAND USE, CROPLAND, CONSERVATION TILLAGE, (EXCL NO-TILL) - ACRES",,UNITED STATES,PRACTICES,CENSUS,19,00000000,,4.9,9000,,AREA,00,,,,FARMS & LAND & ASSETS,ANNUAL,"1,614,469",ACRES,"CONSERVATION TILLAGE, (EXCL NO-TILL)","OPERATORS, PRINCIPAL: (PRIMARY OCCUPATION, FARMING, AGE GE 65)",IOWA,"LAND USE, CROPLAND",STATE,00,,,,IOWA,"OPERATORS, PRINCIPAL",DEMOGRAPHICS,19,YEAR,2012,2012-12-31 00:00:00.000,IA,,ALL UTILIZATION PRACTICES
"PRACTICES, LAND USE, CROPLAND, CONSERVATION TILLAGE, (EXCL NO-TILL) - ACRES",,UNITED STATES,PRACTICES,CENSUS,19,00000000,,18.5,9000,,AREA,00,,,,FARMS & LAND & ASSETS,ANNUAL,"21,245",ACRES,"CONSERVATION TILLAGE, (EXCL NO-TILL)","OPERATORS, PRINCIPAL: (PRIMARY OCCUPATION, FARMING, AGE LT 25)",IOWA,"LAND USE, CROPLAND",STATE,00,,,,IOWA,"OPERATORS, PRINCIPAL",DEMOGRAPHICS,19,YEAR,2012,2012-12-31 00:00:00.000,IA,,ALL UTILIZATION PRACTICES
"PRACTICES, LAND USE, CROPLAND, CONSERVATION TILLAGE, (EXCL NO-TILL) - ACRES",,UNITED STATES,PRACTICES,CENSUS,19,00000000,,1.1,9000,,AREA,00,,,,FARMS & LAND & ASSETS,ANNUAL,"8,170,027",ACRES,"CONSERVATION TILLAGE, (EXCL NO-TILL)","OPERATORS, PRINCIPAL, ON PRESENT OPERATION: (11 OR MORE YEARS)",IOWA,"LAND USE, CROPLAND",STATE,00,,,,IOWA,"OPERATORS, PRINCIPAL, ON PRESENT OPERATION",DEMOGRAPHICS,19,YEAR,2012,2012-12-31 00:00:00.000,IA,,ALL UTILIZATION PRACTICES
"PRACTICES, LAND USE, CROPLAND, CONSERVATION TILLAGE, (EXCL NO-TILL) - ACRES",,UNITED STATES,PRACTICES,CENSUS,19,00000000,,6.7,9000,,AREA,00,,,,FARMS & LAND & ASSETS,ANNUAL,"355,759",ACRES,"CONSERVATION TILLAGE, (EXCL NO-TILL)","OPERATORS, PRINCIPAL, ON PRESENT OPERATION: (6 TO 10 YEARS)",IOWA,"LAND USE, CROPLAND",STATE,00,,,,IOWA,"OPERATORS, PRINCIPAL, ON PRESENT OPERATION",DEMOGRAPHICS,19,YEAR,2012,2012-12-31 00:00:00.000,IA,,ALL UTILIZATION PRACTICES
"PRACTICES, LAND USE, CROPLAND, CONSERVATION TILLAGE, (EXCL NO-TILL) - ACRES",,UNITED STATES,PRACTICES,CENSUS,19,00000000,,10.8,9000,,AREA,00,,,,FARMS & LAND & ASSETS,ANNUAL,"234,562",ACRES,"CONSERVATION TILLAGE, (EXCL NO-TILL)","OPERATORS, PRINCIPAL, ON PRESENT OPERATION: (LESS THAN 6 YEARS)",IOWA,"LAND USE, CROPLAND",STATE,00,,,,IOWA,"OPERATORS, PRINCIPAL, ON PRESENT OPERATION",DEMOGRAPHICS,19,YEAR,2012,2012-12-31 00:00:00.000,IA,,ALL UTILIZATION PRACTICES
"PRACTICES, LAND USE, CROPLAND, CONSERVATION TILLAGE, (EXCL NO-TILL) - ACRES",,UNITED STATES,PRACTICES,CENSUS,19,00000000,,4.3,9000,,AREA,00,,,,FARMS & LAND & ASSETS,ANNUAL,"1,981,589",ACRES,"CONSERVATION TILLAGE, (EXCL NO-TILL)","ORGANIZATION: (TAX PURPOSES, CORPORATION)",IOWA,"LAND USE, CROPLAND",STATE,00,,,,IOWA,ORGANIZATION,DEMOGRAPHICS,19,YEAR,2022,2024-07-02 12:00:00.000,IA,,ALL UTILIZATION PRACTICES
"PRACTICES, LAND USE, CROPLAND, CONSERVATION TILLAGE, (EXCL NO-TILL) - ACRES",,UNITED STATES,PRACTICES,CENSUS,19,00000000,,4.8,9000,,AREA,00,,,,FARMS & LAND & ASSETS,ANNUAL,"2,175,135",ACRES,"CONSERVATION TILLAGE, (EXCL NO-TILL)","ORGANIZATION: (TAX PURPOSES, CORPORATION)",IOWA,"LAND USE, CROPLAND",STATE,00,,,,IOWA,ORGANIZATION,DEMOGRAPHICS,19,YEAR,2017,2018-02-01 00:00:00.000,IA,,ALL UTILIZATION PRACTICES
"PRACTICES, LAND USE, CROPLAND, CONSERVATION TILLAGE, (EXCL NO-TILL) - ACRES",,UNITED STATES,PRACTICES,CENSUS,19,00000000,,3.0,9000,,AREA,00,,,,FARMS & LAND & ASSETS,ANNUAL,"1,758,534",ACRES,"CONSERVATION TILLAGE, (EXCL NO-TILL)","ORGANIZATION: (TAX PURPOSES, CORPORATION)",IOWA,"LAND USE, CROPLAND",STATE,00,,,,IOWA,ORGANIZATION,DEMOGRAPHICS,19,YEAR,2012,2012-12-31 00:00:00.000,IA,,ALL UTILIZATION PRACTICES
"PRACTICES, LAND USE, CROPLAND, CONSERVATION TILLAGE, (EXCL NO-TILL) - ACRES",,UNITED STATES,PRACTICES,CENSUS,19,00000000,,8.8,9000,,AREA,00,,,,FARMS & LAND & ASSETS,ANNUAL,"61,851",ACRES,"CONSERVATION TILLAGE, (EXCL NO-TILL)","ORGANIZATION: (TAX PURPOSES, CORPORATION, (EXCL FAMILY HELD))",IOWA,"LAND USE, CROPLAND",STATE,00,,,,IOWA,ORGANIZATION,DEMOGRAPHICS,19,YEAR,2022,2024-07-02 12:00:00.000,IA,,ALL UTILIZATION PRACTICES
"PRACTICES, LAND USE, CROPLAND, CONSERVATION TILLAGE, (EXCL NO-TILL) - ACRES",,UNITED STATES,PRACTICES,CENSUS,19,00000000,,23.8,9000,,AREA,00,,,,FARMS & LAND & ASSETS,ANNUAL,"50,494",ACRES,"CONSERVATION TILLAGE, (EXCL NO-TILL)","ORGANIZATION: (TAX PURPOSES, CORPORATION, (EXCL FAMILY HELD))",IOWA,"LAND USE, CROPLAND",STATE,00,,,,IOWA,ORGANIZATION,DEMOGRAPHICS,19,YEAR,2017,2018-02-01 00:00:00.000,IA,,ALL UTILIZATION PRACTICES
"PRACTICES, LAND USE, CROPLAND, CONSERVATION TILLAGE, (EXCL NO-TILL) - ACRES",,UNITED STATES,PRACTICES,CENSUS,19,00000000,,19.9,9000,,AREA,00,,,,FARMS & LAND & ASSETS,ANNUAL,"52,846",ACRES,"CONSERVATION TILLAGE, (EXCL NO-TILL)","ORGANIZATION: (TAX PURPOSES, CORPORATION, (EXCL FAMILY HELD))",IOWA,"LAND USE, CROPLAND",STATE,00,,,,IOWA,ORGANIZATION,DEMOGRAPHICS,19,YEAR,2012,2012-12-31 00:00:00.000,IA,,ALL UTILIZATION PRACTICES
"PRACTICES, LAND USE, CROPLAND, CONSERVATION TILLAGE, (EXCL NO-TILL) - ACRES",,UNITED STATES,PRACTICES,CENSUS,19,00000000,,10.5,9000,,AREA,00,,,,FARMS & LAND & ASSETS,ANNUAL,"52,931",ACRES,"CONSERVATION TILLAGE, (EXCL NO-TILL)","ORGANIZATION: (TAX PURPOSES, CORPORATION, (EXCL FAMILY HELD), LE 10 STOCKHOLDERS)",IOWA,"LAND USE, CROPLAND",STATE,00,,,,IOWA,ORGANIZATION,DEMOGRAPHICS,19,YEAR,2022,2024-07-02 12:00:00.000,IA,,ALL UTILIZATION PRACTICES
"PRACTICES, LAND USE, CROPLAND, CONSERVATION TILLAGE, (EXCL NO-TILL) - ACRES",,UNITED STATES,PRACTICES,CENSUS,19,00000000,,(D),9000,,AREA,00,,,,FARMS & LAND & ASSETS,ANNUAL,                 (D),ACRES,"CONSERVATION TILLAGE, (EXCL NO-TILL)","ORGANIZATION: (TAX PURPOSES, CORPORATION, (EXCL FAMILY HELD), LE 10 STOCKHOLDERS)",IOWA,"LAND USE, CROPLAND",STATE,00,,,,IOWA,ORGANIZATION,DEMOGRAPHICS,19,YEAR,2017,2018-02-01 00:00:00.000,IA,,ALL UTILIZATION PRACTICES
"PRACTICES, LAND USE, CROPLAND, CONSERVATION TILLAGE, (EXCL NO-TILL) - ACRES",,UNITED STATES,PRACTICES,CENSUS,19,00000000,,32.2,9000,,AREA,00,,,,FARMS & LAND & ASSETS,ANNUAL,"41,171",ACRES,"CONSERVATION TILLAGE, (EXCL NO-TILL)","ORGANIZATION: (TAX PURPOSES, CORPORATION, (EXCL FAMILY HELD), LE 10 STOCKHOLDERS)",IOWA,"LAND USE, CROPLAND",STATE,00,,,,IOWA,ORGANIZATION,DEMOGRAPHICS,19,YEAR,2012,2012-12-31 00:00:00.000,IA,,ALL UTILIZATION PRACTICES
"PRACTICES, LAND USE, CROPLAND, CONSERVATION TILLAGE, (EXCL NO-TILL) - ACRES",,UNITED STATES,PRACTICES,CENSUS,19,00000000,,4.5,9000,,AREA,00,,,,FARMS & LAND & ASSETS,ANNUAL,"1,919,738",ACRES,"CONSERVATION TILLAGE, (EXCL NO-TILL)","ORGANIZATION: (TAX PURPOSES, CORPORATION, FAMILY HELD)",IOWA,"LAND USE, CROPLAND",STATE,00,,,,IOWA,ORGANIZATION,DEMOGRAPHICS,19,YEAR,2022,2024-07-02 12:00:00.000,IA,,ALL UTILIZATION PRACTICES
"PRACTICES, LAND USE, CROPLAND, CONSERVATION TILLAGE, (EXCL NO-TILL) - ACRES",,UNITED STATES,PRACTICES,CENSUS,19,00000000,,5.0,9000,,AREA,00,,,,FARMS & LAND & ASSETS,ANNUAL,"2,124,641",ACRES,"CONSERVATION TILLAGE, (EXCL NO-TILL)","ORGANIZATION: (TAX PURPOSES, CORPORATION, FAMILY HELD)",IOWA,"LAND USE, CROPLAND",STATE,00,,,,IOWA,ORGANIZATION,DEMOGRAPHICS,19,YEAR,2017,2018-02-01 00:00:00.000,IA,,ALL UTILIZATION PRACTICES
"PRACTICES, LAND USE, CROPLAND, CONSERVATION TILLAGE, (EXCL NO-TILL) - ACRES",,UNITED STATES,PRACTICES,CENSUS,19,00000000,,2.7,9000,,AREA,00,,,,FARMS & LAND & ASSETS,ANNUAL,"1,705,688",ACRES,"CONSERVATION TILLAGE, (EXCL NO-TILL)","ORGANIZATION: (TAX PURPOSES, CORPORATION, FAMILY HELD)",IOWA,"LAND USE, CROPLAND",STATE,00,,,,IOWA,ORGANIZATION,DEMOGRAPHICS,19,YEAR,2012,2012-12-31 00:00:00.000,IA,,ALL UTILIZATION PRACTICES
"PRACTICES, LAND USE, CROPLAND, CONSERVATION TILLAGE, (EXCL NO-TILL) - ACRES",,UNITED STATES,PRACTICES,CENSUS,19,00000000,,4.5,9000,,AREA,00,,,,FARMS & LAND & ASSETS,ANNUAL,"1,899,986",ACRES,"CONSERVATION TILLAGE, (EXCL NO-TILL)","ORGANIZATION: (TAX PURPOSES, CORPORATION, FAMILY HELD, LE 10 STOCKHOLDERS)",IOWA,"LAND USE, CROPLAND",STATE,00,,,,IOWA,ORGANIZATION,DEMOGRAPHICS,19,YEAR,2022,2024-07-02 12:00:00.000,IA,,ALL UTILIZATION PRACTICES
"PRACTICES, LAND USE, CROPLAND, CONSERVATION TILLAGE, (EXCL NO-TILL) - ACRES",,UNITED STATES,PRACTICES,CENSUS,19,00000000,,5.0,9000,,AREA,00,,,,FARMS & LAND & ASSETS,ANNUAL,"2,085,308",ACRES,"CONSERVATION TILLAGE, (EXCL NO-TILL)","ORGANIZATION: (TAX PURPOSES, CORPORATION, FAMILY HELD, LE 10 STOCKHOLDERS)",IOWA,"LAND USE, CROPLAND",STATE,00,,,,IOWA,ORGANIZATION,DEMOGRAPHICS,19,YEAR,2017,2018-02-01 00:00:00.000,IA,,ALL UTILIZATION PRACTICES
"PRACTICES, LAND USE, CROPLAND, CONSERVATION TILLAGE, (EXCL NO-TILL) - ACRES",,UNITED STATES,PRACTICES,CENSUS,19,00000000,,3.1,9000,,AREA,00,,,,FARMS & LAND & ASSETS,ANNUAL,"1,691,009",ACRES,"CONSERVATION TILLAGE, (EXCL NO-TILL)","ORGANIZATION: (TAX PURPOSES, CORPORATION, FAMILY HELD, LE 10 STOCKHOLDERS)",IOWA,"LAND USE, CROPLAND",STATE,00,,,,IOWA,ORGANIZATION,DEMOGRAPHICS,19,YEAR,2012,2012-12-31 00:00:00.000,IA,,ALL UTILIZATION PRACTICES
"PRACTICES, LAND USE, CROPLAND, CONSERVATION TILLAGE, (EXCL NO-TILL) - ACRES",,UNITED STATES,PRACTICES,CENSUS,19,00000000,,3.5,9000,,AREA,00,,,,FARMS & LAND & ASSETS,ANNUAL,"6,134,038",ACRES,"CONSERVATION TILLAGE, (EXCL NO-TILL)","ORGANIZATION: (TAX PURPOSES, FAMILY & INDIVIDUAL)",IOWA,"LAND USE, CROPLAND",STATE,00,,,,IOWA,ORGANIZATION,DEMOGRAPHICS,19,YEAR,2022,2024-07-02 12:00:00.000,IA,,ALL UTILIZATION PRACTICES
"PRACTICES, LAND USE, CROPLAND, CONSERVATION TILLAGE, (EXCL NO-TILL) - ACRES",,UNITED STATES,PRACTICES,CENSUS,19,00000000,,4.0,9000,,AREA,00,,,,FARMS & LAND & ASSETS,ANNUAL,"6,847,667",ACRES,"CONSERVATION TILLAGE, (EXCL NO-TILL)","ORGANIZATION: (TAX PURPOSES, FAMILY & INDIVIDUAL)",IOWA,"LAND USE, CROPLAND",STATE,00,,,,IOWA,ORGANIZATION,DEMOGRAPHICS,19,YEAR,2017,2018-02-01 00:00:00.000,IA,,ALL UTILIZATION PRACTICES
"PRACTICES, LAND USE, CROPLAND, CONSERVATION TILLAGE, (EXCL NO-TILL) - ACRES",,UNITED STATES,PRACTICES,CENSUS,19,00000000,,1.3,9000,,AREA,00,,,,FARMS & LAND & ASSETS,ANNUAL,"6,128,467",ACRES,"CONSERVATION TILLAGE, (EXCL NO-TILL)","ORGANIZATION: (TAX PURPOSES, FAMILY & INDIVIDUAL)",IOWA,"LAND USE, CROPLAND",STATE,00,,,,IOWA,ORGANIZATION,DEMOGRAPHICS,19,YEAR,2012,2012-12-31 00:00:00.000,IA,,ALL UTILIZATION PRACTICES
"PRACTICES, LAND USE, CROPLAND, CONSERVATION TILLAGE, (EXCL NO-TILL) - ACRES",,UNITED STATES,PRACTICES,CENSUS,19,00000000,,23.2,9000,,AREA,00,,,,FARMS & LAND & ASSETS,ANNUAL,"100,143",ACRES,"CONSERVATION TILLAGE, (EXCL NO-TILL)","ORGANIZATION: (TAX PURPOSES, INSTITUTIONAL & RESEARCH & RESERVATION & OTHER)",IOWA,"LAND USE, CROPLAND",STATE,00,,,,IOWA,ORGANIZATION,DEMOGRAPHICS,19,YEAR,2022,2024-07-02 12:00:00.000,IA,,ALL UTILIZATION PRACTICES
"PRACTICES, LAND USE, CROPLAND, CONSERVATION TILLAGE, (EXCL NO-TILL) - ACRES",,UNITED STATES,PRACTICES,CENSUS,19,00000000,,11.7,9000,,AREA,00,,,,FARMS & LAND & ASSETS,ANNUAL,"104,039",ACRES,"CONSERVATION TILLAGE, (EXCL NO-TILL)","ORGANIZATION: (TAX PURPOSES, INSTITUTIONAL & RESEARCH & RESERVATION & OTHER)",IOWA,"LAND USE, CROPLAND",STATE,00,,,,IOWA,ORGANIZATION,DEMOGRAPHICS,19,YEAR,2017,2018-02-01 00:00:00.000,IA,,ALL UTILIZATION PRACTICES
"PRACTICES, LAND USE, CROPLAND, CONSERVATION TILLAGE, (EXCL NO-TILL) - ACRES",,UNITED STATES,PRACTICES,CENSUS,19,00000000,,6.8,9000,,AREA,00,,,,FARMS & LAND & ASSETS,ANNUAL,"58,607",ACRES,"CONSERVATION TILLAGE, (EXCL NO-TILL)","ORGANIZATION: (TAX PURPOSES, INSTITUTIONAL & RESEARCH & RESERVATION & OTHER)",IOWA,"LAND USE, CROPLAND",STATE,00,,,,IOWA,ORGANIZATION,DEMOGRAPHICS,19,YEAR,2012,2012-12-31 00:00:00.000,IA,,ALL UTILIZATION PRACTICES
"PRACTICES, LAND USE, CROPLAND, CONSERVATION TILLAGE, (EXCL NO-TILL) - ACRES",,UNITED STATES,PRACTICES,CENSUS,19,00000000,,2.1,9000,,AREA,00,,,,FARMS & LAND & ASSETS,ANNUAL,"1,074,093",ACRES,"CONSERVATION TILLAGE, (EXCL NO-TILL)","ORGANIZATION: (TAX PURPOSES, PARTNERSHIP)",IOWA,"LAND USE, CROPLAND",STATE,00,,,,IOWA,ORGANIZATION,DEMOGRAPHICS,19,YEAR,2022,2024-07-02 12:00:00.000,IA,,ALL UTILIZATION PRACTICES
"PRACTICES, LAND USE, CROPLAND, CONSERVATION TILLAGE, (EXCL NO-TILL) - ACRES",,UNITED STATES,PRACTICES,CENSUS,19,00000000,,5.3,9000,,AREA,00,,,,FARMS & LAND & ASSETS,ANNUAL,"1,005,758",ACRES,"CONSERVATION TILLAGE, (EXCL NO-TILL)","ORGANIZATION: (TAX PURPOSES, PARTNERSHIP)",IOWA,"LAND USE, CROPLAND",STATE,00,,,,IOWA,ORGANIZATION,DEMOGRAPHICS,19,YEAR,2017,2018-02-01 00:00:00.000,IA,,ALL UTILIZATION PRACTICES
"PRACTICES, LAND USE, CROPLAND, CONSERVATION TILLAGE, (EXCL NO-TILL) - ACRES",,UNITED STATES,PRACTICES,CENSUS,19,00000000,,4.7,9000,,AREA,00,,,,FARMS & LAND & ASSETS,ANNUAL,"814,740",ACRES,"CONSERVATION TILLAGE, (EXCL NO-TILL)","ORGANIZATION: (TAX PURPOSES, PARTNERSHIP)",IOWA,"LAND USE, CROPLAND",STATE,00,,,,IOWA,ORGANIZATION,DEMOGRAPHICS,19,YEAR,2012,2012-12-31 00:00:00.000,IA,,ALL UTILIZATION PRACTICES
"PRACTICES, LAND USE, CROPLAND, CONSERVATION TILLAGE, (EXCL NO-TILL) - ACRES",,UNITED STATES,PRACTICES,CENSUS,19,00000000,,2.1,9000,,AREA,00,,,,FARMS & LAND & ASSETS,ANNUAL,"910,751",ACRES,"CONSERVATION TILLAGE, (EXCL NO-TILL)","ORGANIZATION: (TAX PURPOSES, PARTNERSHIP, REGISTERED UNDER STATE LAW)",IOWA,"LAND USE, CROPLAND",STATE,00,,,,IOWA,ORGANIZATION,DEMOGRAPHICS,19,YEAR,2022,2024-07-02 12:00:00.000,IA,,ALL UTILIZATION PRACTICES
