Value,unit_desc,asd_code,group_desc,freq_desc,agg_level_desc,class_desc,location_desc,domaincat_desc,prodn_practice_desc,CV (%),country_code,congr_district_code,watershed_code,source_desc,commodity_desc,state_fips_code,country_name,watershed_desc,short_desc,week_ending,county_code,begin_code,zip_5,statisticcat_desc,reference_period_desc,state_ansi,util_practice_desc,state_alpha,county_ansi,year,load_time,region_desc,county_name,end_code,domain_desc,sector_desc,state_name,asd_desc
22,PCT HARVESTED,,FIELD CROPS,WEEKLY,STATE,ALL CLASSES,IOWA,NOT SPECIFIED,ALL PRODUCTION PRACTICES,,9000,,00000000,SURVEY,CORN,19,UNITED STATES,,"CORN, GRAIN - PROGRESS, MEASURED IN PCT HARVESTED",2024-10-06,,40,,PROGRESS,WEEK #40,19,GRAIN,IA,,2024,2024-10-07 16:00:00.000,,,40,TOTAL,CROPS,IOWA,
45,PCT HARVESTED,,FIELD CROPS,WEEKLY,STATE,ALL CLASSES,IOWA,NOT SPECIFIED,ALL PRODUCTION PRACTICES,,9000,,00000000,SURVEY,CORN,19,UNITED STATES,,"CORN, GRAIN - PROGRESS, MEASURED IN PCT HARVESTED",2024-10-13,,41,,PROGRESS,WEEK #41,19,GRAIN,IA,,2024,2024-10-15 16:00:00.000,,,41,TOTAL,CROPS,IOWA,
68,PCT HARVESTED,,FIELD CROPS,WEEKLY,STATE,ALL CLASSES,IOWA,NOT SPECIFIED,ALL PRODUCTION PRACTICES,,9000,,00000000,SURVEY,CORN,19,UNITED STATES,,"CORN, GRAIN - PROGRESS, MEASURED IN PCT HARVESTED",2024-10-20,,42,,PROGRESS,WEEK #42,19,GRAIN,IA,,2024,2024-10-21 16:00:00.000,,,42,TOTAL,CROPS,IOWA,
84,PCT HARVESTED,,FIELD CROPS,WEEKLY,STATE,ALL CLASSES,IOWA,NOT SPECIFIED,ALL PRODUCTION PRACTICES,,9000,,00000000,SURVEY,CORN,19,UNITED STATES,,"CORN, GRAIN - PROGRESS, MEASURED IN PCT HARVESTED",2024-10-27,,43,,PROGRESS,WEEK #43,19,GRAIN,IA,,2024,2024-10-28 16:00:00.000,,,43,TOTAL,CROPS,IOWA,
92,PCT HARVESTED,,FIELD CROPS,WEEKLY,STATE,ALL CLASSES,IOWA,NOT SPECIFIED,ALL PRODUCTION PRACTICES,,9000,,00000000,SURVEY,CORN,19,UNITED STATES,,"CORN, GRAIN - PROGRESS, MEASURED IN PCT HARVESTED",2024-11-03,,44,,PROGRESS,WEEK #44,19,GRAIN,IA,,2024,2024-11-04 16:00:00.000,,,44,TOTAL,CROPS,IOWA,
95,PCT HARVESTED,,FIELD CROPS,WEEKLY,STATE,ALL CLASSES,IOWA,NOT SPECIFIED,ALL PRODUCTION PRACTICES,,9000,,00000000,SURVEY,CORN,19,UNITED STATES,,"CORN, GRAIN - PROGRESS, MEASURED IN PCT HARVESTED",2024-11-10,,45,,PROGRESS,WEEK #45,19,GRAIN,IA,,2024,2024-11-12 16:00:00.000,,,45,TOTAL,CROPS,IOWA,
97,PCT HARVESTED,,FIELD CROPS,WEEKLY,STATE,ALL CLASSES,IOWA,NOT SPECIFIED,ALL PRODUCTION PRACTICES,,9000,,00000000,SURVEY,CORN,19,UNITED STATES,,"CORN, GRAIN - PROGRESS, MEASURED IN PCT HARVESTED",2024-11-17,,46,,PROGRESS,WEEK #46,19,GRAIN,IA,,2024,2024-11-18 16:00:00.000,,,46,TOTAL,CROPS,IOWA,
98,PCT HARVESTED,,FIELD CROPS,WEEKLY,STATE,ALL CLASSES,IOWA,NOT SPECIFIED,ALL PRODUCTION PRACTICES,,9000,,00000000,SURVEY,CORN,19,UNITED STATES,,"CORN, GRAIN - PROGRESS, MEASURED IN PCT HARVESTED",2024-11-24,,47,,PROGRESS,WEEK #47,19,GRAIN,IA,,2024,2024-11-25 16:00:00.000,,,47,TOTAL,CROPS,IOWA,
2,PCT HARVESTED,,FIELD CROPS,WEEKLY,STATE,ALL CLASSES,IOWA,NOT SPECIFIED,ALL PRODUCTION PRACTICES,,9000,,00000000,SURVEY,CORN,19,UNITED STATES,,"CORN, GRAIN - PROGRESS, MEASURED IN PCT HARVESTED",2023-09-10,,36,,PROGRESS,WEEK #36,19,GRAIN,IA,,2023,2023-09-11 16:00:00.000,,,36,TOTAL,CROPS,IOWA,
5,PCT HARVESTED,,FIELD CROPS,WEEKLY,STATE,ALL CLASSES,IOWA,NOT SPECIFIED,ALL PRODUCTION PRACTICES,,9000,,00000000,SURVEY,CORN,19,UNITED STATES,,"CORN, GRAIN - PROGRESS, MEASURED IN PCT HARVESTED",2023-09-17,,37,,PROGRESS,WEEK #37,19,GRAIN,IA,,2023,2023-09-18 16:00:00.000,,,37,TOTAL,CROPS,IOWA,
9,PCT HARVESTED,,FIELD CROPS,WEEKLY,STATE,ALL CLASSES,IOWA,NOT SPECIFIED,ALL PRODUCTION PRACTICES,,9000,,00000000,SURVEY,CORN,19,UNITED STATES,,"CORN, GRAIN - PROGRESS, MEASURED IN PCT HARVESTED",2023-09-24,,38,,PROGRESS,WEEK #38,19,GRAIN,IA,,2023,2023-09-25 16:00:00.000,,,38,TOTAL,CROPS,IOWA,
16,PCT HARVESTED,,FIELD CROPS,WEEKLY,STATE,ALL CLASSES,IOWA,NOT SPECIFIED,ALL PRODUCTION PRACTICES,,9000,,00000000,SURVEY,CORN,19,UNITED STATES,,"CORN, GRAIN - PROGRESS, MEASURED IN PCT HARVESTED",2023-10-01,,39,,PROGRESS,WEEK #39,19,GRAIN,IA,,2023,2023-10-02 16:00:00.000,,,39,TOTAL,CROPS,IOWA,
30,PCT HARVESTED,,FIELD CROPS,WEEKLY,STATE,ALL CLASSES,IOWA,NOT SPECIFIED,ALL PRODUCTION PRACTICES,,9000,,00000000,SURVEY,CORN,19,UNITED STATES,,"CORN, GRAIN - PROGRESS, MEASURED IN PCT HARVESTED",2023-10-08,,40,,PROGRESS,WEEK #40,19,GRAIN,IA,,2023,2023-10-10 16:00:00.000,,,40,TOTAL,CROPS,IOWA,
42,PCT HARVESTED,,FIELD CROPS,WEEKLY,STATE,ALL CLASSES,IOWA,NOT SPECIFIED,ALL PRODUCTION PRACTICES,,9000,,00000000,SURVEY,CORN,19,UNITED STATES,,"CORN, GRAIN - PROGRESS, MEASURED IN PCT HARVESTED",2023-10-15,,41,,PROGRESS,WEEK #41,19,GRAIN,IA,,2023,2023-10-16 16:00:00.000,,,41,TOTAL,CROPS,IOWA,
62,PCT HARVESTED,,FIELD CROPS,WEEKLY,STATE,ALL CLASSES,IOWA,NOT SPECIFIED,ALL PRODUCTION PRACTICES,,9000,,00000000,SURVEY,CORN,19,UNITED STATES,,"CORN, GRAIN - PROGRESS, MEASURED IN PCT HARVESTED",2023-10-22,,42,,PROGRESS,WEEK #42,19,GRAIN,IA,,2023,2023-10-23 16:00:00.000,,,42,TOTAL,CROPS,IOWA,
77,PCT HARVESTED,,FIELD CROPS,WEEKLY,STATE,ALL CLASSES,IOWA,NOT SPECIFIED,ALL PRODUCTION PRACTICES,,9000,,00000000,SURVEY,CORN,19,UNITED STATES,,"CORN, GRAIN - PROGRESS, MEASURED IN PCT HARVESTED",2023-10-29,,43,,PROGRESS,WEEK #43,19,GRAIN,IA,,2023,2023-10-30 16:00:00.000,,,43,TOTAL,CROPS,IOWA,
89,PCT HARVESTED,,FIELD CROPS,WEEKLY,STATE,ALL CLASSES,IOWA,NOT SPECIFIED,ALL PRODUCTION PRACTICES,,9000,,00000000,SURVEY,CORN,19,UNITED STATES,,"CORN, GRAIN - PROGRESS, MEASURED IN PCT HARVESTED",2023-11-05,,44,,PROGRESS,WEEK #44,19,GRAIN,IA,,2023,2023-11-06 16:00:00.000,,,44,TOTAL,CROPS,IOWA,
94,PCT HARVESTED,,FIELD CROPS,WEEKLY,STATE,ALL CLASSES,IOWA,NOT SPECIFIED,ALL PRODUCTION PRACTICES,,9000,,00000000,SURVEY,CORN,19,UNITED STATES,,"CORN, GRAIN - PROGRESS, MEASURED IN PCT HARVESTED",2023-11-12,,45,,PROGRESS,WEEK #45,19,GRAIN,IA,,2023,2023-11-13 16:00:00.000,,,45,TOTAL,CROPS,IOWA,
97,PCT HARVESTED,,FIELD CROPS,WEEKLY,STATE,ALL CLASSES,IOWA,NOT SPECIFIED,ALL PRODUCTION PRACTICES,,9000,,00000000,SURVEY,CORN,19,UNITED STATES,,"CORN, GRAIN - PROGRESS, MEASURED IN PCT HARVESTED",2023-11-19,,46,,PROGRESS,WEEK #46,19,GRAIN,IA,,2023,2023-11-20 16:00:00.000,,,46,TOTAL,CROPS,IOWA,
99,PCT HARVESTED,,FIELD CROPS,WEEKLY,STATE,ALL CLASSES,IOWA,NOT SPECIFIED,ALL PRODUCTION PRACTICES,,9000,,00000000,SURVEY,CORN,19,UNITED STATES,,"CORN, GRAIN - PROGRESS, MEASURED IN PCT HARVESTED",2023-11-26,,47,,PROGRESS,WEEK #47,19,GRAIN,IA,,2023,2023-11-27 16:00:00.000,,,47,TOTAL,CROPS,IOWA,
0,PCT HARVESTED,,FIELD CROPS,WEEKLY,STATE,ALL CLASSES,IOWA,NOT SPECIFIED,ALL PRODUCTION PRACTICES,,9000,,00000000,SURVEY,CORN,19,UNITED STATES,,"CORN, GRAIN - PROGRESS, MEASURED IN PCT HARVESTED",2022-09-11,,36,,PROGRESS,WEEK #36,19,GRAIN,IA,,2022,2022-09-12 16:05:59.000,,,36,TOTAL,CROPS,IOWA,
2,PCT HARVESTED,,FIELD CROPS,WEEKLY,STATE,ALL CLASSES,IOWA,NOT SPECIFIED,ALL PRODUCTION PRACTICES,,9000,,00000000,SURVEY,CORN,19,UNITED STATES,,"CORN, GRAIN - PROGRESS, MEASURED IN PCT HARVESTED",2022-09-18,,37,,PROGRESS,WEEK #37,19,GRAIN,IA,,2022,2022-09-19 16:00:00.000,,,37,TOTAL,CROPS,IOWA,
5,PCT HARVESTED,,FIELD CROPS,WEEKLY,STATE,ALL CLASSES,IOWA,NOT SPECIFIED,ALL PRODUCTION PRACTICES,,9000,,00000000,SURVEY,CORN,19,UNITED STATES,,"CORN, GRAIN - PROGRESS, MEASURED IN PCT HARVESTED",2022-09-25,,38,,PROGRESS,WEEK #38,19,GRAIN,IA,,2022,2022-09-26 16:00:00.000,,,38,TOTAL,CROPS,IOWA,
11,PCT HARVESTED,,FIELD CROPS,WEEKLY,STATE,ALL CLASSES,IOWA,NOT SPECIFIED,ALL PRODUCTION PRACTICES,,9000,,00000000,SURVEY,CORN,19,UNITED STATES,,"CORN, GRAIN - PROGRESS, MEASURED IN PCT HARVESTED",2022-10-02,,39,,PROGRESS,WEEK #39,19,GRAIN,IA,,2022,2022-10-03 16:00:00.000,,,39,TOTAL,CROPS,IOWA,
23,PCT HARVESTED,,FIELD CROPS,WEEKLY,STATE,ALL CLASSES,IOWA,NOT SPECIFIED,ALL PRODUCTION PRACTICES,,9000,,00000000,SURVEY,CORN,19,UNITED STATES,,"CORN, GRAIN - PROGRESS, MEASURED IN PCT HARVESTED",2022-10-09,,40,,PROGRESS,WEEK #40,19,GRAIN,IA,,2022,2022-10-11 16:00:00.000,,,40,TOTAL,CROPS,IOWA,
38,PCT HARVESTED,,FIELD CROPS,WEEKLY,STATE,ALL CLASSES,IOWA,NOT SPECIFIED,ALL PRODUCTION PRACTICES,,9000,,00000000,SURVEY,CORN,19,UNITED STATES,,"CORN, GRAIN - PROGRESS, MEASURED IN PCT HARVESTED",2022-10-16,,41,,PROGRESS,WEEK #41,19,GRAIN,IA,,2022,2022-10-17 16:00:00.000,,,41,TOTAL,CROPS,IOWA,
59,PCT HARVESTED,,FIELD CROPS,WEEKLY,STATE,ALL CLASSES,IOWA,NOT SPECIFIED,ALL PRODUCTION PRACTICES,,9000,,00000000,SURVEY,CORN,19,UNITED STATES,,"CORN, GRAIN - PROGRESS, MEASURED IN PCT HARVESTED",2022-10-23,,42,,PROGRESS,WEEK #42,19,GRAIN,IA,,2022,2022-10-24 16:00:00.000,,,42,TOTAL,CROPS,IOWA,
77,PCT HARVESTED,,FIELD CROPS,WEEKLY,STATE,ALL CLASSES,IOWA,NOT SPECIFIED,ALL PRODUCTION PRACTICES,,9000,,00000000,SURVEY,CORN,19,UNITED STATES,,"CORN, GRAIN - PROGRESS, MEASURED IN PCT HARVESTED",2022-10-30,,43,,PROGRESS,WEEK #43,19,GRAIN,IA,,2022,2022-10-31 16:00:00.000,,,43,TOTAL,CROPS,IOWA,
89,PCT HARVESTED,,FIELD CROPS,WEEKLY,STATE,ALL CLASSES,IOWA,NOT SPECIFIED,ALL PRODUCTION PRACTICES,,9000,,00000000,SURVEY,CORN,19,UNITED STATES,,"CORN, GRAIN - PROGRESS, MEASURED IN PCT HARVESTED",2022-11-06,,44,,PROGRESS,WEEK #44,19,GRAIN,IA,,2022,2022-11-07 16:00:00.000,,,44,TOTAL,CROPS,IOWA,
95,PCT HARVESTED,,FIELD CROPS,WEEKLY,STATE,ALL CLASSES,IOWA,NOT SPECIFIED,ALL PRODUCTION PRACTICES,,9000,,00000000,SURVEY,CORN,19,UNITED STATES,,"CORN, GRAIN - PROGRESS, MEASURED IN PCT HARVESTED",2022-11-13,,45,,PROGRESS,WEEK #45,19,GRAIN,IA,,2022,2022-11-14 16:00:00.000,,,45,TOTAL,CROPS,IOWA,
97,PCT HARVESTED,,FIELD CROPS,WEEKLY,STATE,ALL CLASSES,IOWA,NOT SPECIFIED,ALL PRODUCTION PRACTICES,,9000,,00000000,SURVEY,CORN,19,UNITED STATES,,"CORN, GRAIN - PROGRESS, MEASURED IN PCT HARVESTED",2022-11-20,,46,,PROGRESS,WEEK #46,19,GRAIN,IA,,2022,2022-11-21 16:00:00.000,,,46,TOTAL,CROPS,IOWA,
0,PCT HARVESTED,,FIELD CROPS,WEEKLY,STATE,ALL CLASSES,IOWA,NOT SPECIFIED,ALL PRODUCTION PRACTICES,,9000,,00000000,SURVEY,CORN,19,UNITED STATES,,"CORN, GRAIN - PROGRESS, MEASURED IN PCT HARVESTED",2021-09-12,,36,,PROGRESS,WEEK #36,19,GRAIN,IA,,2021,2021-09-13 16:00:14.000,,,36,TOTAL,CROPS,IOWA,
4,PCT HARVESTED,,FIELD CROPS,WEEKLY,STATE,ALL CLASSES,IOWA,NOT SPECIFIED,ALL PRODUCTION PRACTICES,,9000,,00000000,SURVEY,CORN,19,UNITED STATES,,"CORN, GRAIN - PROGRESS, MEASURED IN PCT HARVESTED",2021-09-19,,37,,PROGRESS,WEEK #37,19,GRAIN,IA,,2021,2021-09-20 16:00:13.000,,,37,TOTAL,CROPS,IOWA,
9,PCT HARVESTED,,FIELD CROPS,WEEKLY,STATE,ALL CLASSES,IOWA,NOT SPECIFIED,ALL PRODUCTION PRACTICES,,9000,,00000000,SURVEY,CORN,19,UNITED STATES,,"CORN, GRAIN - PROGRESS, MEASURED IN PCT HARVESTED",2021-09-26,,38,,PROGRESS,WEEK #38,19,GRAIN,IA,,2021,2021-09-27 16:00:13.000,,,38,TOTAL,CROPS,IOWA,
19,PCT HARVESTED,,FIELD CROPS,WEEKLY,STATE,ALL CLASSES,IOWA,NOT SPECIFIED,ALL PRODUCTION PRACTICES,,9000,,00000000,SURVEY,CORN,19,UNITED STATES,,"CORN, GRAIN - PROGRESS, MEASURED IN PCT HARVESTED",2021-10-03,,39,,PROGRESS,WEEK #39,19,GRAIN,IA,,2021,2021-10-04 16:00:16.000,,,39,TOTAL,CROPS,IOWA,
30,PCT HARVESTED,,FIELD CROPS,WEEKLY,STATE,ALL CLASSES,IOWA,NOT SPECIFIED,ALL PRODUCTION PRACTICES,,9000,,00000000,SURVEY,CORN,19,UNITED STATES,,"CORN, GRAIN - PROGRESS, MEASURED IN PCT HARVESTED",2021-10-10,,40,,PROGRESS,WEEK #40,19,GRAIN,IA,,2021,2021-10-12 16:00:17.000,,,40,TOTAL,CROPS,IOWA,
43,PCT HARVESTED,,FIELD CROPS,WEEKLY,STATE,ALL CLASSES,IOWA,NOT SPECIFIED,ALL PRODUCTION PRACTICES,,9000,,00000000,SURVEY,CORN,19,UNITED STATES,,"CORN, GRAIN - PROGRESS, MEASURED IN PCT HARVESTED",2021-10-17,,41,,PROGRESS,WEEK #41,19,GRAIN,IA,,2021,2021-10-18 16:00:13.000,,,41,TOTAL,CROPS,IOWA,
60,PCT HARVESTED,,FIELD CROPS,WEEKLY,STATE,ALL CLASSES,IOWA,NOT SPECIFIED,ALL PRODUCTION PRACTICES,,9000,,00000000,SURVEY,CORN,19,UNITED STATES,,"CORN, GRAIN - PROGRESS, MEASURED IN PCT HARVESTED",2021-10-24,,42,,PROGRESS,WEEK #42,19,GRAIN,IA,,2021,2021-10-25 16:00:12.000,,,42,TOTAL,CROPS,IOWA,
70,PCT HARVESTED,,FIELD CROPS,WEEKLY,STATE,ALL CLASSES,IOWA,NOT SPECIFIED,ALL PRODUCTION PRACTICES,,9000,,00000000,SURVEY,CORN,19,UNITED STATES,,"CORN, GRAIN - PROGRESS, MEASURED IN PCT HARVESTED",2021-10-31,,43,,PROGRESS,WEEK #43,19,GRAIN,IA,,2021,2021-11-01 16:00:13.000,,,43,TOTAL,CROPS,IOWA,
84,PCT HARVESTED,,FIELD CROPS,WEEKLY,STATE,ALL CLASSES,IOWA,NOT SPECIFIED,ALL PRODUCTION PRACTICES,,9000,,00000000,SURVEY,CORN,19,UNITED STATES,,"CORN, GRAIN - PROGRESS, MEASURED IN PCT HARVESTED",2021-11-07,,44,,PROGRESS,WEEK #44,19,GRAIN,IA,,2021,2021-11-08 16:00:15.000,,,44,TOTAL,CROPS,IOWA,
91,PCT HARVESTED,,FIELD CROPS,WEEKLY,STATE,ALL CLASSES,IOWA,NOT SPECIFIED,ALL PRODUCTION PRACTICES,,9000,,00000000,SURVEY,CORN,19,UNITED STATES,,"CORN, GRAIN - PROGRESS, MEASURED IN PCT HARVESTED",2021-11-14,,45,,PROGRESS,WEEK #45,19,GRAIN,IA,,2021,2021-11-15 16:00:13.000,,,45,TOTAL,CROPS,IOWA,
95,PCT HARVESTED,,FIELD CROPS,WEEKLY,STATE,ALL CLASSES,IOWA,NOT SPECIFIED,ALL PRODUCTION PRACTICES,,9000,,00000000,SURVEY,CORN,19,UNITED STATES,,"CORN, GRAIN - PROGRESS, MEASURED IN PCT HARVESTED",2021-11-21,,46,,PROGRESS,WEEK #46,19,GRAIN,IA,,2021,2021-11-22 16:00:13.000,,,46,TOTAL,CROPS,IOWA,
98,PCT HARVESTED,,FIELD CROPS,WEEKLY,STATE,ALL CLASSES,IOWA,NOT SPECIFIED,ALL PRODUCTION PRACTICES,,9000,,00000000,SURVEY,CORN,19,UNITED STATES,,"CORN, GRAIN - PROGRESS, MEASURED IN PCT HARVESTED",2021-11-28,,47,,PROGRESS,WEEK #47,19,GRAIN,IA,,2021,2021-11-29 16:00:14.000,,,47,TOTAL,CROPS,IOWA,
1,PCT HARVESTED,,FIELD CROPS,WEEKLY,STATE,ALL CLASSES,IOWA,NOT SPECIFIED,ALL PRODUCTION PRACTICES,,9000,,00000000,SURVEY,CORN,19,UNITED STATES,,"CORN, GRAIN - PROGRESS, MEASURED IN PCT HARVESTED",2020-09-13,,37,,PROGRESS,WEEK #37,19,GRAIN,IA,,2020,2020-09-14 16:00:19.000,,,37,TOTAL,CROPS,IOWA,
4,PCT HARVESTED,,FIELD CROPS,WEEKLY,STATE,ALL CLASSES,IOWA,NOT SPECIFIED,ALL PRODUCTION PRACTICES,,9000,,00000000,SURVEY,CORN,19,UNITED STATES,,"CORN, GRAIN - PROGRESS, MEASURED IN PCT HARVESTED",2020-09-20,,38,,PROGRESS,WEEK #38,19,GRAIN,IA,,2020,2020-09-21 16:00:14.000,,,38,TOTAL,CROPS,IOWA,
12,PCT HARVESTED,,FIELD CROPS,WEEKLY,STATE,ALL CLASSES,IOWA,NOT SPECIFIED,ALL PRODUCTION PRACTICES,,9000,,00000000,SURVEY,CORN,19,UNITED STATES,,"CORN, GRAIN - PROGRESS, MEASURED IN PCT HARVESTED",2020-09-27,,39,,PROGRESS,WEEK #39,19,GRAIN,IA,,2020,2020-09-28 16:00:10.000,,,39,TOTAL,CROPS,IOWA,
25,PCT HARVESTED,,FIELD CROPS,WEEKLY,STATE,ALL CLASSES,IOWA,NOT SPECIFIED,ALL PRODUCTION PRACTICES,,9000,,00000000,SURVEY,CORN,19,UNITED STATES,,"CORN, GRAIN - PROGRESS, MEASURED IN PCT HARVESTED",2020-10-04,,40,,PROGRESS,WEEK #40,19,GRAIN,IA,,2020,2020-10-05 16:00:11.000,,,40,TOTAL,CROPS,IOWA,
42,PCT HARVESTED,,FIELD CROPS,WEEKLY,STATE,ALL CLASSES,IOWA,NOT SPECIFIED,ALL PRODUCTION PRACTICES,,9000,,00000000,SURVEY,CORN,19,UNITED STATES,,"CORN, GRAIN - PROGRESS, MEASURED IN PCT HARVESTED",2020-10-11,,41,,PROGRESS,WEEK #41,19,GRAIN,IA,,2020,2020-10-13 16:00:12.000,,,41,TOTAL,CROPS,IOWA,
65,PCT HARVESTED,,FIELD CROPS,WEEKLY,STATE,ALL CLASSES,IOWA,NOT SPECIFIED,ALL PRODUCTION PRACTICES,,9000,,00000000,SURVEY,CORN,19,UNITED STATES,,"CORN, GRAIN - PROGRESS, MEASURED IN PCT HARVESTED",2020-10-18,,42,,PROGRESS,WEEK #42,19,GRAIN,IA,,2020,2020-10-19 16:00:10.000,,,42,TOTAL,CROPS,IOWA,
78,PCT HARVESTED,,FIELD CROPS,WEEKLY,STATE,ALL CLASSES,IOWA,NOT SPECIFIED,ALL PRODUCTION PRACTICES,,9000,,00000000,SURVEY,CORN,19,UNITED STATES,,"CORN, GRAIN - PROGRESS, MEASURED IN PCT HARVESTED",2020-10-25,,43,,PROGRESS,WEEK #43,19,GRAIN,IA,,2020,2020-10-26 16:00:11.000,,,43,TOTAL,CROPS,IOWA,
87,PCT HARVESTED,,FIELD CROPS,WEEKLY,STATE,ALL CLASSES,IOWA,NOT SPECIFIED,ALL PRODUCTION PRACTICES,,9000,,00000000,SURVEY,CORN,19,UNITED STATES,,"CORN, GRAIN - PROGRESS, MEASURED IN PCT HARVESTED",2020-11-01,,44,,PROGRESS,WEEK #44,19,GRAIN,IA,,2020,2020-11-02 16:00:11.000,,,44,TOTAL,CROPS,IOWA,
94,PCT HARVESTED,,FIELD CROPS,WEEKLY,STATE,ALL CLASSES,IOWA,NOT SPECIFIED,ALL PRODUCTION PRACTICES,,9000,,00000000,SURVEY,CORN,19,UNITED STATES,,"CORN, GRAIN - PROGRESS, MEASURED IN PCT HARVESTED",2020-11-08,,45,,PROGRESS,WEEK #45,19,GRAIN,IA,,2020,2020-11-09 16:00:13.000,,,45,TOTAL,CROPS,IOWA,
