Area,AP Ratio,District,Season,Avg Temp,Avg Humidity,Crop Name,Transplant,Growth,Harvest,Production,Max Temp,Min Temp,Min Relative Humidity,Max Relative Humidity,EVI,LAI,FPAR,LST_Kelvin,Soil_Moisture_mm,NDVI_Season_Mean,NDVI_Season_Max,NDVI_Season_Min,NDVI_Season_Std,NDVI_Season_Range,NDVI_Season_CV,Avg_Salinity_Index,pH,Organic_Carbon,Nitrogen,Clay,Sand,Silt,Bulk_Density,Latitude,Longitude,CN_Ratio,pH_Suitability,Dominant_Soil_Texture,sm_surface,sm_rootzone,Rootzone_Surface_Diff,Moisture_Ratio,Water_Availability_Cat,Rainfall,Temp_Mean,Temp_Max,Temp_Min,Heat_Stress_Days,Wind_Mean,Wind_Max,Wind_Min,Temp_Range,Wind_Range,Rain_Temp_Ratio,Extreme_Heat_Risk,Is_Extreme_Heat,Yield
2,0.5,Tangail,Kharif 2,30.0,70.0,Mug,Feb,March to May,May,1,35,25.0,60,80,0.38,1.42,4.99,301.54,-7492.91,0.41,0.6,0.16,0.2,0.44,0.49,786.05,5.71,26.11,1.62,28.16,38.4,33.45,1.29,24.27,89.94,16.11,Optimal (Tối ưu),Loamy (Thịt/Phù sa),0.18,0.22,0.04,1.26,Moderate,1132.42,27.87,34.22,18.47,0,2.08,7.64,0.06,15.75,7.58,40.63,Low Risk,0,0.5
2,0.5,Noakhali,Kharif 1,21.5,82.5,Dalim,April,No need to do,Throuout The year,1,38,5.0,70,95,0.32,1.63,4.17,302.28,19.92,0.23,0.35,0.11,0.11,0.24,0.48,892.74,5.79,23.52,1.72,33.46,29.05,37.49,1.31,22.25,91.17,13.67,Optimal (Tối ưu),Loamy (Thịt/Phù sa),0.25,0.27,0.02,1.17,Optimal,1243.4,28.07,32.74,18.65,0,4.18,8.21,0.16,14.09,8.05,44.3,Low Risk,0,0.5
2,0.5,Rangamati,Kharif 1,21.5,82.5,Dalim,April,No need to do,Throuout The year,1,38,5.0,70,95,0.48,2.69,5.57,301.97,17.29,0.37,0.61,0.22,0.17,0.39,0.47,844.83,5.7,24.39,2.13,32.36,27.91,39.73,1.25,22.65,92.18,11.45,Optimal (Tối ưu),Loamy (Thịt/Phù sa),0.27,0.3,0.03,1.15,Optimal,1205.62,27.63,36.72,15.16,4,2.86,6.45,0.12,21.56,6.33,43.63,Moderate Risk,0,0.5
2,2.0,Manikganj,Kharif 1,21.5,82.5,Dalim,April,No need to do,Throuout The year,4,38,5.0,70,95,0.34,1.03,3.76,301.74,16.32,0.24,0.33,0.17,0.07,0.16,0.27,1145.49,5.77,20.31,1.88,30.4,24.41,45.17,1.3,23.83,89.97,10.8,Optimal (Tối ưu),Loamy (Thịt/Phù sa),0.22,0.25,0.03,1.2,Optimal,841.36,28.8,41.68,15.46,49,2.45,6.49,0.11,26.22,6.38,29.21,High Risk,1,2.0
2,4.0,Bogura,Kharif 1,21.5,82.5,Dalim,April,No need to do,Throuout The year,8,38,5.0,70,95,0.31,0.96,3.53,302.11,21.62,0.27,0.4,0.12,0.11,0.28,0.43,1086.7,6.18,17.93,1.68,35.2,21.52,43.28,1.3,24.85,89.37,10.67,Optimal (Tối ưu),Loamy (Thịt/Phù sa),0.22,0.25,0.03,1.21,Optimal,895.25,28.69,40.21,14.25,47,2.44,6.82,0.06,25.96,6.76,31.2,High Risk,1,4.0
2,5.0,Rajbari,Kharif 1,21.5,82.5,Dalim,April,No need to do,Throuout The year,10,38,5.0,70,95,0.39,1.11,3.96,301.82,15.88,0.34,0.42,0.24,0.07,0.18,0.22,934.65,5.84,28.05,4.03,30.96,22.82,46.22,1.25,23.74,89.57,6.96,Optimal (Tối ưu),Loamy (Thịt/Phù sa),0.21,0.25,0.04,1.25,Moderate,558.92,29.28,43.33,15.19,58,2.48,6.36,0.08,28.14,6.28,19.09,High Risk,1,5.0
2,1.0,Feni,Kharif 1,24.0,70.0,Safeda,April,No need to do,Jan to March,2,38,10.0,60,80,0.37,1.15,4.1,302.56,16.79,0.23,0.34,0.05,0.13,0.29,0.58,1211.04,5.67,20.91,1.66,35.16,25.97,38.87,1.29,23.01,91.4,12.59,Optimal (Tối ưu),Loamy (Thịt/Phù sa),0.14,0.2,0.06,1.48,Moderate,1134.36,27.39,36.32,14.02,10,2.4,6.22,0.12,22.3,6.1,41.41,Moderate Risk,0,1.0
2,1.0,Nilphamari,Kharif 1,24.0,70.0,Safeda,April,No need to do,Jan to March,2,38,10.0,60,80,0.31,1.03,3.42,301.97,21.96,0.24,0.39,0.09,0.15,0.3,0.61,859.06,6.0,15.44,1.64,29.14,32.45,38.4,1.31,25.93,88.85,9.41,Optimal (Tối ưu),Loamy (Thịt/Phù sa),0.16,0.17,0.0,1.04,Moderate,1334.64,27.74,38.63,13.13,28,1.88,7.13,0.01,25.5,7.12,48.11,High Risk,1,1.0
2,1.5,Dinajpur,Kharif 1,24.0,70.0,Safeda,April,No need to do,Jan to March,3,38,10.0,60,80,0.32,0.97,3.43,302.76,20.96,0.26,0.39,0.07,0.16,0.33,0.61,805.84,6.01,15.94,1.43,37.14,25.3,37.54,1.28,25.63,88.63,11.14,Optimal (Tối ưu),Loamy (Thịt/Phù sa),0.15,0.2,0.04,1.29,Moderate,907.84,28.49,40.66,13.08,52,2.13,6.43,0.08,27.58,6.35,31.87,High Risk,1,1.5
2,7.5,Pabna,Kharif 1,24.0,70.0,Safeda,April,No need to do,Jan to March,15,38,10.0,60,80,0.38,1.08,3.97,302.57,16.93,0.32,0.33,0.3,0.02,0.03,0.05,947.97,5.99,19.54,1.47,39.89,19.7,40.41,1.28,24.01,89.24,13.28,Optimal (Tối ưu),Loamy (Thịt/Phù sa),0.16,0.22,0.06,1.45,Moderate,638.57,29.18,42.43,15.23,53,2.48,6.75,0.12,27.2,6.63,21.89,High Risk,1,7.5
2,3.0,Chandpur,Rabi,20.0,67.5,Ginger,Oct,Nov to March,March to April,6,25,15.0,60,75,0.3,1.67,5.42,297.76,-2496.74,0.4,0.49,0.3,0.07,0.18,0.19,647.84,5.52,31.68,3.47,32.55,28.9,38.55,1.26,23.22,90.65,9.13,Optimal (Tối ưu),Loamy (Thịt/Phù sa),0.22,0.26,0.04,1.28,Optimal,130.03,19.79,29.93,9.59,0,1.58,4.92,0.03,20.34,4.89,6.57,Low Risk,0,3.0
2,3.5,Rajshahi,Rabi,20.0,67.5,Ginger,Oct,Nov to March,March to April,7,25,15.0,60,75,0.29,1.02,4.72,297.81,-2494.78,0.41,0.48,0.33,0.07,0.15,0.17,853.66,6.11,18.59,1.58,36.24,17.79,45.99,1.29,24.63,89.04,11.76,Optimal (Tối ưu),Loamy (Thịt/Phù sa),0.19,0.24,0.05,1.3,Moderate,75.78,18.65,30.4,7.51,0,1.41,5.11,0.13,22.89,4.98,4.06,Low Risk,0,3.5
2,5.5,Kurigram,Kharif 2,23.5,61.0,Oal Kachu,Sep,Oct to Dec,Dec to Feb,11,32,15.0,52,70,0.33,1.36,4.63,300.55,-7492.91,0.36,0.49,0.16,0.15,0.33,0.41,792.41,5.63,18.2,1.97,32.46,34.49,33.03,1.31,25.81,89.64,9.23,Optimal (Tối ưu),Loamy (Thịt/Phù sa),0.25,0.29,0.04,1.18,Optimal,993.02,27.78,34.92,17.93,0,1.84,5.77,0.08,16.99,5.69,35.74,Low Risk,0,5.5
2,11.0,Bogura,Kharif 2,23.5,61.0,Oal Kachu,Sep,Oct to Dec,Dec to Feb,22,32,15.0,52,70,0.41,1.5,5.03,301.07,-7492.92,0.38,0.6,0.15,0.2,0.46,0.54,788.54,6.18,17.93,1.68,35.2,21.52,43.28,1.3,24.85,89.37,10.67,Optimal (Tối ưu),Loamy (Thịt/Phù sa),0.22,0.25,0.03,1.2,Optimal,913.65,27.94,34.8,18.46,0,2.24,7.91,0.03,16.34,7.88,32.7,Low Risk,0,11.0
2,0.0,Panchagar,Rabi,20.0,60.0,Palmyra Palm,Sep,Oct to Nov,Nov to Feb,0,25,15.0,50,70,0.27,0.91,4.42,298.09,-2495.74,0.39,0.49,0.29,0.09,0.21,0.23,921.68,5.88,18.49,1.72,30.85,26.88,42.26,1.29,26.32,88.55,10.74,Optimal (Tối ưu),Loamy (Thịt/Phù sa),0.28,0.3,0.02,1.08,Optimal,64.71,18.5,28.88,8.75,0,1.14,6.48,0.01,20.13,6.47,3.5,Low Risk,0,0.0
2,7.5,Moulvibazar,Rabi,20.0,60.0,Palmyra Palm,Sep,Oct to Nov,Nov to Feb,15,25,15.0,50,70,0.32,1.43,5.12,299.07,-2494.6,0.47,0.51,0.37,0.06,0.13,0.13,687.83,6.08,16.13,2.15,32.01,29.74,38.23,1.3,24.49,91.76,7.5,Optimal (Tối ưu),Loamy (Thịt/Phù sa),0.29,0.32,0.04,1.16,Optimal,83.51,19.11,30.34,8.06,0,0.93,3.7,0.01,22.28,3.69,4.37,Low Risk,0,7.5
2,0.0,Cumilla,Kharif 2,28.0,35.0,Arhar,Aug,Sep to Oct,Nov,0,30,26.0,20,50,0.39,1.55,5.42,301.74,-7492.92,0.46,0.63,0.23,0.2,0.4,0.44,655.35,5.39,19.73,1.67,36.14,26.69,37.19,1.3,23.46,91.18,11.81,Acidic (Chua),Loamy (Thịt/Phù sa),0.34,0.34,0.0,1.01,Optimal,1132.38,27.49,33.75,17.91,0,1.67,5.92,0.03,15.84,5.89,41.2,Low Risk,0,0.0
2,0.0,Gazipur,Kharif 2,28.0,35.0,Arhar,Aug,Sep to Oct,Nov,0,30,26.0,20,50,0.39,1.56,5.2,301.76,-7492.91,0.39,0.64,0.08,0.24,0.56,0.62,785.75,5.75,17.96,1.49,32.53,28.89,38.58,1.3,24.0,90.42,12.05,Optimal (Tối ưu),Loamy (Thịt/Phù sa),0.39,0.4,0.01,1.02,Optimal,1137.55,27.81,33.68,18.24,0,1.99,7.4,0.04,15.44,7.36,40.9,Low Risk,0,0.0
2,2.0,Coxsbazar,Kharif 2,28.0,35.0,Arhar,Aug,Sep to Oct,Nov,4,30,26.0,20,50,0.44,2.36,5.94,301.55,-7492.9,0.44,0.59,0.29,0.14,0.31,0.32,639.36,6.29,16.93,1.27,39.98,17.38,42.65,1.32,21.44,91.98,13.32,Optimal (Tối ưu),Loamy (Thịt/Phù sa),0.34,0.35,0.01,1.03,Optimal,2423.67,28.45,31.15,24.88,0,3.34,12.16,0.07,6.27,12.09,85.19,Low Risk,0,2.0
3,0.0,Noakhali,Rabi,21.0,62.5,Cheena,Nov,Dec to Feb,Feb to April,0,25,17.0,40,85,0.31,1.83,5.35,298.63,-2489.05,0.44,0.49,0.37,0.05,0.12,0.12,760.62,5.79,23.52,1.72,33.46,29.05,37.49,1.31,22.25,91.17,13.67,Optimal (Tối ưu),Loamy (Thịt/Phù sa),0.17,0.21,0.05,1.35,Moderate,112.63,21.49,29.56,12.97,0,2.69,7.12,0.06,16.59,7.06,5.24,Low Risk,0,0.0
3,5.67,Kurigram,Kharif 2,30.0,80.0,Jamrul,June,July to August,June  to September,17,35,25.0,70,90,0.33,1.36,4.63,300.55,-7492.91,0.36,0.49,0.16,0.15,0.33,0.41,792.41,5.63,18.2,1.97,32.46,34.49,33.03,1.31,25.81,89.64,9.23,Optimal (Tối ưu),Loamy (Thịt/Phù sa),0.37,0.38,0.01,1.03,Optimal,993.02,27.78,34.92,17.93,0,1.84,5.77,0.08,16.99,5.69,35.74,Low Risk,0,5.67
3,0.67,Cumilla,Kharif 2,30.0,70.0,Mug,Feb,March to May,May,2,35,25.0,60,80,0.39,1.55,5.42,301.74,-7492.92,0.46,0.63,0.23,0.2,0.4,0.44,655.35,5.39,19.73,1.67,36.14,26.69,37.19,1.3,23.46,91.18,11.81,Acidic (Chua),Loamy (Thịt/Phù sa),0.18,0.22,0.04,1.31,Moderate,1132.38,27.49,33.75,17.91,0,1.67,5.92,0.03,15.84,5.89,41.2,Low Risk,0,0.67
3,0.33,Bhola,Kharif 1,21.5,82.5,Dalim,April,No need to do,Throuout The year,1,38,5.0,70,95,0.26,1.2,3.94,301.08,18.25,0.19,0.22,0.17,0.02,0.05,0.12,925.6,5.57,31.05,2.48,30.53,27.14,42.37,1.27,22.14,90.79,12.52,Optimal (Tối ưu),Loamy (Thịt/Phù sa),0.26,0.29,0.04,1.22,Optimal,1663.21,28.11,33.74,19.66,0,3.68,7.13,0.09,14.08,7.04,59.17,Low Risk,0,0.33
3,1.33,Sherpur,Kharif 1,21.5,82.5,Dalim,April,No need to do,Throuout The year,4,38,5.0,70,95,0.31,1.01,3.3,302.02,24.15,0.21,0.29,0.05,0.11,0.24,0.52,927.1,5.74,23.2,2.18,31.38,27.07,41.57,1.29,25.02,90.01,10.64,Optimal (Tối ưu),Loamy (Thịt/Phù sa),0.25,0.27,0.02,1.15,Optimal,1278.22,28.16,38.88,14.97,37,2.28,6.66,0.04,23.91,6.62,45.39,High Risk,1,1.33
3,2.0,Chattogram,Kharif 1,21.5,82.5,Dalim,April,No need to do,Throuout The year,6,38,5.0,70,95,0.41,1.51,4.38,303.01,16.76,0.35,0.46,0.29,0.08,0.17,0.22,946.27,6.31,14.48,1.39,37.8,22.9,39.3,1.3,22.33,91.83,10.41,Optimal (Tối ưu),Loamy (Thịt/Phù sa),0.25,0.28,0.03,1.22,Optimal,1205.62,27.63,36.72,15.16,4,2.86,6.45,0.12,21.56,6.33,43.63,Moderate Risk,0,2.0
3,8.33,Shariatpur,Kharif 1,21.5,82.5,Dalim,April,No need to do,Throuout The year,25,38,5.0,70,95,0.35,1.2,4.1,302.06,13.81,0.25,0.34,0.09,0.11,0.25,0.46,1131.74,5.64,20.12,2.85,32.88,22.11,45.02,1.27,23.21,90.35,7.06,Optimal (Tối ưu),Loamy (Thịt/Phù sa),0.29,0.32,0.04,1.19,Optimal,897.09,28.3,38.75,16.37,34,2.79,6.68,0.12,22.38,6.56,31.7,High Risk,1,8.33
3,9.67,Thakurgaon,Kharif 1,24.0,70.0,Safeda,April,No need to do,Jan to March,29,38,10.0,60,80,0.35,1.05,3.68,303.58,20.56,0.31,0.48,0.16,0.15,0.32,0.47,882.81,5.85,20.19,1.81,30.97,32.95,36.08,1.3,23.77,90.36,11.15,Optimal (Tối ưu),Loamy (Thịt/Phù sa),0.17,0.21,0.04,1.27,Moderate,1043.06,28.51,40.93,15.5,46,2.54,6.3,0.09,25.43,6.21,36.58,High Risk,1,9.67
