District,Month,Year,NDVI_Mean
Gopalganj,2,2022,0.5976331688944452
Jamalpur,2,2022,0.4969540981976981
Kishoreganj,2,2022,0.6427156689633013
Madaripur,2,2022,0.6084360471787085
Manikganj,2,2022,0.48409025665614946
Munshiganj,2,2022,0.6483299471298979
Mymensingh,2,2022,0.4861618566256041
Narayanganj,2,2022,0.5187069198400088
Narsingdi,2,2022,0.5926911410054873
Netrakona,2,2022,0.5369259007064258
Rajbari,2,2022,0.5063584899472172
Shariatpur,2,2022,0.5671085416636719
Sherpur,2,2022,0.5062192508404685
Tangail,2,2022,0.5050967575676832
Bagerhat,2,2022,0.5838858343069997
Chuadanga,2,2022,0.6360041275355828
Jessore,2,2022,0.517622225969475
Jhenaidah,2,2022,0.5751962356497299
Khulna,2,2022,0.5243128024079348
Kushtia,2,2022,0.5757030570331926
Magura,2,2022,0.5630218445249949
Meherpur,2,2022,0.6694706775244337
Narail,2,2022,0.5489827070927331
Satkhira,2,2022,0.505659829559986
Habiganj,2,2022,0.5697266676031941
Maulvibazar,2,2022,0.5473637101972713
Sunamganj,2,2022,0.6121084783093985
Sylhet,2,2022,0.5044045401384082
Bogra,2,2022,0.4714929661052808
Joypurhat,2,2022,0.5369316472836833
Naogaon,2,2022,0.4366239394187393
Natore,2,2022,0.6328180245053163
Nawabganj,2,2022,0.4805930042886194
Pabna,2,2022,0.5434343822609615
Rajshahi,2,2022,0.5217446661730714
Sirajganj,2,2022,0.43570849538153217
Dinajpur,2,2022,0.48303903588920233
Gaibandha,2,2022,0.42078067588748924
Kurigram,2,2022,0.35033663467957327
Lalmonirhat,2,2022,0.5915587069416032
Nilphamari,2,2022,0.5568873977909103
Panchagarh,2,2022,0.4986720254129453
Rangpur,2,2022,0.4940720439917771
Thakurgaon,2,2022,0.5950766608906704
Barguna,2,2022,0.385153989925647
Barisal,3,2022,0.5631792512467584
Bhola,3,2022,0.4117438647218488
Jhalokati,3,2022,0.6184073402393123
Patuakhali,3,2022,0.4420085355753962
Pirojpur,3,2022,0.6081314422129217
Bandarban,3,2022,0.6557472351582728
Brahamanbaria,3,2022,0.6870194070033464
Chandpur,3,2022,0.6098252713787577
Chittagong,3,2022,0.5596786854538173
Comilla,3,2022,0.6854502729526414
Cox's Bazar,3,2022,0.5057365841470894
Feni,3,2022,0.5614830843778299
Khagrachhari,3,2022,0.6564148941948815
Lakshmipur,3,2022,0.5303816471361661
Noakhali,3,2022,0.5672675422732624
Rangamati,3,2022,0.6394735284643192
Dhaka,3,2022,0.5268933296444923
Faridpur,3,2022,0.575618803237093
Gazipur,3,2022,0.5990686939763319
Gopalganj,3,2022,0.6891736070438113
Jamalpur,3,2022,0.6270690349084507
Kishoreganj,3,2022,0.7118865428006304
Madaripur,3,2022,0.6043666394535835
Manikganj,3,2022,0.5204716901738123
Munshiganj,3,2022,0.6471045722949221
Mymensingh,3,2022,0.6631702511351785
Narayanganj,3,2022,0.5532294527976264
Narsingdi,3,2022,0.6522391056756952
Netrakona,3,2022,0.7154734166369304
Rajbari,3,2022,0.5309640188171925
Shariatpur,3,2022,0.554056307845955
Sherpur,3,2022,0.7270066810270728
Tangail,3,2022,0.6365943574579531
Bagerhat,3,2022,0.6188285998282159
Chuadanga,3,2022,0.6601238898749209
Jessore,3,2022,0.6835451358822796
Jhenaidah,3,2022,0.6631766374223887
Khulna,3,2022,0.5561856463495255
Kushtia,3,2022,0.5815761881784993
Magura,3,2022,0.6624114300132331
Meherpur,3,2022,0.6465126561105803
Narail,3,2022,0.6540713174266176
Satkhira,3,2022,0.562869940810854
Habiganj,3,2022,0.6493458575603026
Maulvibazar,3,2022,0.5712560731296149
Sunamganj,3,2022,0.6666571017397112
Sylhet,3,2022,0.535294491733175
Bogra,3,2022,0.6135422807129355
Joypurhat,3,2022,0.613371657298495
Naogaon,3,2022,0.6909487388935538
Natore,3,2022,0.687351123560144
Nawabganj,3,2022,0.5877284337900547
Pabna,3,2022,0.5697916777100854
Rajshahi,3,2022,0.5534631330151959
Sirajganj,3,2022,0.5730811936936933
Dinajpur,3,2022,0.6488618926540984
Gaibandha,3,2022,0.5940953910102365
Kurigram,3,2022,0.5841010631029382
Lalmonirhat,3,2022,0.6215391224751994
Nilphamari,3,2022,0.6521246758772963
Panchagarh,3,2022,0.57272581651586
Rangpur,3,2022,0.5973144690785525
Thakurgaon,3,2022,0.625028145054183
Barguna,3,2022,0.4360033918584875
Barisal,4,2022,0.5170898192739233
Bhola,4,2022,0.4316054869576866
Jhalokati,4,2022,0.6114216234412398
Patuakhali,4,2022,0.49899582756787847
Pirojpur,4,2022,0.5877257690160357
Bandarban,4,2022,0.5806619591313904
Brahamanbaria,4,2022,0.6575358426846274
Chandpur,4,2022,0.5323353529750938
Chittagong,4,2022,0.5536729653736716
Comilla,4,2022,0.5900476704359863
Cox's Bazar,4,2022,0.46752649485615605
Feni,4,2022,0.5293523337167043
Khagrachhari,4,2022,0.6120087232314464
Lakshmipur,4,2022,0.5479543035297523
Noakhali,4,2022,0.5385835318127593
Rangamati,4,2022,0.544791242661263
Dhaka,4,2022,0.49107802563112407
Faridpur,4,2022,0.3966661138808313
Gazipur,4,2022,0.5299254751740322
Gopalganj,4,2022,0.5753271286693196
Jamalpur,4,2022,0.5444245663444409
Kishoreganj,4,2022,0.6639681730615593
Madaripur,4,2022,0.41992115869071667
Manikganj,4,2022,0.4459973697993447
Munshiganj,4,2022,0.43659583611045494
Mymensingh,4,2022,0.6857573669186363
Narayanganj,4,2022,0.5589844292844975
Narsingdi,4,2022,0.6584740455998022
Netrakona,4,2022,0.6930753366999477
Rajbari,4,2022,0.46004976197252523
Shariatpur,4,2022,0.36201923961550575
Sherpur,4,2022,0.6696163549488653
Tangail,4,2022,0.5447437451526812
Bagerhat,4,2022,0.5189559833210795
Chuadanga,4,2022,0.6113610543012147
Jessore,4,2022,0.6729716683063542
Jhenaidah,4,2022,0.6382510949363296
Khulna,4,2022,0.4976577376656835
Kushtia,4,2022,0.500885716530174
Magura,4,2022,0.613858539915723
Meherpur,4,2022,0.5478218057861934
Narail,4,2022,0.567924543742314
Satkhira,4,2022,0.49714729258997303
Habiganj,4,2022,0.635836638681124
Maulvibazar,4,2022,0.6621423876233968
Sunamganj,4,2022,0.5556109311072924
Sylhet,4,2022,0.5770235049983646
Bogra,4,2022,0.637816448543851
Joypurhat,4,2022,0.7290890894342658
Naogaon,4,2022,0.6725211200812505
Natore,4,2022,0.5723202475965302
Nawabganj,4,2022,0.6203960149795923
Pabna,4,2022,0.5192402280716076
Rajshahi,4,2022,0.5677567834380925
Sirajganj,4,2022,0.5482200432862642
Dinajpur,4,2022,0.7110874342144243
Gaibandha,4,2022,0.5451868590437287
Kurigram,4,2022,0.5070525106306933
Lalmonirhat,4,2022,0.6648600612378953
Nilphamari,4,2022,0.6788551532313526
Panchagarh,4,2022,0.5796575009034007
Rangpur,4,2022,0.6826300929736541
Thakurgaon,4,2022,0.6486246745708794
Barguna,4,2022,0.5058674348186674
Barisal,5,2022,0.5674954078578924
Bhola,5,2022,0.4061875299080897
Jhalokati,5,2022,0.6793138765915435
Patuakhali,5,2022,0.536032782118053
Pirojpur,5,2022,0.6106553469507887
Bandarban,5,2022,0.5338118677153775
Brahamanbaria,5,2022,0.518904880145564
Chandpur,5,2022,0.5507255443580819
Chittagong,5,2022,0.6054097113351958
Comilla,5,2022,0.5844403471566804
Cox's Bazar,5,2022,0.4406123149843835
Feni,5,2022,0.4596434950602598
Khagrachhari,5,2022,0.6779400471415786
Lakshmipur,5,2022,0.47145656840017214
Noakhali,5,2022,0.4377957784920542
Rangamati,5,2022,0.5998629347605865
Dhaka,5,2022,0.5340337450467334
Faridpur,5,2022,0.7529572476315628
Gazipur,5,2022,0.6077637566841488
Gopalganj,5,2022,0.7049289127236453
Jamalpur,5,2022,0.6165570600597269
Kishoreganj,5,2022,0.5335344036392925
Madaripur,5,2022,0.6367270185281331
Manikganj,5,2022,0.5676028488127722
Munshiganj,5,2022,0.5731914158424792
Mymensingh,5,2022,0.5532647650372854
Narayanganj,5,2022,0.5590852018115111
Narsingdi,5,2022,0.6232734263988953
Netrakona,5,2022,0.3759979613946238
Rajbari,5,2022,0.669657867461481
Shariatpur,5,2022,0.5491452932370794
Sherpur,5,2022,0.6551624826533121
Tangail,5,2022,0.6302354824785589
Bagerhat,5,2022,0.47737280428607476
Chuadanga,5,2022,0.5349403476768128
Jessore,5,2022,0.5889539267897302
Jhenaidah,5,2022,0.6187203066739828
Khulna,5,2022,0.42967997988079537
Kushtia,5,2022,0.5405045811596956
Magura,5,2022,0.7257553265104796
Meherpur,5,2022,0.5679493960275682
Narail,5,2022,0.6056363700328226
Satkhira,5,2022,0.4262780414406295
Habiganj,5,2022,0.520037830413325
Maulvibazar,5,2022,0.6367153767645307
Sunamganj,5,2022,0.23581753295219943
Sylhet,5,2022,0.35406451009395884
Bogra,5,2022,0.4760111617211566
Joypurhat,5,2022,0.6058596977458027
Naogaon,5,2022,0.48692202423130054
Natore,5,2022,0.5626037381468577
Nawabganj,5,2022,0.539880300832818
Pabna,5,2022,0.5782942508993382
Rajshahi,5,2022,0.5604499083416606
Sirajganj,5,2022,0.4766059824650202
Dinajpur,5,2022,0.5496519017061617
Gaibandha,5,2022,0.4304081086359353
Kurigram,5,2022,0.46210496664166834
Lalmonirhat,5,2022,0.5442288644324215
Nilphamari,5,2022,0.5667957271690626
Panchagarh,5,2022,0.6648635492287673
Rangpur,5,2022,0.5345821961683708
Thakurgaon,5,2022,0.6482661481275183
Barguna,5,2022,0.503722857351117
Barisal,6,2022,0.4420591619535452
Bhola,6,2022,0.38178219221412335
Jhalokati,6,2022,0.5967116820431164
Patuakhali,6,2022,0.46612218843628667
Pirojpur,6,2022,0.5016050176481787
Bandarban,6,2022,0.7048488405997357
Brahamanbaria,6,2022,0.26695047832162183
Chandpur,6,2022,0.4423591274390235
Chittagong,6,2022,0.5924662139732982
Comilla,6,2022,0.3444492838379198
Cox's Bazar,6,2022,0.4739328969149944
Feni,6,2022,0.2233961702317586
Khagrachhari,6,2022,0.6807410310463354
Lakshmipur,6,2022,0.4321611290962964
Noakhali,6,2022,0.47891055431675594
Rangamati,6,2022,0.6296573475236937
Dhaka,6,2022,0.41710307719202133
Faridpur,6,2022,0.5426948919252573
Gazipur,6,2022,0.40817763535307816
Gopalganj,6,2022,0.5688726911621899
Jamalpur,6,2022,0.2889521716638362
Kishoreganj,6,2022,0.2512390437564621
Madaripur,6,2022,0.5878833753942598
Manikganj,6,2022,0.37842068348032043
Munshiganj,6,2022,0.4468180458876054
Mymensingh,6,2022,0.6175146444715226
Narayanganj,6,2022,0.43090367295130655
Narsingdi,6,2022,0.4591151373315611
Netrakona,6,2022,0.4643759271962743
Rajbari,6,2022,0.6023191867030235
Shariatpur,6,2022,0.513977958873958
Sherpur,6,2022,0.34946934995122003
Tangail,6,2022,0.5183842232916519
Bagerhat,6,2022,0.3322320113952958
Chuadanga,6,2022,0.5933823735899091
Jessore,6,2022,0.4047918997513141
Jhenaidah,6,2022,0.5183430372235739
Khulna,6,2022,0.31788803677333105
Kushtia,6,2022,0.5709499955193208
Magura,6,2022,0.6301617366759952
Meherpur,6,2022,0.5846171838931871
Narail,6,2022,0.4861969350436766
Satkhira,6,2022,0.3132873832980225
Habiganj,6,2022,0.22967482211858958
Maulvibazar,6,2022,0.42355571059496283
Sunamganj,6,2022,0.13381975754590741
Sylhet,6,2022,0.08416516357112205
Bogra,6,2022,0.24815502248318586
Joypurhat,6,2022,0.23769252625279913
Naogaon,6,2022,0.1936272796604223
Natore,6,2022,0.38162078099395336
Nawabganj,6,2022,0.43123433884030793
Pabna,6,2022,0.5303342472500436
Rajshahi,6,2022,0.38124669492577
Sirajganj,6,2022,0.3489336684495289
Dinajpur,6,2022,0.18980101695842258
Gaibandha,6,2022,0.14538331364792964
Kurigram,6,2022,0.15751468690828077
Lalmonirhat,6,2022,0.18100196292932938
Nilphamari,6,2022,0.24222559079445988
Panchagarh,6,2022,0.40590931968560756
Rangpur,6,2022,0.13366651561944604
Thakurgaon,6,2022,0.2993736911273886
Barguna,6,2022,0.4347514140365293
Barisal,7,2022,0.5542645635841609
Bhola,7,2022,0.37178515509884275
Jhalokati,7,2022,0.6949413403395572
Patuakhali,7,2022,0.4656493623249038
Pirojpur,7,2022,0.6561786946393584
Bandarban,7,2022,0.8495806774970942
Brahamanbaria,7,2022,0.34854760695323433
Chandpur,7,2022,0.5810527360772759
Chittagong,7,2022,0.682479096258625
Comilla,7,2022,0.6444841839907025
Cox's Bazar,7,2022,0.5437457774362155
Feni,7,2022,0.5118074754436095
Khagrachhari,7,2022,0.8226710353680933
Lakshmipur,7,2022,0.4559656192213157
Noakhali,7,2022,0.49946150789262866
Rangamati,7,2022,0.8074748640228796
Dhaka,7,2022,0.42862015105407686
Faridpur,7,2022,0.49284165441243916
Gazipur,7,2022,0.545074099703035
Gopalganj,7,2022,0.6080449351105979
Jamalpur,7,2022,0.52705956649318
Kishoreganj,7,2022,0.2999855303029585
Madaripur,7,2022,0.5716062239772393
Manikganj,7,2022,0.45938425578205405
Munshiganj,7,2022,0.5584252700319914
Mymensingh,7,2022,0.46766862101992085
Narayanganj,7,2022,0.513244608687067
Narsingdi,7,2022,0.5467770414386971
Netrakona,7,2022,0.2667316540180908
Rajbari,7,2022,0.5929597955404623
Shariatpur,7,2022,0.5599185996864018
Sherpur,7,2022,0.5355636098162895
Tangail,7,2022,0.4640112318782944
Bagerhat,7,2022,0.5662997305943662
Chuadanga,7,2022,0.5679829538217929
Jessore,7,2022,0.530519415450277
Jhenaidah,7,2022,0.5124878880785154
Khulna,7,2022,0.4739383316742353
Kushtia,7,2022,0.5142074550854819
Magura,7,2022,0.65230422716385
Meherpur,7,2022,0.5676649053908943
Narail,7,2022,0.5684196499684996
Satkhira,7,2022,0.4510486510619004
Habiganj,7,2022,0.3858892952747356
Maulvibazar,7,2022,0.5148664898615166
Sunamganj,7,2022,0.09508323127976044
Sylhet,7,2022,0.2833432767721413
Bogra,7,2022,0.43976147978304253
Joypurhat,7,2022,0.44476039683557544
Naogaon,7,2022,0.4800939170031104
Natore,7,2022,0.5665657997063681
Nawabganj,7,2022,0.5393250803974491
Pabna,7,2022,0.5529659600949932
Rajshahi,7,2022,0.4941602428940526
Sirajganj,7,2022,0.44706664106062693
Dinajpur,7,2022,0.42230979472828795
Gaibandha,7,2022,0.4584825306305985
Kurigram,7,2022,0.3886806817999567
Lalmonirhat,7,2022,0.37745186044895845
Nilphamari,7,2022,0.43636681936189753
Panchagarh,7,2022,0.4979961352001577
Rangpur,7,2022,0.45531009147644197
Thakurgaon,7,2022,0.4537963927821761
Barguna,7,2022,0.5273232488910106
Barisal,8,2022,0.5133021347675257
Bhola,8,2022,0.30864822966778577
Jhalokati,8,2022,0.6309483351312434
Patuakhali,8,2022,0.37857430923722013
Pirojpur,8,2022,0.5620689516731433
Bandarban,8,2022,0.7663651851608406
Brahamanbaria,8,2022,0.45494571460263084
Chandpur,8,2022,0.5229471933624957
Chittagong,8,2022,0.5912761867319247
Comilla,8,2022,0.5729334202546559
Cox's Bazar,8,2022,0.520886589391011
Feni,8,2022,0.5184942456903052
Khagrachhari,8,2022,0.8316309443464014
Lakshmipur,8,2022,0.517389218637831
Noakhali,8,2022,0.5037913730440824
Rangamati,8,2022,0.7314917143767405
Dhaka,8,2022,0.49242645135554647
Faridpur,8,2022,0.47959898798800205
Gazipur,8,2022,0.449297809470524
Gopalganj,8,2022,0.5867505384994934
Jamalpur,8,2022,0.46998199836044063
Kishoreganj,8,2022,0.30453976097978547
Madaripur,8,2022,0.5672526406443035
Manikganj,8,2022,0.4672147416818284
Munshiganj,8,2022,0.6051612902639888
Mymensingh,8,2022,0.45172728833842274
Narayanganj,8,2022,0.5119154334471943
Narsingdi,8,2022,0.5297409888234367
Netrakona,8,2022,0.3327085494994321
Rajbari,8,2022,0.442458800296968
Shariatpur,8,2022,0.5583694974456702
Sherpur,8,2022,0.4975873232151262
Tangail,8,2022,0.47786440854132584
Bagerhat,8,2022,0.48327400123848413
Chuadanga,8,2022,0.6509525259047746
Jessore,8,2022,0.5470433993374021
Jhenaidah,8,2022,0.5637061081242652
Khulna,8,2022,0.4364230000967068
Kushtia,8,2022,0.47018162629174265
Magura,8,2022,0.5070459967678227
Meherpur,8,2022,0.5844203857066833
Narail,8,2022,0.5077216518388674
Satkhira,8,2022,0.4639795548709662
Habiganj,8,2022,0.415659855975214
Maulvibazar,8,2022,0.5506801484122678
Sunamganj,8,2022,0.1676312454564681
Sylhet,8,2022,0.39953154978473876
Bogra,8,2022,0.2942705483700793
Joypurhat,8,2022,0.3235649305737168
Naogaon,8,2022,0.4556956779093295
Natore,8,2022,0.4227296035364015
Nawabganj,8,2022,0.5701139573266716
Pabna,8,2022,0.46331037904945704
Rajshahi,8,2022,0.49669654482142056
Sirajganj,8,2022,0.372040315776618
Dinajpur,8,2022,0.44074979892323785
Gaibandha,8,2022,0.37511878826443734
Kurigram,8,2022,0.3621279587057305
Lalmonirhat,8,2022,0.46331958201357565
Nilphamari,8,2022,0.4876192545852792
Panchagarh,8,2022,0.5510197984944607
Rangpur,8,2022,0.4622620084886392
Thakurgaon,8,2022,0.5867419564001933
Barguna,8,2022,0.45175013384127166
Barisal,9,2022,0.567794495045879
Bhola,9,2022,0.4699944402530996
Jhalokati,9,2022,0.6924014491618122
Patuakhali,9,2022,0.5920743095300764
Pirojpur,9,2022,0.6694928899632234
Bandarban,9,2022,0.6400524865056962
Brahamanbaria,9,2022,0.43670464077384324
Chandpur,9,2022,0.5634679286992691
Chittagong,9,2022,0.6920990597856779
Comilla,9,2022,0.5897178255176488
Cox's Bazar,9,2022,0.4554189281487633
Feni,9,2022,0.6401494711124641
Khagrachhari,9,2022,0.7963580520518849
Lakshmipur,9,2022,0.5345976691340619
Noakhali,9,2022,0.5914055424579546
Rangamati,9,2022,0.7041457142250319
Dhaka,9,2022,0.5298436119172008
Faridpur,9,2022,0.5965660926254803
Gazipur,9,2022,0.6051030069433181
Gopalganj,9,2022,0.7021499170266506
Jamalpur,9,2022,0.6115331194949893
Kishoreganj,9,2022,0.30842080756146767
Madaripur,9,2022,0.6387867617181883
Manikganj,9,2022,0.574015806522211
Munshiganj,9,2022,0.6308575137448587
Mymensingh,9,2022,0.6478351881822959
Narayanganj,9,2022,0.5308966027601754
Narsingdi,9,2022,0.5926051194808659
Netrakona,9,2022,0.48208128904144765
Rajbari,9,2022,0.5831597991766047
Shariatpur,9,2022,0.5741768565259068
Sherpur,9,2022,0.747826379642217
Tangail,9,2022,0.6075858666315409
Bagerhat,9,2022,0.6271082480751782
Chuadanga,9,2022,0.41273005526710427
Jessore,9,2022,0.6501854407783855
Jhenaidah,9,2022,0.5922287496352956
Khulna,9,2022,0.5644532053405601
Kushtia,9,2022,0.49686328259845847
Magura,9,2022,0.6671481284040048
Meherpur,9,2022,0.4062022996878785
Narail,9,2022,0.6544106423661171
Satkhira,9,2022,0.5219366430460065
Habiganj,9,2022,0.495174074752379
Maulvibazar,9,2022,0.649745526407005
Sunamganj,9,2022,0.22940318912839902
Sylhet,9,2022,0.5040975738662405
Bogra,9,2022,0.5503195080143671
Joypurhat,9,2022,0.6615482685279128
Naogaon,9,2022,0.5463977310406545
Natore,9,2022,0.40369212532453763
Nawabganj,9,2022,0.47798709951816953
Pabna,9,2022,0.4948533068292317
Rajshahi,9,2022,0.4391039575308881
Sirajganj,9,2022,0.4565153544320277
Dinajpur,9,2022,0.6892975140261551
Gaibandha,9,2022,0.6007931464316658
Kurigram,9,2022,0.5478531783836492
Lalmonirhat,9,2022,0.6766284582000284
Nilphamari,9,2022,0.7151273940993341
Panchagarh,9,2022,0.5896039941938911
Rangpur,9,2022,0.7094555655563689
Thakurgaon,9,2022,0.6772366829862491
Barguna,9,2022,0.5490064739404064
Barisal,10,2022,0.6671864661422215
Bhola,10,2022,0.5619885750750003
Jhalokati,10,2022,0.8028956030994187
Patuakhali,10,2022,0.734232053233529
Pirojpur,10,2022,0.7650165834995978
Bandarban,10,2022,0.8671820508565261
Brahamanbaria,10,2022,0.5945312598354573
Chandpur,10,2022,0.6712790537040136
Chittagong,10,2022,0.7739362812151284
Comilla,10,2022,0.7524813880152655
Cox's Bazar,10,2022,0.6672944228011919
Feni,10,2022,0.7755695811312292
Khagrachhari,10,2022,0.856788067494475
Lakshmipur,10,2022,0.6517687286669517
Noakhali,10,2022,0.7346322909521341
Rangamati,10,2022,0.831889164210147
Dhaka,10,2022,0.5837149829589607
Faridpur,10,2022,0.6695517506292995
Gazipur,10,2022,0.7085741407246882
Gopalganj,10,2022,0.7433667080013289
Jamalpur,10,2022,0.715139603068865
Kishoreganj,10,2022,0.43449624048184365
Madaripur,10,2022,0.6920490606758153
Manikganj,10,2022,0.5558925176187245
Munshiganj,10,2022,0.6615550615453807
Mymensingh,10,2022,0.7881225958318003
Narayanganj,10,2022,0.6132250425521388
Narsingdi,10,2022,0.6824918279369818
Netrakona,10,2022,0.619766694488623
Rajbari,10,2022,0.6654556947003218
Shariatpur,10,2022,0.6167909933831088
Sherpur,10,2022,0.8097729741972963
Tangail,10,2022,0.7151662970139818
Bagerhat,10,2022,0.6510156043507471
Chuadanga,10,2022,0.6867362439360766
Jessore,10,2022,0.7635745311080662
Jhenaidah,10,2022,0.7965059539920574
Khulna,10,2022,0.6421261812752586
Kushtia,10,2022,0.7008984373944362
Magura,10,2022,0.8043557586956386
Meherpur,10,2022,0.7123595666886412
Narail,10,2022,0.7111283598058571
Satkhira,10,2022,0.6220176567108407
Habiganj,10,2022,0.6411322131407678
Maulvibazar,10,2022,0.7271062041651906
Sunamganj,10,2022,0.3018985011362504
Sylhet,10,2022,0.6269803194931045
Bogra,10,2022,0.725311889803821
Joypurhat,10,2022,0.8133991648622833
Naogaon,10,2022,0.770595366034742
Natore,10,2022,0.7207877220102255
Nawabganj,10,2022,0.6768987530496066
Pabna,10,2022,0.6589094835517364
Rajshahi,10,2022,0.6732732041083925
Sirajganj,10,2022,0.5642331362012079
Dinajpur,10,2022,0.7738551815774468
Gaibandha,10,2022,0.6508611851343002
Kurigram,10,2022,0.5763183693120135
Lalmonirhat,10,2022,0.7096266334309528
Nilphamari,10,2022,0.7537277765407396
Panchagarh,10,2022,0.7720709346173125
Rangpur,10,2022,0.76862250313479
Thakurgaon,10,2022,0.7768621067805279
Barguna,10,2022,0.7138068697061348
Barisal,11,2022,0.6330367840253047
Bhola,11,2022,0.514124857945485
Jhalokati,11,2022,0.7991687877339873
Patuakhali,11,2022,0.7227886880538199
Pirojpur,11,2022,0.7558803371135226
Bandarban,11,2022,0.8567017505602164
Brahamanbaria,11,2022,0.5711975005859882
Chandpur,11,2022,0.6033922761857148
Chittagong,11,2022,0.7350653476244575
Comilla,11,2022,0.703459871840968
Cox's Bazar,11,2022,0.6071572367529551
Feni,11,2022,0.7004783336358273
Khagrachhari,11,2022,0.8559672939232447
Lakshmipur,11,2022,0.6217672487676897
Noakhali,11,2022,0.6764116278820909
Rangamati,11,2022,0.8220419820506589
Dhaka,11,2022,0.576471710437826
Faridpur,11,2022,0.6416638027868645
Gazipur,11,2022,0.7269945733521865
Gopalganj,11,2022,0.7348320884590022
Jamalpur,11,2022,0.6487664531417081
Kishoreganj,11,2022,0.4854226121585968
Madaripur,11,2022,0.6384818945684901
Manikganj,11,2022,0.5212357954669185
Munshiganj,11,2022,0.600121258525617
Mymensingh,11,2022,0.71131693615514
Narayanganj,11,2022,0.5854446627263556
Narsingdi,11,2022,0.6869061437021371
Netrakona,11,2022,0.5738339833353299
Rajbari,11,2022,0.5869403303628942
Shariatpur,11,2022,0.5640463580457145
Sherpur,11,2022,0.7229987209816355
Tangail,11,2022,0.6742159327945985
Bagerhat,11,2022,0.6477130977086193
Chuadanga,11,2022,0.6497551287953349
Jessore,11,2022,0.7040992372081809
Jhenaidah,11,2022,0.7144836045603241
Khulna,11,2022,0.6364183509663464
Kushtia,11,2022,0.6183601801501438
Magura,11,2022,0.7184795833944908
Meherpur,11,2022,0.6409561752895724
Narail,11,2022,0.6859119772103097
Satkhira,11,2022,0.5783008130078179
Habiganj,11,2022,0.5659510438781349
Maulvibazar,11,2022,0.695083418320728
Sunamganj,11,2022,0.2994017492366744
Sylhet,11,2022,0.6159775713394848
Bogra,11,2022,0.6413345234099986
