Area,AP Ratio,District,Season,Avg Temp,Avg Humidity,Crop Name,Transplant,Growth,Harvest,Production,Max Temp,Min Temp,Max Relative Humidity,Min Relative Humidity,soil_ph,NDVI_early,NDVI_mid,NDVI_late,NDVI_std,NDVI_prev_season
252930,1.369529119,Jhenaidah,Kharif 2,26.0,72.5,Aman,June,July to  Oct,Nov to Dec,346395,40,12.0,60,85,,0.3144404421042321,0.41897713564458694,0.4827346712999638,0.17641808245088475,0.408777297617167
170726,1.137928611,Joypurhat,Kharif 2,26.0,72.5,Aman,June,July to  Oct,Nov to Dec,194274,40,12.0,60,85,64.0,0.1336078370665993,0.35565717723262447,0.39594865313298666,0.20064892897584483,0.3944038962894077
66694,1.304375206,Khagrachari,Kharif 2,26.0,72.5,Aman,June,July to  Oct,Nov to Dec,86994,40,12.0,60,85,54.0,0.2320701094515291,0.5428167165599908,0.7658027120474976,0.21968061420814278,0.3644198594801792
237461,1.120950388,Khulna,Kharif 2,26.0,72.5,Aman,June,July to  Oct,Nov to Dec,266182,40,12.0,60,85,59.0,0.2015083923668761,0.36748234954689746,0.49974810124531865,0.14929718720727067,0.2474562801358325
186328,1.158322957,Kishoreganj,Kharif 2,26.0,72.5,Aman,June,July to  Oct,Nov to Dec,215828,40,12.0,60,85,,-0.0336641988977872,0.08114440689233535,0.3150877494091977,0.14331249446134045,0.1332425341291768
283509,1.102067307,Kurigram,Kharif 2,26.0,72.5,Aman,June,July to  Oct,Nov to Dec,312446,40,12.0,60,85,,0.0474631119536175,0.3012334961680515,0.3741169026230573,0.159006735370395,0.2500938130926464
225972,1.200374383,Kushtia,Kharif 2,26.0,72.5,Aman,June,July to  Oct,Nov to Dec,271251,40,12.0,60,85,,0.360379678702526,0.37345597155076815,0.424148835975684,0.13258540255198098,0.2938513007384295
185213,1.053263,Lakshmipur,Kharif 2,26.0,72.5,Aman,June,July to  Oct,Nov to Dec,195078,40,12.0,60,85,56.0,0.1289476151265251,0.2877565737489497,0.4834497322363017,0.17179148045794632,0.2205991932065824
189950,1.141163464,Lalmonirhat,Kharif 2,26.0,72.5,Aman,June,July to  Oct,Nov to Dec,216764,40,12.0,60,85,,0.1387455869466906,0.3797798926567142,0.3885815864462251,0.16185758178517912,0.3339137681224553
40746,0.8303146321,Madaripur,Kharif 2,26.0,72.5,Aman,June,July to  Oct,Nov to Dec,33832,40,12.0,60,85,56.0,0.3559742042723802,0.3785296766459993,0.46460392808766804,0.11706850191643516,0.3999496888165858
143430,1.062643798,Magura,Kharif 2,26.0,72.5,Aman,June,July to  Oct,Nov to Dec,152415,40,12.0,60,85,61.0,0.3192240072859663,0.4003873270867417,0.4710654703602867,0.1697622293446685,0.4952291300988705
19457,0.9198231999,Manikganj,Kharif 2,26.0,72.5,Aman,June,July to  Oct,Nov to Dec,17897,40,12.0,60,85,,0.1685356100952224,0.30872077467055786,0.39800355359045636,0.11736232396915541,0.3258735577731652
82524,1.279203626,Meherpur,Kharif 2,26.0,72.5,Aman,June,July to  Oct,Nov to Dec,105565,40,12.0,60,85,65.0,0.4049998628938372,0.3820955835524377,0.5121802294660983,0.16973584372374573,0.4393863474141398
251081,1.180622986,Moulvibazar,Kharif 2,26.0,72.5,Aman,June,July to  Oct,Nov to Dec,296432,40,12.0,60,85,,0.2872841543480849,0.3694835704020727,0.5588860754213539,0.1384796347100048,0.2272905883804999
41822,0.3934053847,Munshiganj,Kharif 2,26.0,72.5,Aman,June,July to  Oct,Nov to Dec,16453,40,12.0,60,85,,0.3061790651261972,0.31048632812780597,0.3912192081288036,0.11298280133671615,0.3805900028922174
663734,0.9711571202,Mymensingh,Kharif 2,26.0,72.5,Aman,June,July to  Oct,Nov to Dec,644590,40,12.0,60,85,,0.147268203746856,0.3923207473255033,0.498250469533663,0.21280316308286137,0.183712498982838
468054,1.082366565,Naogaon,Kharif 2,26.0,72.5,Aman,June,July to  Oct,Nov to Dec,506606,40,12.0,60,85,,0.151012544621987,0.3847905804572117,0.4140410822243924,0.1680396537802796,0.2178154704904624
85229,1.068098887,Narail,Kharif 2,26.0,72.5,Aman,June,July to  Oct,Nov to Dec,91033,40,12.0,60,85,58.0,0.2931034421079588,0.3905473746608645,0.4760758013708081,0.14084309009123092,0.3738582462137362
19756,0.5482385098,Narayanganj,Kharif 2,26.0,72.5,Aman,June,July to  Oct,Nov to Dec,10831,40,12.0,60,85,,0.2139360142323902,0.31309162962886294,0.44293350929471353,0.10130516948026351,0.2967271553285521
97752,1.039313774,Narsingdi,Kharif 2,26.0,72.5,Aman,June,July to  Oct,Nov to Dec,101595,40,12.0,60,85,,0.0686431818013071,0.35317346137097944,0.5391174286657466,0.17166591555865326,0.2875359195667165
182696,1.119438849,Natore,Kharif 2,26.0,72.5,Aman,June,July to  Oct,Nov to Dec,204517,40,12.0,60,85,,0.2396934944526867,0.35491401631288577,0.43265410897296014,0.16874068728337654,0.2843293374458162
301949,1.091058424,Netrokona,Kharif 2,26.0,72.5,Aman,June,July to  Oct,Nov to Dec,329444,40,12.0,60,85,,-0.0374691032015912,0.22306872607736605,0.38954680697162514,0.17860129019659104,0.1216241284636668
279580,1.103355033,Nilphamari,Kharif 2,26.0,72.5,Aman,June,July to  Oct,Nov to Dec,308476,40,12.0,60,85,,0.1378536434354302,0.3721388005199978,0.41532029963635525,0.1965676970622809,0.3905363140056865
382971,1.033623956,Noakhali,Kharif 2,26.0,72.5,Aman,June,July to  Oct,Nov to Dec,395848,40,12.0,60,85,55.0,0.1125262690416429,0.32052794422417735,0.5250484754670472,0.1979134757110333,0.1658426609921801
221929,0.8668718374,Pabna,Kharif 2,26.0,72.5,Aman,June,July to  Oct,Nov to Dec,192384,40,12.0,60,85,,0.3338369511018429,0.3606929534338934,0.4411475215344412,0.11648939132617295,0.3054242601831844
246162,1.246549021,Panchagar,Kharif 2,26.0,72.5,Aman,June,July to  Oct,Nov to Dec,306853,40,12.0,60,85,,0.194460217324899,0.41111429187383636,0.4205235676579512,0.17328289799858546,0.5473277632011888
431833,0.749345233,Patuakhali,Kharif 2,26.0,72.5,Aman,June,July to  Oct,Nov to Dec,323592,40,12.0,60,85,,0.1845850493144675,0.3395678622280651,0.5170062652631178,0.20610253673946435,0.3357123883791376
155038,0.6449257601,Pirojpur,Kharif 2,26.0,72.5,Aman,June,July to  Oct,Nov to Dec,99988,40,12.0,60,85,57.0,0.264165553095138,0.4463898354492291,0.616086716846273,0.17611001299616574,0.4034404459856785
117377,0.9136968912,Rajbari,Kharif 2,26.0,72.5,Aman,June,July to  Oct,Nov to Dec,107247,40,12.0,60,85,60.0,0.3693864167143024,0.36164674120127466,0.3912510216288543,0.12298514291558149,0.420965323158295
182555,1.273851716,Rajshahi,Kharif 2,26.0,72.5,Aman,June,July to  Oct,Nov to Dec,232548,40,12.0,60,85,65.0,0.309744230953222,0.3497720467554164,0.39444582827032126,0.11690333674366499,0.2148030029570647
23990,1.199041267,Rangamati,Kharif 2,26.0,72.5,Aman,June,July to  Oct,Nov to Dec,28765,40,12.0,60,85,,0.3566101220905236,0.5351978544882356,0.7156570168210046,0.1700681306349054,0.2219434186735245
405055,1.092310921,Rangpur,Kharif 2,26.0,72.5,Aman,June,July to  Oct,Nov to Dec,442446,40,12.0,60,85,59.0,0.0468616342173195,0.3954368005446125,0.4286877219526362,0.21068523158331465,0.4001486941371419
207744,1.108450786,Satkhira,Kharif 2,26.0,72.5,Aman,June,July to  Oct,Nov to Dec,230274,40,12.0,60,85,59.0,0.1194165133466915,0.33327058476068194,0.45327710015963263,0.14742149216508563,0.2245382571010397
32898,0.701501611,Shariatpur,Kharif 2,26.0,72.5,Aman,June,July to  Oct,Nov to Dec,23078,40,12.0,60,85,55.0,0.3246768434248136,0.3466584106781929,0.41999481225805624,0.0921868903853762,0.3404679378482187
202388,0.9527689389,Sherpur,Kharif 2,26.0,72.5,Aman,June,July to  Oct,Nov to Dec,192829,40,12.0,60,85,,0.0528778723675305,0.3749640158582731,0.5107496792524139,0.21548156515168806,0.2278267182217989
200166,1.104498266,Sirajganj,Kharif 2,26.0,72.5,Aman,June,July to  Oct,Nov to Dec,221083,40,12.0,60,85,,0.1381345270632336,0.23993740629396534,0.36772646174850643,0.1264582210695187,0.1547068330441469
198587,1.044851879,Sunamganj,Kharif 2,26.0,72.5,Aman,June,July to  Oct,Nov to Dec,207494,40,12.0,60,85,54.0,-0.1976703408679797,0.008277367429854375,0.2068831847251824,0.14462795620319802,0.0066240920840004
336140,1.05969834,Sylhet,Kharif 2,26.0,72.5,Aman,June,July to  Oct,Nov to Dec,356207,40,12.0,60,85,54.0,0.021092634797125,0.28716042224395744,0.48507682619577996,0.19388777658459755,0.0219238745854215
249183,0.8334115891,Tangail,Kharif 2,26.0,72.5,Aman,June,July to  Oct,Nov to Dec,207672,40,12.0,60,85,60.0,0.1318871049415015,0.312728283594172,0.4953155465948207,0.19513383433990147,0.1960530352637223
322836,1.083695746,Thakurgaon,Kharif 2,26.0,72.5,Aman,June,July to  Oct,Nov to Dec,349856,40,12.0,60,85,,0.1637129632869899,0.41126033896677966,0.38108834891850396,0.17262659546319697,0.4809286896683722
167,6.700598802,Bagerhat,Kharif 1,25.0,70.0,Amra,June,June to August,August to September,1119,30,20.0,60,80,57.0,0.2093828623516599,0.2950134925899327,0.4274038167766788,0.11606441411920058,0.2670404721298456
128,1.3046875,Bandarban,Kharif 1,25.0,70.0,Amra,June,June to August,August to September,167,30,20.0,60,80,55.0,0.4365742393395427,0.4873758494471947,0.4368947017278657,0.06535487820984082,0.2612788417491431
1597,0.9198497182,Barguna,Kharif 1,25.0,70.0,Amra,June,June to August,August to September,1469,30,20.0,60,80,57.0,0.2099802275666429,0.23863117597059522,0.251793712631361,0.08283244986176969,0.3323424160378924
1351,4.071058475,Barishal,Kharif 1,25.0,70.0,Amra,June,June to August,August to September,5500,30,20.0,60,80,,0.1933459589530938,0.23613805496103848,0.25884791955367686,0.07737100330887633,0.309535002934125
148,5.155405405,Bhola,Kharif 1,25.0,70.0,Amra,June,June to August,August to September,763,30,20.0,60,80,56.0,0.1700006675577468,0.13946893734096613,0.14814231615787765,0.07202066392259102,0.1946286534864403
233,3.39055794,Bogura,Kharif 1,25.0,70.0,Amra,June,June to August,August to September,790,30,20.0,60,80,,0.1186313763339489,0.1834073810352517,0.21590492358133406,0.08938370522601545,0.2764687680682978
15,0.8666666667,Brahmanbaria,Kharif 1,25.0,70.0,Amra,June,June to August,August to September,13,30,20.0,60,80,54.0,0.0571539099837129,0.15612526768194146,0.23311424095446215,0.08362303913044793,0.2371168297003784
50,5.26,Chandpur,Kharif 1,25.0,70.0,Amra,June,June to August,August to September,263,30,20.0,60,80,,0.2069406843342435,0.24914948642902943,0.25040468411213634,0.05655934101182492,0.244284950998653
71,2.183098592,Chapai Nawabganj,Kharif 1,25.0,70.0,Amra,June,June to August,August to September,155,30,20.0,60,80,,0.372994229085631,0.36075364542673066,0.3140133434390434,0.07108443191316943,0.2662611383381359
95,4.810526316,Chattogram,Kharif 1,25.0,70.0,Amra,June,June to August,August to September,457,30,20.0,60,80,,0.2968827150300339,0.3344371289648777,0.3420172801180706,0.10400835725159772,0.291756878234579
77,4.701298701,Chuadanga,Kharif 1,25.0,70.0,Amra,June,June to August,August to September,362,30,20.0,60,80,,0.3525594225872085,0.35678541141680853,0.2719459361764927,0.11519656568102589,0.372967925798721
142,2.605633803,CoxsBazar,Kharif 1,25.0,70.0,Amra,June,June to August,August to September,370,30,20.0,60,80,55.0,0.3290250380015852,0.34773760695086736,0.31954097171244267,0.033502691541672826,0.280567372051847
330,1.081818182,Cumilla,Kharif 1,25.0,70.0,Amra,June,June to August,August to September,357,30,20.0,60,80,,0.1337973760585641,0.27041889417165876,0.291481144108595,0.13472550580222473,0.2661785623056151
31,7.580645161,Dhaka,Kharif 1,25.0,70.0,Amra,June,June to August,August to September,235,30,20.0,60,80,,0.2388020657596918,0.21215400231049686,0.24478020581549825,0.06797224647912765,0.2739750686969379
47,12.10638298,Dinajpur,Kharif 1,25.0,70.0,Amra,June,June to August,August to September,569,30,20.0,60,80,,0.0654733330872791,0.16282878044710997,0.29143132236001257,0.1177725127434581,0.3916540989397346
479,1.350730689,Faridpur,Kharif 1,25.0,70.0,Amra,June,June to August,August to September,647,30,20.0,60,80,,0.2985891466935776,0.24173796445702278,0.29755027175904253,0.07382784256738173,0.5012944760184437
28,1.964285714,Feni,Kharif 1,25.0,70.0,Amra,June,June to August,August to September,55,30,20.0,60,80,,0.0507026668147709,0.18850396740869013,0.2778078400860854,0.15400015719354504,0.2107211652615962
11,13.54545455,Gaibandha,Kharif 1,25.0,70.0,Amra,June,June to August,August to September,149,30,20.0,60,80,57.0,0.02131745298654,0.1679196318515741,0.2478348479411857,0.1332979027018208,0.2909507765996219
40,5.9,Gazipur,Kharif 1,25.0,70.0,Amra,June,June to August,August to September,236,30,20.0,60,80,,0.1101810937198298,0.1782788840637368,0.20271260530122726,0.13940917002480466,0.2642814227206714
52,11.36538462,Gopalganj,Kharif 1,25.0,70.0,Amra,June,June to August,August to September,591,30,20.0,60,80,56.0,0.3587029695775944,0.36058273047915157,0.4262801911371143,0.06013122360382198,0.3983745038075617
141,3.780141844,Habiganj,Kharif 1,25.0,70.0,Amra,June,June to August,August to September,533,30,20.0,60,80,,0.1404958846908667,0.18041933275302002,0.19736989304857525,0.055362781741152625,0.2185560015489672
86,4.069767442,Jamalpur,Kharif 1,25.0,70.0,Amra,June,June to August,August to September,350,30,20.0,60,80,,0.0660620517345922,0.1651581312342611,0.1737837077478204,0.08153051012225544,0.2256493291364875
204,5.980392157,Jashore,Kharif 1,25.0,70.0,Amra,June,June to August,August to September,1220,30,20.0,60,80,,0.1878303907762366,0.26040367180119256,0.3564320953995454,0.0845019318060876,0.3985753946916057
742,6.132075472,Jhallokati,Kharif 1,25.0,70.0,Amra,June,June to August,August to September,4550,30,20.0,60,80,,0.3198153813956541,0.3257560376153326,0.37830132123720983,0.1042504750053043,0.4467251837879121
97,14.50515464,Jhenaidah,Kharif 1,25.0,70.0,Amra,June,June to August,August to September,1407,30,20.0,60,80,,0.3144404421042321,0.30816517118693304,0.3402855752061854,0.04441977739214792,0.408777297617167
31,9.774193548,Joypurhat,Kharif 1,25.0,70.0,Amra,June,June to August,August to September,303,30,20.0,60,80,64.0,0.1336078370665993,0.1805981085381633,0.22673930310718554,0.09586610348095315,0.3944038962894077
129,2.062015504,Khagrachari,Kharif 1,25.0,70.0,Amra,June,June to August,August to September,266,30,20.0,60,80,54.0,0.2320701094515291,0.4333408734547521,0.4214656657123207,0.15194708197970208,0.3644198594801792
592,1.491554054,Khulna,Kharif 1,25.0,70.0,Amra,June,June to August,August to September,883,30,20.0,60,80,59.0,0.2015083923668761,0.23922534488555489,0.33800911816002543,0.08652250745761857,0.2474562801358325
60,9.45,Kishoreganj,Kharif 1,25.0,70.0,Amra,June,June to August,August to September,567,30,20.0,60,80,,-0.0336641988977872,0.016074982793197103,0.04304073645143695,0.039501013940257554,0.1332425341291768
24,6.958333333,Kurigram,Kharif 1,25.0,70.0,Amra,June,June to August,August to September,167,30,20.0,60,80,,0.0474631119536175,0.14005288627957205,0.2499837168316994,0.12139004880496265,0.2500938130926464
63,9.238095238,Kushtia,Kharif 1,25.0,70.0,Amra,June,June to August,August to September,582,30,20.0,60,80,,0.360379678702526,0.32281811024020507,0.2806393664739088,0.04135195033548887,0.2938513007384295
13,27.69230769,Lakshmipur,Kharif 1,25.0,70.0,Amra,June,June to August,August to September,360,30,20.0,60,80,56.0,0.1289476151265251,0.17312367993425207,0.2043739971160656,0.047478122595384684,0.2205991932065824
6,1.5,Lalmonirhat,Kharif 1,25.0,70.0,Amra,June,June to August,August to September,9,30,20.0,60,80,,0.1387455869466906,0.20399269667659103,0.3649299840462842,0.13498019150480547,0.3339137681224553
33,21.18181818,Madaripur,Kharif 1,25.0,70.0,Amra,June,June to August,August to September,699,30,20.0,60,80,56.0,0.3559742042723802,0.298561323274337,0.3222855593882866,0.07225857047955984,0.3999496888165858
96,10.33333333,Magura,Kharif 1,25.0,70.0,Amra,June,June to August,August to September,992,30,20.0,60,80,61.0,0.3192240072859663,0.28372301221243107,0.28865274880881886,0.05403289968795251,0.4952291300988705
18,4.111111111,Manikganj,Kharif 1,25.0,70.0,Amra,June,June to August,August to September,74,30,20.0,60,80,,0.1685356100952224,0.19087231609317792,0.296352827831847,0.11267946852874856,0.3258735577731652
101,1.851485149,Meherpur,Kharif 1,25.0,70.0,Amra,June,June to August,August to September,187,30,20.0,60,80,65.0,0.4049998628938372,0.3838808521368812,0.25948503399526074,0.13081014276194805,0.4393863474141398
86,8.976744186,Moulvibazar,Kharif 1,25.0,70.0,Amra,June,June to August,August to September,772,30,20.0,60,80,,0.2872841543480849,0.28293930445605037,0.3190542249067888,0.0752706883926344,0.2272905883804999
15,9.133333333,Munshiganj,Kharif 1,25.0,70.0,Amra,June,June to August,August to September,137,30,20.0,60,80,,0.3061790651261972,0.2515810497126334,0.22296002498692666,0.08977885550589686,0.3805900028922174
407,1.680589681,Mymensingh,Kharif 1,25.0,70.0,Amra,June,June to August,August to September,684,30,20.0,60,80,,0.147268203746856,0.18537890202527174,0.31664926211503513,0.1656546286905534,0.183712498982838
62,5.548387097,Naogaon,Kharif 1,25.0,70.0,Amra,June,June to August,August to September,344,30,20.0,60,80,,0.151012544621987,0.23885959032399665,0.2954428396673448,0.07900979741446207,0.2178154704904624
218,6.119266055,Narail,Kharif 1,25.0,70.0,Amra,June,June to August,August to September,1334,30,20.0,60,80,58.0,0.2931034421079588,0.2835308630843257,0.33682367999562923,0.05008985031836103,0.3738582462137362
8,17.125,Narayanganj,Kharif 1,25.0,70.0,Amra,June,June to August,August to September,137,30,20.0,60,80,,0.2139360142323902,0.2557490787610159,0.2585031197352457,0.07083903222984,0.2967271553285521
28,7.857142857,Narsingdi,Kharif 1,25.0,70.0,Amra,June,June to August,August to September,220,30,20.0,60,80,,0.0686431818013071,0.2247308627605966,0.30355746053955873,0.1520000277951865,0.2875359195667165
270,3.074074074,Natore,Kharif 1,25.0,70.0,Amra,June,June to August,August to September,830,30,20.0,60,80,,0.2396934944526867,0.29576936652511276,0.19738068574590295,0.10444838300920238,0.2843293374458162
64,5.109375,Netrokona,Kharif 1,25.0,70.0,Amra,June,June to August,August to September,327,30,20.0,60,80,,-0.0374691032015912,0.05679763863339246,0.20716307868771594,0.14076763592897118,0.1216241284636668
5,20.8,Nilphamari,Kharif 1,25.0,70.0,Amra,June,June to August,August to September,104,30,20.0,60,80,,0.1378536434354302,0.17637074377700532,0.3705376763987869,0.15971577644896207,0.3905363140056865
79,7.417721519,Noakhali,Kharif 1,25.0,70.0,Amra,June,June to August,August to September,586,30,20.0,60,80,55.0,0.1125262690416429,0.18637884921235115,0.20375110811533592,0.08983987267292985,0.1658426609921801
81,3,Pabna,Kharif 1,25.0,70.0,Amra,June,June to August,August to September,243,30,20.0,60,80,,0.3338369511018429,0.3105245352638637,0.267168065887026,0.03805732263979561,0.3054242601831844
19,6.315789474,Panchagar,Kharif 1,25.0,70.0,Amra,June,June to August,August to September,120,30,20.0,60,80,,0.194460217324899,0.2682288320359047,0.34521671646746704,0.07857028204550696,0.5473277632011888
400,1.2325,Patuakhali,Kharif 1,25.0,70.0,Amra,June,June to August,August to September,493,30,20.0,60,80,,0.1845850493144675,0.1852391110342515,0.23325759894889453,0.11416674756423188,0.3357123883791376
394,11.64720812,Pirojpur,Kharif 1,25.0,70.0,Amra,June,June to August,August to September,4589,30,20.0,60,80,57.0,0.264165553095138,0.30394761567671086,0.3679417832788916,0.10240609714262239,0.4034404459856785
233,2.30472103,Rajbari,Kharif 1,25.0,70.0,Amra,June,June to August,August to September,537,30,20.0,60,80,60.0,0.3693864167143024,0.2970234378073349,0.2690441376442564,0.07630980536681828,0.420965323158295
183,2.912568306,Rajshahi,Kharif 1,25.0,70.0,Amra,June,June to August,August to September,533,30,20.0,60,80,65.0,0.309744230953222,0.3092789883052905,0.2703161097973671,0.04752144075848529,0.2148030029570647
128,1.7265625,Rangamati,Kharif 1,25.0,70.0,Amra,June,June to August,August to September,221,30,20.0,60,80,,0.3566101220905236,0.45438042271379503,0.4020458927209217,0.11362763534434087,0.2219434186735245
12,10,Rangpur,Kharif 1,25.0,70.0,Amra,June,June to August,August to September,120,30,20.0,60,80,59.0,0.0468616342173195,0.18077115804206353,0.3352855188625463,0.1496508226669169,0.4001486941371419
391,2.749360614,Satkhira,Kharif 1,25.0,70.0,Amra,June,June to August,August to September,1075,30,20.0,60,80,59.0,0.1194165133466915,0.209223999439243,0.2781635199485982,0.07696288562519213,0.2245382571010397
84,4.047619048,Shariatpur,Kharif 1,25.0,70.0,Amra,June,June to August,August to September,340,30,20.0,60,80,55.0,0.3246768434248136,0.28948176202032666,0.3219231427759088,0.04451492908033303,0.3404679378482187
58,5.25862069,Sherpur,Kharif 1,25.0,70.0,Amra,June,June to August,August to September,305,30,20.0,60,80,,0.0528778723675305,0.18268127838824996,0.2711154964219722,0.12741452779332943,0.2278267182217989
23,12.13043478,Sirajganj,Kharif 1,25.0,70.0,Amra,June,June to August,August to September,279,30,20.0,60,80,,0.1381345270632336,0.1652585464899234,0.14497477335042325,0.05292213394150377,0.1547068330441469
41,0.756097561,Sunamganj,Kharif 1,25.0,70.0,Amra,June,June to August,August to September,31,30,20.0,60,80,54.0,-0.1976703408679797,-0.08076530955029286,0.0079277229735016,0.09698192383488057,0.0066240920840004
66,2.121212121,Sylhet,Kharif 1,25.0,70.0,Amra,June,June to August,August to September,140,30,20.0,60,80,54.0,0.021092634797125,0.11117789593750627,0.2776328969217867,0.14872227592253864,0.0219238745854215
518,0.9691119691,Tangail,Kharif 1,25.0,70.0,Amra,June,June to August,August to September,502,30,20.0,60,80,60.0,0.1318871049415015,0.15022118097715678,0.2475414525208851,0.09373245073879793,0.1960530352637223
16,6.75,Thakurgaon,Kharif 1,25.0,70.0,Amra,June,June to August,August to September,108,30,20.0,60,80,,0.1637129632869899,0.25305829680575775,0.3704238008493431,0.10751858750299784,0.4809286896683722
