Area,AP Ratio,District,Season,Avg Temp,Crop Name,Transplant,Growth,Harvest,Production,Min Relative Humidity,LST_Kelvin,Soil_Moisture_mm,NDVI_Season_Std,NDVI_Season_CV,Avg_Salinity_Index,pH,Clay,Sand,Bulk_Density,CN_Ratio,pH_Suitability,Compaction_Risk,Dominant_Soil_Texture,sm_rootzone,Rootzone_Surface_Diff,Water_Availability_Cat,Heat_Stress_Days,Wind_Mean,Wind_Max,Wind_Min,Rain_Temp_Ratio,Extreme_Heat_Risk,is_extreme_Wind_Max,Yield,Temp_Range,Drought_Index,Satellite_Info_1,Satellite_Info_2,Soil_Nutrient_Index,Heavy_Rain_Event
1,1.0,Moulvibazar,Kharif 2,27.5,Gram,Aug,Sep to Oct,Nov,1,45,301.24948580555593,-7492.91741978459,0.1655338697866212,0.3748862144552474,576.5795702892858,6.08,32.01,29.74,1.3,7.5,Optimal (Tối Ưu),Low,Loamy (Thịt/Phù Sa),0.3901,0.0228,Optimal,2.0,1.23,5.03,0.02,58.31,Moderate Risk,0,1.0,15.0,0.7777777777777778,2.584960789250076,1.021075224026161,-0.330268778472907,1
2,3.5,Moulvibazar,Rabi,20.5,Maize 2,Dec,Jan  to  March,April,7,50,299.0728167931308,-2494.600208064441,0.0623427484124923,0.133447838342565,687.8283992225483,6.08,32.01,29.74,1.3,7.5,Optimal (Tối Ưu),Low,Loamy (Thịt/Phù Sa),0.2417,0.0581,Moderate,0.0,0.9328333333333332,3.7,0.01,4.37,Low Risk,0,3.5,13.0,0.54,0.6661247430412655,-1.840451934896208,-0.330268778472907,0
2,13.0,Sunamganj,Kharif 2,30.0,Jamrul,June,July to August,June  to September,26,70,300.5300859888513,-7492.922429056725,0.0808744478904295,1.2131141321138783,786.875204438305,5.89,33.84,29.64,1.33,9.78,Optimal (Tối Ưu),Low,Loamy (Thịt/Phù Sa),0.4171,-0.0003,Optimal,0.0,1.5008943089430895,5.89,0.1,69.31,Low Risk,0,13.0,10.0,0.5,-5.085266010179653,0.5684178204578517,-1.2076847204063133,1
2,1.0,Kurigram,Kharif 1,27.5,Malta,June,June to August,August to September,2,80,300.720540470831,23.70364085097172,0.0918731121524391,0.5014582090324571,969.6510007084167,5.63,32.46,34.49,1.31,9.23,Optimal (Tối Ưu),Low,Loamy (Thịt/Phù Sa),0.3813,0.0136,Optimal,17.0,2.044918032786885,6.81,0.04,57.18,High Risk,0,1.0,15.0,0.4375,-4.36715872549444,0.472291078486112,-0.2670805270454509,1
2,6.0,Sirajganj,Kharif 1,27.5,Malta,June,June to August,August to September,12,80,301.4346498654085,19.1867737579304,0.055318296172112,0.285235320591688,1122.7924980279338,5.87,30.62,29.44,1.34,10.98,Optimal (Tối Ưu),Low,Loamy (Thịt/Phù Sa),0.3216,0.0142,Optimal,42.5,2.3401639344262297,6.82,0.09,36.24,High Risk,0,6.0,15.0,0.4375,-3.608334211948392,-0.4237402514342654,-1.0264332601421282,1
2,0.5,Tangail,Kharif 2,30.0,Mug,Feb,March to May,May,1,60,301.5396753216129,-7492.910629714639,0.2022329278687545,0.4928384333265922,786.0532565119972,5.71,28.16,38.4,1.29,16.11,Optimal (Tối Ưu),Low,Loamy (Thịt/Phù Sa),0.2192,0.0356,Moderate,0.0,2.0767479674796747,7.64,0.06,40.63,Low Risk,0,0.5,10.0,0.5833333333333334,0.9730302989833426,1.4677956282851654,0.4061984056350668,1
2,0.5,Noakhali,Kharif 1,21.5,Dalim,April,No Need to Do,Throuout The Year,1,70,302.2793504191985,19.92480629619872,0.1108842442473148,0.4783927862238563,892.7393467460697,5.79,33.46,29.05,1.31,13.67,Optimal (Tối Ưu),Low,Loamy (Thịt/Phù Sa),0.2688,0.0226,Optimal,0.0,4.176393442622951,8.21,0.16,44.3,Low Risk,0,0.5,33.0,0.5428571428571428,-1.6529366468035145,0.6424961002701116,0.1670797779918249,1
2,0.5,Rangamati,Kharif 1,21.5,Dalim,April,No Need to Do,Throuout The Year,1,70,301.9675351959447,17.290463288123487,0.1720388361741047,0.4705427612988078,844.8319732818987,5.7,32.36,27.91,1.25,11.45,Optimal (Tối Ưu),Low,Loamy (Thịt/Phù Sa),0.3047,0.0313,Optimal,4.0,2.856229508196721,6.45,0.12,43.63,Moderate Risk,0,0.5,33.0,0.5428571428571428,2.630833612975693,1.4668137993417814,0.8144137837971759,1
2,2.0,Manikganj,Kharif 1,21.5,Dalim,April,No Need to Do,Throuout The Year,4,70,301.73558693143593,16.317375254067368,0.0652573680452894,0.2732402454077574,1145.4885094279275,5.77,30.4,24.41,1.3,10.8,Optimal (Tối Ưu),Low,Loamy (Thịt/Phù Sa),0.2519,0.0294,Optimal,42.5,2.4510655737704914,6.49,0.11,29.21,High Risk,0,2.0,33.0,0.5428571428571428,-2.277649870231562,-0.146817489096883,-0.0831842507896098,1
2,4.0,Bogura,Kharif 1,21.5,Dalim,April,No Need to Do,Throuout The Year,8,70,302.10831469026914,21.623602122603792,0.1146683263696878,0.4253665725235102,1086.6998506354364,6.18,35.2,21.52,1.3,10.67,Optimal (Tối Ưu),Low,Loamy (Thịt/Phù Sa),0.2533,0.0323,Optimal,42.5,2.442459016393443,6.82,0.06,31.2,High Risk,0,4.0,33.0,0.5428571428571428,-2.153183467701252,0.7075917008512003,-0.6760207239667326,1
2,5.0,Rajbari,Kharif 1,21.5,Dalim,April,No Need to Do,Throuout The Year,10,70,301.82216835877824,15.876646518970118,0.0749241300790676,0.2204943571128681,934.6542363471866,5.84,30.96,22.82,1.25,6.96,Optimal (Tối Ưu),Low,Loamy (Thịt/Phù Sa),0.2495,0.0409,Moderate,42.5,2.47672131147541,6.36,0.08,19.09,High Risk,0,5.0,33.0,0.5428571428571428,-0.8642448172292743,-0.416133257515566,2.7198322593966857,1
2,1.0,Feni,Kharif 1,24.0,Safeda,April,No Need to Do,Jan to March,2,60,302.561120319793,16.78831163380378,0.1321343045015581,0.5751618267989319,1211.038877783889,5.67,35.16,25.97,1.29,12.59,Optimal (Tối Ưu),Low,Loamy (Thịt/Phù Sa),0.205,0.0602,Moderate,10.0,2.403688524590164,6.22,0.12,41.41,Moderate Risk,0,1.0,28.0,0.6333333333333333,-1.8940902403293909,1.3874714562322357,-0.2793896545918674,1
2,1.0,Nilphamari,Kharif 1,24.0,Safeda,April,No Need to Do,Jan to March,2,60,301.97084467261857,21.96477305865558,0.1483526648896674,0.6114291643920707,859.0639445887105,6.0,29.14,32.45,1.31,9.41,Optimal (Tối Ưu),Low,Loamy (Thịt/Phù Sa),0.1656,0.005,Moderate,28.0,1.8755737704918032,7.13,0.01,48.11,High Risk,0,1.0,28.0,0.6333333333333333,-2.362781897304748,0.9869317372354048,-1.079924326687568,1
2,1.5,Dinajpur,Kharif 1,24.0,Safeda,April,No Need to Do,Jan to March,3,60,302.7649570840597,20.95896149202266,0.1590604012598265,0.6148376402472027,805.8388926455632,6.01,37.14,25.3,1.28,11.14,Optimal (Tối Ưu),Low,Loamy (Thịt/Phù Sa),0.1955,0.0417,Moderate,42.5,2.130573770491804,6.43,0.08,31.87,High Risk,0,1.5,28.0,0.6333333333333333,-2.257033632448604,1.3297789186686506,-1.277515042615828,1
2,7.5,Pabna,Kharif 1,24.0,Safeda,April,No Need to Do,Jan to March,15,60,302.5661791269482,16.930163482791954,0.017099365629477,0.0537217447766507,947.9696019997368,5.99,39.89,19.7,1.28,13.28,Optimal (Tối Ưu),Low,Loamy (Thịt/Phù Sa),0.2245,0.0635,Moderate,42.5,2.4836065573770494,6.75,0.12,21.89,High Risk,0,7.5,28.0,0.6333333333333333,-1.41699828196409,-1.6070647612996571,-0.7163506146840665,1
2,3.0,Chandpur,Rabi,20.0,Ginger,Oct,Nov to March,March to April,6,60,297.76308492013914,-2496.7435477441672,0.0749881335824765,0.1890119586126195,647.8428450996125,5.52,32.55,28.9,1.26,9.13,Optimal (Tối Ưu),Low,Loamy (Thịt/Phù Sa),0.2621,0.042,Optimal,0.0,1.5768333333333333,4.92,0.03,6.57,Low Risk,0,3.0,10.0,0.4166666666666667,0.4579656111191569,-1.068087200185985,3.234117660762148,0
2,3.5,Rajshahi,Rabi,20.0,Ginger,Oct,Nov to March,March to April,7,60,297.81099456725406,-2494.783993747933,0.0693367210425823,0.1702896620636238,853.6588586730844,6.11,36.24,17.79,1.29,11.76,Optimal (Tối Ưu),Low,Loamy (Thịt/Phù Sa),0.2372,0.047,Moderate,0.0,1.4068333333333334,5.11,0.13,4.06,Low Risk,0,3.5,10.0,0.4166666666666667,-0.4702583911248881,-1.499503735010404,-0.7103375852037501,0
2,5.5,Kurigram,Kharif 2,23.5,Oal Kachu,Sep,Oct to Dec,Dec to Feb,11,52,300.5540816950037,-7492.911328463224,0.1489942289448691,0.4122647360448373,792.4069629086493,5.63,32.46,34.49,1.31,9.23,Optimal (Tối Ưu),Low,Loamy (Thịt/Phù Sa),0.2928,0.0382,Optimal,0.0,1.8404878048780489,5.77,0.08,35.74,Low Risk,0,5.5,17.0,0.6153846153846154,-0.3011624699377863,0.7127066354239922,-0.2670805270454509,1
2,11.0,Bogura,Kharif 2,23.5,Oal Kachu,Sep,Oct to Dec,Dec to Feb,22,52,301.0697146487613,-7492.924533433408,0.2044261145515634,0.5369688427263206,788.5407535084446,6.18,35.2,21.52,1.3,10.67,Optimal (Tối Ưu),Low,Loamy (Thịt/Phù Sa),0.2524,0.033,Optimal,0.0,2.2352032520325205,7.91,0.03,32.7,Low Risk,0,11.0,17.0,0.6153846153846154,1.1194801860492478,1.841999527762384,-0.6760207239667326,1
2,7.5,Moulvibazar,Rabi,20.0,Palmyra Palm,Sep,Oct to Nov,Nov to Feb,15,50,299.0728167931308,-2494.600208064441,0.0623427484124923,0.133447838342565,687.8283992225483,6.08,32.01,29.74,1.3,7.5,Optimal (Tối Ưu),Low,Loamy (Thịt/Phù Sa),0.325,0.0392,Optimal,0.0,0.9328333333333332,3.7,0.01,4.37,Low Risk,0,7.5,10.0,0.5,0.6661247430412655,-1.840451934896208,-0.330268778472907,0
2,2.0,Coxsbazar,Kharif 2,28.0,Arhar,Aug,Sep to Oct,Nov,4,45,301.5489806318382,-7492.904881790653,0.1418742631706814,0.3244139622213089,639.3646638507321,6.29,39.98,17.38,1.32,13.32,Optimal (Tối Ưu),Low,Loamy (Thịt/Phù Sa),0.3451,0.009,Optimal,0.0,3.3356910569105693,10.625,0.07,85.19,Low Risk,1,0.8500000000000001,4.0,0.6666666666666666,2.817034293084819,0.3174098797300513,-1.3417726642562462,1
3,5.666666667,Kurigram,Kharif 2,30.0,Jamrul,June,July to August,June  to September,17,70,300.5540816950037,-7492.911328463224,0.1489942289448691,0.4122647360448373,792.4069629086493,5.63,32.46,34.49,1.31,9.23,Optimal (Tối Ưu),Low,Loamy (Thịt/Phù Sa),0.3813,0.0136,Optimal,0.0,1.8404878048780489,5.77,0.08,35.74,Low Risk,0,5.666666666666667,10.0,0.5,-0.3011624699377863,0.7127066354239922,-0.2670805270454509,1
3,0.6666666667,Cumilla,Kharif 2,30.0,Mug,Feb,March to May,May,2,60,301.7433611481941,-7492.919316790945,0.2007749122736068,0.435940869757571,655.347146304121,5.39,36.14,26.69,1.3,11.81,Acidic (Chua),Low,Loamy (Thịt/Phù Sa),0.2202,0.0437,Moderate,0.0,1.6701626016260165,5.92,0.03,41.2,Low Risk,0,0.6666666666666666,10.0,0.5833333333333334,1.7941829638023634,0.7874138216125778,-0.4337854993555278,1
3,0.3333333333,Bhola,Kharif 1,21.5,Dalim,April,No Need to Do,Throuout The Year,1,70,301.08124480602925,18.25341006993674,0.0229865281816801,0.1186632594549353,925.6032514459698,5.57,30.53,27.14,1.27,12.52,Optimal (Tối Ưu),Low,Loamy (Thịt/Phù Sa),0.2943,0.0354,Optimal,0.0,3.684180327868853,7.13,0.09,59.17,Low Risk,0,0.3333333333333333,33.0,0.5428571428571428,-3.20605850295511,-0.9890475479465896,2.2053602775339534,1
3,1.333333333,Sherpur,Kharif 1,21.5,Dalim,April,No Need to Do,Throuout The Year,4,70,302.01953766706725,24.151361239215003,0.1088242752770474,0.5161904468697323,927.0964732315556,5.74,31.38,27.07,1.29,10.64,Optimal (Tối Ưu),Low,Loamy (Thịt/Phù Sa),0.2651,0.0189,Optimal,37.0,2.281475409836065,6.66,0.04,45.39,High Risk,0,1.3333333333333333,33.0,0.5428571428571428,-3.0653079629681943,0.9136843995965812,0.7097304939819942,1
3,2.0,Chattogram,Kharif 1,21.5,Dalim,April,No Need to Do,Throuout The Year,6,70,303.01090702802344,16.762463456485545,0.0778842871053908,0.2243737529619723,946.2680070309598,6.31,37.8,22.9,1.3,10.41,Optimal (Tối Ưu),Low,Loamy (Thịt/Phù Sa),0.2795,0.0295,Optimal,4.0,2.856229508196721,6.45,0.12,43.63,Moderate Risk,0,2.0,33.0,0.5428571428571428,0.0636228112072111,-0.5963954831808296,-1.535491933654452,1
3,8.333333333,Shariatpur,Kharif 1,21.5,Dalim,April,No Need to Do,Throuout The Year,25,70,302.057504748852,13.811227289531857,0.113563902516599,0.4563478053547303,1131.7438540035685,5.64,32.88,22.11,1.27,7.06,Optimal (Tối Ưu),Low,Loamy (Thịt/Phù Sa),0.3234,0.0363,Optimal,34.0,2.7896721311475408,6.68,0.12,31.7,High Risk,0,8.333333333333334,33.0,0.5428571428571428,-1.8578176078027449,0.8097485246561404,1.129783218714213,1
3,9.666666667,Thakurgaon,Kharif 1,24.0,Safeda,April,No Need to Do,Jan to March,29,60,303.58118022699307,20.560762319688507,0.1461067965693867,0.4748377991669735,882.8065724035296,5.85,30.97,32.95,1.3,11.15,Optimal (Tối Ưu),Low,Loamy (Thịt/Phù Sa),0.2095,0.0425,Moderate,42.5,2.537540983606557,6.3,0.09,36.58,High Risk,0,9.666666666666666,28.0,0.6333333333333333,-1.1769484669789103,0.7966001419483262,-0.1896617295769261,1
3,2.0,Thakurgaon,Kharif 2,30.0,Green Palmyra,April,No Need to Do,May,6,60,301.6952905832605,-7492.91047108829,0.1525557259834554,0.3253301214353357,690.524875521508,5.85,30.97,32.95,1.3,11.15,Optimal (Tối Ưu),Low,Loamy (Thịt/Phù Sa),0.2105,0.0228,Moderate,0.0,1.992032520325204,7.4,0.04,40.9,Low Risk,0,2.0,10.0,0.5833333333333334,2.523251244539148,0.0029126564483754,-0.1896617295769261,1
3,2.333333333,Lakshmipur,Kharif 2,18.0,Carrot,Oct,Nov to Feb,March,7,47,300.6273146480235,-7493.105147019739,0.1903712729427844,0.5176799876781991,741.7048165468992,5.84,38.4,24.54,1.28,9.34,Optimal (Tối Ưu),Low,Loamy (Thịt/Phù Sa),0.2611,0.0304,Optimal,0.0,2.389512195121952,7.82,0.03,47.08,Low Risk,0,2.333333333333333,6.0,0.4468085106382978,1.866414288695387,1.0694391285080525,1.5300984434907778,1
3,0.3333333333,Nilphamari,Kharif 2,22.5,Motor,Oct,Nov to March,March to April,1,75,301.5874089181145,-7492.915606780793,0.1464585882642648,0.3120337000260089,662.4876899141161,6.0,29.14,32.45,1.31,9.41,Optimal (Tối Ưu),Low,Loamy (Thịt/Phù Sa),0.1845,0.0005,Moderate,0.0,1.7053658536585363,6.02,0.02,40.41,Low Risk,0,0.3333333333333333,15.0,0.4,1.8741481114865808,0.3401724810309678,-1.079924326687568,1
3,5.0,Cumilla,Kharif 2,14.5,Shalgom,Sep,Oct to Nov,Nov to Feb,15,70,301.7433611481941,-7492.919316790945,0.2007749122736068,0.435940869757571,655.347146304121,5.39,36.14,26.69,1.3,11.81,Acidic (Chua),Low,Loamy (Thịt/Phù Sa),0.3077,0.0226,Optimal,0.0,1.6701626016260165,5.92,0.03,41.2,Low Risk,0,5.0,19.0,0.3428571428571428,1.7941829638023634,0.7874138216125778,-0.4337854993555278,1
3,5.666666667,Meherpur,Rabi,20.0,Laushak,Sep,Oct to Nov,Nov to Feb,17,70,298.2055057151844,-2493.0144663616484,0.078665784749741,0.143264779131798,831.1397555576286,6.22,37.87,18.94,1.28,13.51,Optimal (Tối Ưu),Low,Loamy (Thịt/Phù Sa),0.2632,0.0343,Optimal,0.0,1.4605833333333331,4.88,0.07,4.25,Low Risk,0,5.666666666666667,10.0,0.3571428571428571,2.35402083733199,-1.786809261743975,-0.8284322461055669,0
3,7.666666667,Sirajganj,Rabi,20.0,Palmyra Palm,Sep,Oct to Nov,Nov to Feb,23,50,297.98044203465963,-2495.228429569034,0.0712085731226927,0.1930450204085908,939.45322666773,5.87,30.62,29.44,1.34,10.98,Optimal (Tối Ưu),Low,Loamy (Thịt/Phù Sa),0.2594,0.0368,Optimal,0.0,1.3789166666666666,4.37,0.01,4.46,Low Risk,0,7.666666666666667,10.0,0.5,-0.8312217408022509,-1.381539478662757,-1.0264332601421282,0
3,0.3333333333,Khulna,Kharif 2,27.5,Gram,Aug,Sep to Oct,Nov,1,45,300.41695367768114,-7492.927155914711,0.1420088630458331,0.3141622104344583,682.1590194281182,5.81,32.95,24.57,1.28,10.43,Optimal (Tối Ưu),Low,Loamy (Thịt/Phù Sa),0.5408,0.0692,Optimal,0.0,2.0617073170731706,7.47,0.15,38.97,Low Risk,0,0.3333333333333333,15.0,0.7777777777777778,1.8190998872998203,-0.055969212801458,-0.3468911027227658,1
3,0.3333333333,Tangail,Kharif 2,27.5,Gram,Aug,Sep to Oct,Nov,1,45,301.5396753216129,-7492.910629714639,0.2022329278687545,0.4928384333265922,786.0532565119972,5.71,28.16,38.4,1.29,16.11,Optimal (Tối Ưu),Low,Loamy (Thịt/Phù Sa),0.3346,0.0062,Optimal,0.0,2.0767479674796747,7.64,0.06,40.63,Low Risk,0,0.3333333333333333,15.0,0.7777777777777778,0.9730302989833426,1.4677956282851654,0.4061984056350668,1
3,1.666666667,Narsingdi,Kharif 2,27.5,Gram,Aug,Sep to Oct,Nov,5,45,301.560318868846,-7492.915616444734,0.1480809397218583,0.3677611557643428,736.8481399688881,5.47,35.94,30.81,1.25,14.08,Acidic (Chua),Low,Loamy (Thịt/Phù Sa),0.3783,0.014,Optimal,0.0,1.992032520325204,7.4,0.04,40.9,Low Risk,0,1.0224719101123596,15.0,0.7777777777777778,1.220851711769181,0.7014477541464318,-0.3222700051055954,1
4,2.75,Narsingdi,Kharif 1,27.5,Kolmi Shak,March,April to Aug,Sep to Oct,11,80,302.2818597515952,18.507647948404937,0.1466633075373181,0.5261577049257883,835.1781024002817,5.47,35.94,30.81,1.25,14.08,Acidic (Chua),Low,Loamy (Thịt/Phù Sa),0.3297,0.0209,Optimal,42.5,2.537540983606557,6.3,0.09,36.58,High Risk,0,2.75,15.0,0.4375,-1.9570365936495715,1.259362824224572,-0.3222700051055954,1
