AP Ratio,District,Season,Avg Temp,Crop Name,Transplant,Growth,Harvest,Min Relative Humidity,Soil_Moisture_mm,pH,Clay,Sand,Bulk_Density,CN_Ratio,pH_Suitability,Compaction_Risk,Dominant_Soil_Texture,sm_rootzone,Rootzone_Surface_Diff,Water_Availability_Cat,Heat_Stress_Days,Wind_Max,Wind_Min,Rain_Temp_Ratio,Extreme_Heat_Risk,is_extreme_Wind_Max,Yield,Temp_Range,Satellite_Info_1,Satellite_Info_2,Soil_Nutrient_Index,Heavy_Rain_Event,LST_Adjusted
0.5,Rangamati,Kharif 1,21.5,Dalim,April,No Need to Do,Throuout The Year,70,17.290463288123487,5.7,32.36,27.91,1.25,11.45,Optimal (Tối Ưu),Low,Loamy (Thịt/Phù Sa),0.3047,0.0313,Optimal,4.0,6.45,0.12,43.63,Moderate Risk,0,0.5,33.0,2.630833612975693,1.4668137993417814,0.8144137837971759,1,0.3004548614175633
2.0,Manikganj,Kharif 1,21.5,Dalim,April,No Need to Do,Throuout The Year,70,16.317375254067368,5.77,30.4,24.41,1.3,10.8,Optimal (Tối Ưu),Low,Loamy (Thịt/Phù Sa),0.2519,0.0294,Optimal,42.5,6.49,0.11,29.21,High Risk,0,2.0,33.0,-2.277649870231562,-0.146817489096883,-0.0831842507896098,1,0.06850659690877592
4.0,Bogura,Kharif 1,21.5,Dalim,April,No Need to Do,Throuout The Year,70,21.623602122603792,6.18,35.2,21.52,1.3,10.67,Optimal (Tối Ưu),Low,Loamy (Thịt/Phù Sa),0.2533,0.0323,Optimal,42.5,6.82,0.06,31.2,High Risk,0,4.0,33.0,-2.153183467701252,0.7075917008512003,-0.6760207239667326,1,0.4412343557419831
5.0,Rajbari,Kharif 1,21.5,Dalim,April,No Need to Do,Throuout The Year,70,15.876646518970118,5.84,30.96,22.82,1.25,6.96,Optimal (Tối Ưu),Low,Loamy (Thịt/Phù Sa),0.2495,0.0409,Moderate,42.5,6.36,0.08,19.09,High Risk,0,5.0,33.0,-0.8642448172292743,-0.416133257515566,2.7198322593966857,1,0.1550880242510857
1.0,Feni,Kharif 1,24.0,Safeda,April,No Need to Do,Jan to March,60,16.78831163380378,5.67,35.16,25.97,1.29,12.59,Optimal (Tối Ưu),Low,Loamy (Thịt/Phù Sa),0.205,0.0602,Moderate,10.0,6.22,0.12,41.41,Moderate Risk,0,1.0,28.0,-1.8940902403293909,1.3874714562322357,-0.2793896545918674,1,0.8940399852658629
1.0,Nilphamari,Kharif 1,24.0,Safeda,April,No Need to Do,Jan to March,60,21.96477305865558,6.0,29.14,32.45,1.31,9.41,Optimal (Tối Ưu),Low,Loamy (Thịt/Phù Sa),0.1656,0.005,Moderate,28.0,7.13,0.01,48.11,High Risk,0,1.0,28.0,-2.362781897304748,0.9869317372354048,-1.079924326687568,1,0.3037643380914119
1.5,Dinajpur,Kharif 1,24.0,Safeda,April,No Need to Do,Jan to March,60,20.95896149202266,6.01,37.14,25.3,1.28,11.14,Optimal (Tối Ưu),Low,Loamy (Thịt/Phù Sa),0.1955,0.0417,Moderate,42.5,6.43,0.08,31.87,High Risk,0,1.5,28.0,-2.257033632448604,1.3297789186686506,-1.277515042615828,1,1.0978767495325314
7.5,Pabna,Kharif 1,24.0,Safeda,April,No Need to Do,Jan to March,60,16.930163482791954,5.99,39.89,19.7,1.28,13.28,Optimal (Tối Ưu),Low,Loamy (Thịt/Phù Sa),0.2245,0.0635,Moderate,42.5,6.75,0.12,21.89,High Risk,0,7.5,28.0,-1.41699828196409,-1.6070647612996571,-0.7163506146840665,1,0.8990987924210572
3.0,Chandpur,Rabi,20.0,Ginger,Oct,Nov to March,March to April,60,-2496.7435477441672,5.52,32.55,28.9,1.26,9.13,Optimal (Tối Ưu),Low,Loamy (Thịt/Phù Sa),0.2621,0.042,Optimal,0.0,4.92,0.03,6.57,Low Risk,0,3.0,10.0,0.4579656111191569,-1.068087200185985,3.234117660762148,0,-0.5543761174231463
3.5,Rajshahi,Rabi,20.0,Ginger,Oct,Nov to March,March to April,60,-2494.783993747933,6.11,36.24,17.79,1.29,11.76,Optimal (Tối Ưu),Low,Loamy (Thịt/Phù Sa),0.2372,0.047,Moderate,0.0,5.11,0.13,4.06,Low Risk,0,3.5,10.0,-0.4702583911248881,-1.499503735010404,-0.7103375852037501,0,-0.5064664703082258
5.5,Kurigram,Kharif 2,23.5,Oal Kachu,Sep,Oct to Dec,Dec to Feb,52,-7492.911328463224,5.63,32.46,34.49,1.31,9.23,Optimal (Tối Ưu),Low,Loamy (Thịt/Phù Sa),0.2928,0.0382,Optimal,0.0,5.77,0.08,35.74,Low Risk,0,5.5,17.0,-0.3011624699377863,0.7127066354239922,-0.2670805270454509,1,-1.1129986395234823
11.0,Bogura,Kharif 2,23.5,Oal Kachu,Sep,Oct to Dec,Dec to Feb,52,-7492.924533433408,6.18,35.2,21.52,1.3,10.67,Optimal (Tối Ưu),Low,Loamy (Thịt/Phù Sa),0.2524,0.033,Optimal,0.0,7.91,0.03,32.7,Low Risk,0,11.0,17.0,1.1194801860492478,1.841999527762384,-0.6760207239667326,1,-0.5973656857658511
7.5,Moulvibazar,Rabi,20.0,Palmyra Palm,Sep,Oct to Nov,Nov to Feb,50,-2494.600208064441,6.08,32.01,29.74,1.3,7.5,Optimal (Tối Ưu),Low,Loamy (Thịt/Phù Sa),0.325,0.0392,Optimal,0.0,3.7,0.01,4.37,Low Risk,0,7.5,10.0,0.6661247430412655,-1.840451934896208,-0.330268778472907,0,0.7553557555685302
2.0,Coxsbazar,Kharif 2,28.0,Arhar,Aug,Sep to Oct,Nov,45,-7492.904881790653,6.29,39.98,17.38,1.32,13.32,Optimal (Tối Ưu),Low,Loamy (Thịt/Phù Sa),0.3451,0.009,Optimal,0.0,10.625,0.07,85.19,Low Risk,1,0.8500000000000001,4.0,2.817034293084819,0.3174098797300513,-1.3417726642562462,1,-0.11809970268893721
5.666666667,Kurigram,Kharif 2,30.0,Jamrul,June,July to August,June  to September,70,-7492.911328463224,5.63,32.46,34.49,1.31,9.23,Optimal (Tối Ưu),Low,Loamy (Thịt/Phù Sa),0.3813,0.0136,Optimal,0.0,5.77,0.08,35.74,Low Risk,0,5.666666666666667,10.0,-0.3011624699377863,0.7127066354239922,-0.2670805270454509,1,-1.1129986395234823
0.6666666667,Cumilla,Kharif 2,30.0,Mug,Feb,March to May,May,60,-7492.919316790945,5.39,36.14,26.69,1.3,11.81,Acidic (Chua),Low,Loamy (Thịt/Phù Sa),0.2202,0.0437,Moderate,0.0,5.92,0.03,41.2,Low Risk,0,0.6666666666666666,10.0,1.7941829638023634,0.7874138216125778,-0.4337854993555278,1,0.0762808136669264
0.3333333333,Bhola,Kharif 1,21.5,Dalim,April,No Need to Do,Throuout The Year,70,18.25341006993674,5.57,30.53,27.14,1.27,12.52,Optimal (Tối Ưu),Low,Loamy (Thịt/Phù Sa),0.2943,0.0354,Optimal,0.0,7.13,0.09,59.17,Low Risk,0,0.3333333333333333,33.0,-3.20605850295511,-0.9890475479465896,2.2053602775339534,1,-0.5858355284979098
1.333333333,Sherpur,Kharif 1,21.5,Dalim,April,No Need to Do,Throuout The Year,70,24.151361239215003,5.74,31.38,27.07,1.29,10.64,Optimal (Tối Ưu),Low,Loamy (Thịt/Phù Sa),0.2651,0.0189,Optimal,37.0,6.66,0.04,45.39,High Risk,0,1.3333333333333333,33.0,-3.0653079629681943,0.9136843995965812,0.7097304939819942,1,0.3524573325400979
2.0,Chattogram,Kharif 1,21.5,Dalim,April,No Need to Do,Throuout The Year,70,16.762463456485545,6.31,37.8,22.9,1.3,10.41,Optimal (Tối Ưu),Low,Loamy (Thịt/Phù Sa),0.2795,0.0295,Optimal,4.0,6.45,0.12,43.63,Moderate Risk,0,2.0,33.0,0.0636228112072111,-0.5963954831808296,-1.535491933654452,1,1.3438266934962826
8.333333333,Shariatpur,Kharif 1,21.5,Dalim,April,No Need to Do,Throuout The Year,70,13.811227289531857,5.64,32.88,22.11,1.27,7.06,Optimal (Tối Ưu),Low,Loamy (Thịt/Phù Sa),0.3234,0.0363,Optimal,34.0,6.68,0.12,31.7,High Risk,0,8.333333333333334,33.0,-1.8578176078027449,0.8097485246561404,1.129783218714213,1,0.39042441432485475
9.666666667,Thakurgaon,Kharif 1,24.0,Safeda,April,No Need to Do,Jan to March,60,20.560762319688507,5.85,30.97,32.95,1.3,11.15,Optimal (Tối Ưu),Low,Loamy (Thịt/Phù Sa),0.2095,0.0425,Moderate,42.5,6.3,0.09,36.58,High Risk,0,9.666666666666666,28.0,-1.1769484669789103,0.7966001419483262,-0.1896617295769261,1,1.914099892465913
2.0,Thakurgaon,Kharif 2,30.0,Green Palmyra,April,No Need to Do,May,60,-7492.91047108829,5.85,30.97,32.95,1.3,11.15,Optimal (Tối Ưu),Low,Loamy (Thịt/Phù Sa),0.2105,0.0228,Moderate,0.0,7.4,0.04,40.9,Low Risk,0,2.0,10.0,2.523251244539148,0.0029126564483754,-0.1896617295769261,1,0.028210248733330445
2.333333333,Lakshmipur,Kharif 2,18.0,Carrot,Oct,Nov to Feb,March,47,-7493.105147019739,5.84,38.4,24.54,1.28,9.34,Optimal (Tối Ưu),Low,Loamy (Thịt/Phù Sa),0.2611,0.0304,Optimal,0.0,7.82,0.03,47.08,Low Risk,0,2.333333333333333,6.0,1.866414288695387,1.0694391285080525,1.5300984434907778,1,-1.0397656865036424
0.3333333333,Nilphamari,Kharif 2,22.5,Motor,Oct,Nov to March,March to April,75,-7492.915606780793,6.0,29.14,32.45,1.31,9.41,Optimal (Tối Ưu),Low,Loamy (Thịt/Phù Sa),0.1845,0.0005,Moderate,0.0,6.02,0.02,40.41,Low Risk,0,0.3333333333333333,15.0,1.8741481114865808,0.3401724810309678,-1.079924326687568,1,-0.07967141641267972
5.0,Cumilla,Kharif 2,14.5,Shalgom,Sep,Oct to Nov,Nov to Feb,70,-7492.919316790945,5.39,36.14,26.69,1.3,11.81,Acidic (Chua),Low,Loamy (Thịt/Phù Sa),0.3077,0.0226,Optimal,0.0,5.92,0.03,41.2,Low Risk,0,5.0,19.0,1.7941829638023634,0.7874138216125778,-0.4337854993555278,1,0.0762808136669264
5.666666667,Meherpur,Rabi,20.0,Laushak,Sep,Oct to Nov,Nov to Feb,70,-2493.0144663616484,6.22,37.87,18.94,1.28,13.51,Optimal (Tối Ưu),Low,Loamy (Thịt/Phù Sa),0.2632,0.0343,Optimal,0.0,4.88,0.07,4.25,Low Risk,0,5.666666666666667,10.0,2.35402083733199,-1.786809261743975,-0.8284322461055669,0,-0.11195532237786665
7.666666667,Sirajganj,Rabi,20.0,Palmyra Palm,Sep,Oct to Nov,Nov to Feb,50,-2495.228429569034,5.87,30.62,29.44,1.34,10.98,Optimal (Tối Ưu),Low,Loamy (Thịt/Phù Sa),0.2594,0.0368,Optimal,0.0,4.37,0.01,4.46,Low Risk,0,7.666666666666667,10.0,-0.8312217408022509,-1.381539478662757,-1.0264332601421282,0,-0.3370190029026503
0.3333333333,Khulna,Kharif 2,27.5,Gram,Aug,Sep to Oct,Nov,45,-7492.927155914711,5.81,32.95,24.57,1.28,10.43,Optimal (Tối Ưu),Low,Loamy (Thịt/Phù Sa),0.5408,0.0692,Optimal,0.0,7.47,0.15,38.97,Low Risk,0,0.3333333333333333,15.0,1.8190998872998203,-0.055969212801458,-0.3468911027227658,1,-1.250126656846021
0.3333333333,Tangail,Kharif 2,27.5,Gram,Aug,Sep to Oct,Nov,45,-7492.910629714639,5.71,28.16,38.4,1.29,16.11,Optimal (Tối Ưu),Low,Loamy (Thịt/Phù Sa),0.3346,0.0062,Optimal,0.0,7.64,0.06,40.63,Low Risk,0,0.3333333333333333,15.0,0.9730302989833426,1.4677956282851654,0.4061984056350668,1,-0.12740501291426654
1.666666667,Narsingdi,Kharif 2,27.5,Gram,Aug,Sep to Oct,Nov,45,-7492.915616444734,5.47,35.94,30.81,1.25,14.08,Acidic (Chua),Low,Loamy (Thịt/Phù Sa),0.3783,0.014,Optimal,0.0,7.4,0.04,40.9,Low Risk,0,1.0224719101123596,15.0,1.220851711769181,0.7014477541464318,-0.3222700051055954,1,-0.10676146568113154
2.75,Narsingdi,Kharif 1,27.5,Kolmi Shak,March,April to Aug,Sep to Oct,80,18.507647948404937,5.47,35.94,30.81,1.25,14.08,Acidic (Chua),Low,Loamy (Thịt/Phù Sa),0.3297,0.0209,Optimal,42.5,6.3,0.09,36.58,High Risk,0,2.75,15.0,-1.9570365936495715,1.259362824224572,-0.3222700051055954,1,0.614779417068064
0.25,Dinajpur,Rabi,21.0,Cheena,Nov,Dec to Feb,Feb to April,45,-2494.933807312677,6.01,37.14,25.3,1.28,11.14,Optimal (Tối Ưu),Low,Loamy (Thịt/Phù Sa),0.2035,0.0368,Moderate,0.0,7.31,0.08,4.18,Low Risk,0,0.25,8.0,-0.4809205265205077,-0.545585234397815,-1.277515042615828,0,-0.4621527407869621
1.75,Lalmonirhat,Kharif 2,30.0,Jamrul,June,July to August,June  to September,70,-7492.920877059847,5.71,32.93,35.66,1.29,7.22,Optimal (Tối Ưu),Low,Loamy (Thịt/Phù Sa),0.3061,-0.028,Optimal,0.0,5.77,0.08,35.74,Low Risk,0,1.75,10.0,1.4764540745536818,0.1527186133736797,2.276385067585696,1,-0.3806514628573723
2.5,Netrokona,Kharif 2,30.0,Jamrul,June,July to August,June  to September,70,-7492.921479343506,5.92,36.51,29.44,1.29,10.31,Optimal (Tối Ưu),Low,Loamy (Thịt/Phù Sa),0.4011,-0.0002,Optimal,0.0,5.49,0.03,50.58,Low Risk,0,2.5,10.0,-1.240524148793814,1.1165106786067385,-0.0759431695087267,1,-0.6839752717821739
2.75,Jamalpur,Kharif 2,30.0,Jamrul,June,July to August,June  to September,70,-7492.923506562298,5.78,29.99,31.6,1.28,12.56,Optimal (Tối Ưu),Low,Loamy (Thịt/Phù Sa),0.3296,0.0,Optimal,0.0,6.82,0.07,39.33,Low Risk,0,2.75,10.0,0.4398321140918846,1.340439442582192,0.4183817249211348,1,-0.10637336222788463
11.0,Narsingdi,Kharif 2,30.0,Jamrul,June,July to August,June  to September,70,-7492.915616444734,5.47,35.94,30.81,1.25,14.08,Acidic (Chua),Low,Loamy (Thịt/Phù Sa),0.3906,0.0046,Optimal,0.0,7.4,0.04,40.9,Low Risk,0,11.0,10.0,1.220851711769181,0.7014477541464318,-0.3222700051055954,1,-0.10676146568113154
11.75,Naogaon,Kharif 2,30.0,Jamrul,June,July to August,June  to September,70,-7492.914971370762,6.47,38.6,22.11,1.32,12.26,Optimal (Tối Ưu),Low,Loamy (Thịt/Phù Sa),0.2827,0.0131,Optimal,4.0,7.97,0.07,27.99,Moderate Risk,0,11.75,10.0,2.0645484883258374,0.8022216042432737,-1.6238030944783033,1,0.18641493433716505
20.5,Rajshahi,Kharif 2,30.0,Jamrul,June,July to August,June  to September,70,-7492.9514892145235,6.11,36.24,17.79,1.29,11.76,Optimal (Tối Ưu),Low,Loamy (Thịt/Phù Sa),0.28,0.0131,Optimal,8.0,8.45,0.03,27.46,Moderate Risk,0,20.5,10.0,0.4415552676198778,0.5663459358200028,-0.7103375852037501,1,0.17163611920409494
1.25,Narail,Kharif 1,27.5,Malta,June,June to August,August to September,80,11.12698053736449,5.75,29.12,33.18,1.33,11.08,Optimal (Tối Ưu),Low,Loamy (Thịt/Phù Sa),0.5516,0.1362,Optimal,15.0,6.08,0.13,73.12,Moderate Risk,0,1.25,15.0,-1.393037787684919,-0.9634722872668596,-1.1470154767101648,1,1.5574629353517366
6.0,Kishoreganj,Kharif 1,27.5,Malta,June,June to August,August to September,80,21.137417434607904,5.66,32.42,25.32,1.29,10.53,Optimal (Tối Ưu),Low,Loamy (Thịt/Phù Sa),0.39,-0.0002,Optimal,42.5,6.17,0.05,53.7,High Risk,0,6.0,15.0,-4.201686982108733,2.0812573114320854,0.0672443699865665,1,-1.3616832145965532
0.5,Khagrachari,Kharif 1,21.5,Dalim,April,No Need to Do,Throuout The Year,70,17.051875892082368,5.58,32.68,28.85,1.27,10.36,Optimal (Tối Ưu),Low,Loamy (Thịt/Phù Sa),0.3125,0.0286,Optimal,22.0,0.99,0.01,42.59,High Risk,0,0.5,33.0,2.202358237130936,1.0889741247588445,-1.7099426415489742,1,0.8606998211816972
0.5,Sunamganj,Kharif 1,21.5,Dalim,April,No Need to Do,Throuout The Year,70,24.674549068253903,5.89,33.84,29.64,1.33,9.78,Optimal (Tối Ưu),Low,Loamy (Thịt/Phù Sa),0.334,0.0115,Optimal,5.0,6.12,0.11,120.01,Moderate Risk,0,0.5,33.0,-5.937863527961503,3.358597157831506,-1.2076847204063133,1,-1.4568905223244997
2.0,Pabna,Kharif 1,21.5,Dalim,April,No Need to Do,Throuout The Year,70,16.930163482791954,5.99,39.89,19.7,1.28,13.28,Optimal (Tối Ưu),Low,Loamy (Thịt/Phù Sa),0.2761,0.0328,Optimal,42.5,6.75,0.12,21.89,High Risk,0,2.0,33.0,-1.41699828196409,-1.6070647612996571,-0.7163506146840665,1,0.8990987924210572
7.25,Gopalganj,Kharif 1,21.5,Dalim,April,No Need to Do,Throuout The Year,70,12.29173482224112,5.59,33.11,25.11,1.25,12.8,Optimal (Tối Ưu),Low,Loamy (Thịt/Phù Sa),0.713,0.2747,Optimal,42.5,6.27,0.08,23.06,High Risk,0,7.25,33.0,-0.0232926055962911,-1.734270073895613,1.778379570909555,1,0.5967439963517904
