Area,AP Ratio,District,Season,Avg Temp,Crop Name,Transplant,Growth,Harvest,Production,Min Relative Humidity,Year,EVI,LAI,FPAR,LST_Kelvin,Soil_Moisture_mm,NDVI_Season_Mean,NDVI_Season_Max,NDVI_Season_Min,NDVI_Season_Std,NDVI_Season_Range,NDVI_Season_CV,Avg_Salinity_Index,pH,Organic_Carbon,Nitrogen,Clay,Sand,Silt,Bulk_Density,CN_Ratio,pH_Suitability,Compaction_Risk,Dominant_Soil_Texture,sm_surface,sm_rootzone,Rootzone_Surface_Diff,Moisture_Ratio,Water_Availability_Cat,Rainfall,Heat_Stress_Days,Wind_Mean,Wind_Max,Wind_Min,Rain_Temp_Ratio,Extreme_Heat_Risk,Is_Extreme_Heat,is_extreme_Heat_Stress_Days,is_extreme_Wind_Max,Yield,Temp_Range,Drought_Index
2,13.0,Sunamganj,Kharif 2,30.0,Jamrul,June,July to August,June  to September,26,70,2022,0.1868528494397071,1.0088191323738418,3.132287935905861,300.5300859888513,-7492.922429056725,0.0666668087935832,0.1793284797174766,0.0062517479924633,0.0808744478904295,0.1730767317250132,1.2131141321138783,786.875204438305,5.89,15.26,1.56,33.84,29.64,36.52,1.33,9.78,Optimal (Tối Ưu),Low,Loamy (Thịt/Phù Sa),0.4174,0.4171,-0.0003,0.9966,Optimal,1911.12,0.0,1.5008943089430895,5.89,0.1,69.31,Low Risk,0,0,0,13.0,10.0,0.5
2,1.0,Kurigram,Kharif 1,27.5,Malta,June,June to August,August to September,2,80,2022,0.2385242138709197,0.7155422982441613,2.713601705702075,300.720540470831,23.70364085097172,0.1832119018047475,0.2500938130926464,0.0474631119536175,0.0918731121524391,0.2026307011390289,0.5014582090324571,969.6510007084167,5.63,18.2,1.97,32.46,34.49,33.03,1.31,9.23,Optimal (Tối Ưu),Low,Loamy (Thịt/Phù Sa),0.3677,0.3813,0.0136,1.0348,Optimal,1572.26,17.0,2.044918032786885,6.81,0.04,57.18,High Risk,0,0,0,1.0,15.0,0.4375
2,6.0,Sirajganj,Kharif 1,27.5,Malta,June,June to August,August to September,12,80,2022,0.2883424254592767,0.8434874516179025,3.243103238375398,301.4346498654085,19.1867737579304,0.1939391519162513,0.2438028677727265,0.1381345270632336,0.055318296172112,0.1056683407094929,0.285235320591688,1122.7924980279338,5.87,16.81,1.53,30.62,29.44,39.96,1.34,10.98,Optimal (Tối Ưu),Low,Loamy (Thịt/Phù Sa),0.3074,0.3216,0.0142,1.0468,Optimal,1038.79,42.5,2.3401639344262297,6.82,0.09,36.24,High Risk,1,1,0,6.0,15.0,0.4375
2,0.5,Tangail,Kharif 2,30.0,Mug,Feb,March to May,May,1,60,2022,0.3798420582831538,1.4233319348352145,4.988903791622647,301.5396753216129,-7492.910629714639,0.410343256924404,0.5962526033050995,0.1591988119601507,0.2022329278687545,0.4370537913449488,0.4928384333265922,786.0532565119972,5.71,26.11,1.62,28.16,38.4,33.45,1.29,16.11,Optimal (Tối Ưu),Low,Loamy (Thịt/Phù Sa),0.1837,0.2192,0.0356,1.2603,Moderate,1132.42,0.0,2.0767479674796747,7.64,0.06,40.63,Low Risk,0,0,0,0.5,10.0,0.5833333333333334
2,0.5,Noakhali,Kharif 1,21.5,Dalim,April,No Need to Do,Throuout The Year,1,70,2022,0.3175458470826783,1.6321282104985515,4.167741732070979,302.2793504191985,19.92480629619872,0.2317849420819408,0.3485228861940609,0.1125262690416429,0.1108842442473148,0.235996617152418,0.4783927862238563,892.7393467460697,5.79,23.52,1.72,33.46,29.05,37.49,1.31,13.67,Optimal (Tối Ưu),Low,Loamy (Thịt/Phù Sa),0.2461,0.2688,0.0226,1.1739,Optimal,1243.4,0.0,4.176393442622951,8.21,0.16,44.3,Low Risk,0,0,0,0.5,33.0,0.5428571428571428
2,0.5,Rangamati,Kharif 1,21.5,Dalim,April,No Need to Do,Throuout The Year,1,70,2022,0.4820137323632201,2.4183504530287765,5.572114795388334,301.9675351959447,17.290463288123487,0.3656178573425237,0.609906371670307,0.2219434186735245,0.1720388361741047,0.3879629529967825,0.4705427612988078,844.8319732818987,5.7,24.39,2.13,32.36,27.91,39.73,1.25,11.45,Optimal (Tối Ưu),Low,Loamy (Thịt/Phù Sa),0.2734,0.3047,0.0313,1.1534,Optimal,1205.62,4.0,2.856229508196721,6.45,0.12,43.63,Moderate Risk,0,0,0,0.5,33.0,0.5428571428571428
2,2.0,Manikganj,Kharif 1,21.5,Dalim,April,No Need to Do,Throuout The Year,4,70,2022,0.3387979945922122,1.0263795029432146,3.757631406153824,301.73558693143593,16.317375254067368,0.2388278049886303,0.3258735577731652,0.1685356100952224,0.0652573680452894,0.1573379476779428,0.2732402454077574,1145.4885094279275,5.77,20.31,1.88,30.4,24.41,45.17,1.3,10.8,Optimal (Tối Ưu),Low,Loamy (Thịt/Phù Sa),0.2224,0.2519,0.0294,1.1956,Optimal,841.36,42.5,2.4510655737704914,6.49,0.11,29.21,High Risk,1,1,0,2.0,33.0,0.5428571428571428
2,4.0,Bogura,Kharif 1,21.5,Dalim,April,No Need to Do,Throuout The Year,8,70,2022,0.3135492365724523,0.9588678271602764,3.5346077446403745,302.10831469026914,21.623602122603792,0.2695753116880148,0.3974557819503149,0.1186313763339489,0.1146683263696878,0.278824405616366,0.4253665725235102,1086.6998506354364,6.18,17.93,1.68,35.2,21.52,43.28,1.3,10.67,Optimal (Tối Ưu),Low,Loamy (Thịt/Phù Sa),0.2211,0.2533,0.0323,1.2063,Optimal,895.25,42.5,2.442459016393443,6.82,0.06,31.2,High Risk,1,1,0,4.0,33.0,0.5428571428571428
2,5.0,Rajbari,Kharif 1,21.5,Dalim,April,No Need to Do,Throuout The Year,10,70,2022,0.3871508152866756,1.1079818867353282,3.959369007603412,301.82216835877824,15.876646518970118,0.3398006690970099,0.420965323158295,0.2441449981923793,0.0749241300790676,0.1768203249659156,0.2204943571128681,934.6542363471866,5.84,28.05,3.2150000000000003,30.96,22.82,46.22,1.25,6.96,Optimal (Tối Ưu),Low,Loamy (Thịt/Phù Sa),0.2086,0.2495,0.0409,1.2463,Moderate,558.92,42.5,2.47672131147541,6.36,0.08,19.09,High Risk,1,1,0,5.0,33.0,0.5428571428571428
2,1.0,Feni,Kharif 1,24.0,Safeda,April,No Need to Do,Jan to March,2,60,2022,0.3665906769782119,1.1537637397187268,4.103794430631279,302.561120319793,16.78831163380378,0.2297341345425387,0.3420579380209889,0.0507026668147709,0.1321343045015581,0.2913552712062179,0.5751618267989319,1211.038877783889,5.67,20.91,1.66,35.16,25.97,38.87,1.29,12.59,Optimal (Tối Ưu),Low,Loamy (Thịt/Phù Sa),0.1448,0.205,0.0602,1.4806,Moderate,1134.36,10.0,2.403688524590164,6.22,0.12,41.41,Moderate Risk,0,0,0,1.0,28.0,0.6333333333333333
2,1.0,Nilphamari,Kharif 1,24.0,Safeda,April,No Need to Do,Jan to March,2,60,2022,0.3064809471213109,1.031456417230707,3.4153870848663086,301.97084467261857,21.96477305865558,0.242632627832156,0.3905363140056865,0.0941026951895885,0.1483526648896674,0.296433618816098,0.6114291643920707,859.0639445887105,6.0,15.44,1.64,29.14,32.45,38.4,1.31,9.41,Optimal (Tối Ưu),Low,Loamy (Thịt/Phù Sa),0.1606,0.1656,0.005,1.0393,Moderate,1334.64,28.0,1.8755737704918032,7.13,0.01,48.11,High Risk,1,0,0,1.0,28.0,0.6333333333333333
2,1.5,Dinajpur,Kharif 1,24.0,Safeda,April,No Need to Do,Jan to March,3,60,2022,0.3239460665186409,0.9730571885929742,3.4257155606793304,302.7649570840597,20.95896149202266,0.2587030963099046,0.3916540989397346,0.0654733330872791,0.1590604012598265,0.3261807658524555,0.6148376402472027,805.8388926455632,6.01,15.94,1.43,37.14,25.3,37.54,1.28,11.14,Optimal (Tối Ưu),Low,Loamy (Thịt/Phù Sa),0.1538,0.1955,0.0417,1.2928,Moderate,907.84,42.5,2.130573770491804,6.43,0.08,31.87,High Risk,1,1,0,1.5,28.0,0.6333333333333333
2,7.5,Pabna,Kharif 1,24.0,Safeda,April,No Need to Do,Jan to March,15,60,2022,0.3771397753522145,1.0772293438010012,3.96822527722448,302.5661791269482,16.930163482791954,0.3182950535312654,0.3338369511018429,0.3016887841086959,0.017099365629477,0.032148166993147,0.0537217447766507,947.9696019997368,5.99,19.54,1.47,39.89,19.7,40.41,1.28,13.28,Optimal (Tối Ưu),Low,Loamy (Thịt/Phù Sa),0.1609,0.2245,0.0635,1.4451,Moderate,638.57,42.5,2.4836065573770494,6.75,0.12,21.89,High Risk,1,1,0,7.5,28.0,0.6333333333333333
2,3.0,Chandpur,Rabi,20.0,Ginger,Oct,Nov to March,March to April,6,60,2022,0.3010921060245723,1.6675533377797438,5.420735041911895,297.76308492013914,-2496.7435477441672,0.3967375087423166,0.4859674573852385,0.303030026749074,0.0749881335824765,0.1829374306361645,0.1890119586126195,647.8428450996125,5.52,31.68,3.2150000000000003,32.55,28.9,38.55,1.26,9.13,Optimal (Tối Ưu),Low,Loamy (Thịt/Phù Sa),0.22,0.2621,0.042,1.2842,Optimal,130.03,0.0,1.5768333333333333,4.92,0.03,6.57,Low Risk,0,0,0,3.0,10.0,0.4166666666666667
2,3.5,Rajshahi,Rabi,20.0,Ginger,Oct,Nov to March,March to April,7,60,2022,0.2920275355121499,1.0233220280000948,4.7195678897537885,297.81099456725406,-2494.783993747933,0.4071692914434033,0.4771080227246705,0.3250446250255215,0.0693367210425823,0.152063397699149,0.1702896620636238,853.6588586730844,6.11,18.59,1.58,36.24,17.79,45.99,1.29,11.76,Optimal (Tối Ưu),Low,Loamy (Thịt/Phù Sa),0.1902,0.2372,0.047,1.2984,Moderate,75.78,0.0,1.4068333333333334,5.11,0.13,4.06,Low Risk,0,0,0,3.5,10.0,0.4166666666666667
2,5.5,Kurigram,Kharif 2,23.5,Oal Kachu,Sep,Oct to Dec,Dec to Feb,11,52,2022,0.3258621221780649,1.3571575004473733,4.627946234084336,300.5540816950037,-7492.911328463224,0.3614042529426158,0.4923091315654682,0.1600381274417598,0.1489942289448691,0.3322710041237083,0.4122647360448373,792.4069629086493,5.63,18.2,1.97,32.46,34.49,33.03,1.31,9.23,Optimal (Tối Ưu),Low,Loamy (Thịt/Phù Sa),0.2547,0.2928,0.0382,1.181,Optimal,993.02,0.0,1.8404878048780489,5.77,0.08,35.74,Low Risk,0,0,0,5.5,17.0,0.6153846153846154
2,11.0,Bogura,Kharif 2,23.5,Oal Kachu,Sep,Oct to Dec,Dec to Feb,22,52,2022,0.4077114327267585,1.4962287140444237,5.025590353444107,301.0697146487613,-7492.924533433408,0.38070386638011,0.6043189721273731,0.1458454463723086,0.2044261145515634,0.4584735257550645,0.5369688427263206,788.5407535084446,6.18,17.93,1.68,35.2,21.52,43.28,1.3,10.67,Optimal (Tối Ưu),Low,Loamy (Thịt/Phù Sa),0.2194,0.2524,0.033,1.1958,Optimal,913.65,0.0,2.2352032520325205,7.91,0.03,32.7,Low Risk,0,0,0,11.0,17.0,0.6153846153846154
2,7.5,Moulvibazar,Rabi,20.0,Palmyra Palm,Sep,Oct to Nov,Nov to Feb,15,50,2022,0.3166658956172926,1.4328504058900282,5.123944042903871,299.0728167931308,-2494.600208064441,0.4671694138083858,0.5076200516171026,0.3743598588192403,0.0623427484124923,0.1332601927978622,0.133447838342565,687.8283992225483,6.08,16.13,2.15,32.01,29.74,38.23,1.3,7.5,Optimal (Tối Ưu),Low,Loamy (Thịt/Phù Sa),0.2858,0.325,0.0392,1.1597,Optimal,83.51,0.0,0.9328333333333332,3.7,0.01,4.37,Low Risk,0,0,0,7.5,10.0,0.5
2,2.0,Coxsbazar,Kharif 2,28.0,Arhar,Aug,Sep to Oct,Nov,4,45,2022,0.4447914276632672,2.359765857396124,5.93525731574587,301.5489806318382,-7492.904881790653,0.4373247754173341,0.5920513052550939,0.2866525849958106,0.1418742631706814,0.3053987202592833,0.3244139622213089,639.3646638507321,6.29,16.93,1.27,39.98,17.38,42.65,1.32,13.32,Optimal (Tối Ưu),Low,Loamy (Thịt/Phù Sa),0.3361,0.3451,0.009,1.0331,Optimal,2423.67,0.0,3.3356910569105693,10.625,0.07,85.19,Low Risk,0,0,1,0.8500000000000001,4.0,0.6666666666666666
3,5.666666667,Kurigram,Kharif 2,30.0,Jamrul,June,July to August,June  to September,17,70,2022,0.3258621221780649,1.3571575004473733,4.627946234084336,300.5540816950037,-7492.911328463224,0.3614042529426158,0.4923091315654682,0.1600381274417598,0.1489942289448691,0.3322710041237083,0.4122647360448373,792.4069629086493,5.63,18.2,1.97,32.46,34.49,33.03,1.31,9.23,Optimal (Tối Ưu),Low,Loamy (Thịt/Phù Sa),0.3677,0.3813,0.0136,1.0348,Optimal,993.02,0.0,1.8404878048780489,5.77,0.08,35.74,Low Risk,0,0,0,5.666666666666667,10.0,0.5
3,0.6666666667,Cumilla,Kharif 2,30.0,Mug,Feb,March to May,May,2,60,2022,0.3868411497184607,1.545168983210615,5.420332251019671,301.7433611481941,-7492.919316790945,0.4605553784972233,0.6332118144284202,0.2342026799041616,0.2007749122736068,0.3990091345242586,0.435940869757571,655.347146304121,5.39,19.73,1.67,36.14,26.69,37.19,1.3,11.81,Acidic (Chua),Low,Loamy (Thịt/Phù Sa),0.1765,0.2202,0.0437,1.3083,Moderate,1132.38,0.0,1.6701626016260165,5.92,0.03,41.2,Low Risk,0,0,0,0.6666666666666666,10.0,0.5833333333333334
3,0.3333333333,Bhola,Kharif 1,21.5,Dalim,April,No Need to Do,Throuout The Year,1,70,2022,0.2564676969903233,1.2035349237855488,3.942883823985219,301.08124480602925,18.25341006993674,0.1937122601154376,0.2246323016939531,0.1700006675577468,0.0229865281816801,0.0546316341362063,0.1186632594549353,925.6032514459698,5.57,31.05,2.48,30.53,27.14,42.37,1.27,12.52,Optimal (Tối Ưu),Low,Loamy (Thịt/Phù Sa),0.2589,0.2943,0.0354,1.2179,Optimal,1663.21,0.0,3.684180327868853,7.13,0.09,59.17,Low Risk,0,0,0,0.3333333333333333,33.0,0.5428571428571428
3,1.333333333,Sherpur,Kharif 1,21.5,Dalim,April,No Need to Do,Throuout The Year,4,70,2022,0.3091809768573448,1.0137389566054549,3.302588430786224,302.01953766706725,24.151361239215003,0.2108219474749611,0.2947216372986462,0.0528778723675305,0.1088242752770474,0.2418437649311157,0.5161904468697323,927.0964732315556,5.74,23.2,2.18,31.38,27.07,41.57,1.29,10.64,Optimal (Tối Ưu),Low,Loamy (Thịt/Phù Sa),0.2462,0.2651,0.0189,1.1462,Optimal,1278.22,37.0,2.281475409836065,6.66,0.04,45.39,High Risk,1,0,0,1.3333333333333333,33.0,0.5428571428571428
