District,pH,Organic_Carbon,Nitrogen,Clay,Sand,Silt,Bulk_Density,valid_points,grid_log,Latitude,Longitude,CN_Ratio,pH_Suitability,Compaction_Risk,Dominant_Soil_Texture
Cumilla,5.39,19.73,1.67,36.14,26.69,37.19,1.3,4,❌✅⚠️✅✅,23.4609839,91.1812216,11.81,Acidic (Chua),Low,Loamy (Thịt/Phù sa)
Dhaka,5.49,13.48,1.2,40.33,25.96,33.7,1.32,5,⚠️✅⚠️✅✅,23.7643863,90.3890144,11.22,Acidic (Chua),Low,Clayey (Sét)
Dinajpur,6.01,15.94,1.43,37.14,25.3,37.54,1.28,5,⚠️⚠️⚠️✅✅,25.6260712,88.6346228,11.14,Optimal (Tối ưu),Low,Loamy (Thịt/Phù sa)
Faridpur,6.26,17.25,1.33,33.5,25.3,41.19,1.31,5,✅✅✅✅⚠️,23.6040182,89.8415542,12.96,Optimal (Tối ưu),Low,Loamy (Thịt/Phù sa)
Feni,5.67,20.91,1.66,35.16,25.97,38.87,1.29,5,⚠️✅⚠️✅✅,23.0127602,91.4049232,12.59,Optimal (Tối ưu),Low,Loamy (Thịt/Phù sa)
Gaibandha,5.59,17.13,1.51,36.5,26.57,36.92,1.32,5,✅✅✅✅✅,25.0860006,89.8696436,11.34,Optimal (Tối ưu),Low,Loamy (Thịt/Phù sa)
Gazipur,5.75,17.96,1.49,32.53,28.89,38.58,1.3,5,✅⚠️✅⚠️✅,23.9997166,90.4184036,12.05,Optimal (Tối ưu),Low,Loamy (Thịt/Phù sa)
Gopalganj,5.59,29.57,2.31,33.11,25.11,41.8,1.25,5,⚠️⚠️⚠️✅✅,23.0049937,89.8303176,12.8,Optimal (Tối ưu),Low,Loamy (Thịt/Phù sa)
Habiganj,5.58,32.61,2.19,28.52,25.83,45.65,1.23,5,✅✅⚠️⚠️✅,24.3746027,91.4140272,14.88,Optimal (Tối ưu),Low,Loamy (Thịt/Phù sa)
Jamalpur,5.78,23.76,1.89,29.99,31.6,38.41,1.28,5,✅✅⚠️✅✅,24.9255866,89.9436684,12.56,Optimal (Tối ưu),Low,Loamy (Thịt/Phù sa)
Jashore,6.15,19.27,1.81,29.39,19.9,50.71,1.33,5,✅✅✅⚠️✅,23.1665256,89.2094419,10.64,Optimal (Tối ưu),Low,Loamy (Thịt/Phù sa)
Jhallokati,5.93,21.42,2.0,31.9,16.34,51.81,1.29,5,✅✅⚠️✅⚠️,,,10.7,Optimal (Tối ưu),Low,Loamy (Thịt/Phù sa)
Jhenaidah,6.21,20.84,1.65,30.96,16.69,52.35,1.26,5,⚠️✅✅✅✅,23.5446964,89.1731943,12.62,Optimal (Tối ưu),Low,Loamy (Thịt/Phù sa)
Joypurhat,6.47,12.9,1.27,38.48,21.6,39.89,1.31,5,✅✅✅✅✅,25.1095192,88.9889861,10.15,Optimal (Tối ưu),Low,Loamy (Thịt/Phù sa)
Khagrachari,5.58,13.79,1.33,32.68,28.85,38.46,1.27,5,✅✅✅✅✅,23.214773,91.9591022,10.36,Optimal (Tối ưu),Low,Loamy (Thịt/Phù sa)
Khulna,5.81,18.99,1.82,32.95,24.57,42.51,1.28,5,✅✅✅✅✅,22.9372087,89.2852741,10.43,Optimal (Tối ưu),Low,Loamy (Thịt/Phù sa)
Kishoreganj,5.66,20.65,1.96,32.42,25.32,42.24,1.29,5,⚠️✅⚠️✅✅,24.4339822,90.7857232,10.53,Optimal (Tối ưu),Low,Loamy (Thịt/Phù sa)
Kurigram,5.63,18.2,1.97,32.46,34.49,33.03,1.31,5,✅✅⚠️✅✅,25.8130134,89.6430518,9.23,Optimal (Tối ưu),Low,Loamy (Thịt/Phù sa)
Kushtia,5.96,19.52,2.05,35.95,25.15,38.89,1.28,5,✅✅⚠️⚠️✅,23.8987955,89.1295536,9.52,Optimal (Tối ưu),Low,Loamy (Thịt/Phù sa)
Lakshmipur,5.84,24.75,2.65,38.4,24.54,37.07,1.28,5,✅✅✅✅✅,22.9445365,90.8276345,9.34,Optimal (Tối ưu),Low,Loamy (Thịt/Phù sa)
Lalmonirhat,5.71,24.92,3.45,32.93,35.66,31.44,1.29,5,✅✅⚠️✅✅,25.9163507,89.4461394,7.22,Optimal (Tối ưu),Low,Loamy (Thịt/Phù sa)
Madaripur,5.63,23.44,2.78,31.52,30.48,38.0,1.29,5,✅✅✅✅✅,23.1675177,90.2047265,8.43,Optimal (Tối ưu),Low,Loamy (Thịt/Phù sa)
Magura,5.92,22.91,1.96,30.11,20.69,49.19,1.28,5,✅✅✅✅✅,23.4880772,89.4201824,11.68,Optimal (Tối ưu),Low,Loamy (Thịt/Phù sa)
Manikganj,5.77,20.31,1.88,30.4,24.41,45.17,1.3,5,✅✅✅✅✅,23.8329836,89.9666878,10.8,Optimal (Tối ưu),Low,Loamy (Thịt/Phù sa)
Meherpur,6.22,19.2,1.42,37.87,18.94,43.2,1.28,5,✅✅✅✅✅,23.7817845,88.6369373,13.51,Optimal (Tối ưu),Low,Loamy (Thịt/Phù sa)
Moulvibazar,6.08,16.13,2.15,32.01,29.74,38.23,1.3,5,✅✅✅✅✅,24.4880817,91.7630179,7.5,Optimal (Tối ưu),Low,Loamy (Thịt/Phù sa)
Munshiganj,5.44,20.42,2.42,35.02,29.59,35.41,1.25,5,⚠️✅✅✅✅,23.5483797,90.5349722,8.43,Acidic (Chua),Low,Loamy (Thịt/Phù sa)
Mymensingh,5.73,16.23,1.49,31.27,29.94,38.8,1.31,5,✅✅✅✅✅,24.8889305,90.3845187,10.89,Optimal (Tối ưu),Low,Loamy (Thịt/Phù sa)
Naogaon,6.47,15.21,1.24,38.6,22.11,39.3,1.32,5,✅⚠️✅✅✅,24.8073229,88.9445447,12.26,Optimal (Tối ưu),Low,Loamy (Thịt/Phù sa)
Narail,5.75,16.41,1.48,29.12,33.18,37.7,1.33,5,⚠️✅✅⚠️✅,25.0748842,90.391651,11.08,Optimal (Tối ưu),Low,Loamy (Thịt/Phù sa)
Narayanganj,5.64,15.62,1.6,35.04,30.21,34.77,1.3,5,✅✅⚠️✅✅,23.6236732,90.4988075,9.76,Optimal (Tối ưu),Low,Loamy (Thịt/Phù sa)
Narsingdi,5.47,21.69,1.54,35.94,30.81,33.25,1.25,5,⚠️✅✅✅✅,23.9197152,90.7152981,14.08,Acidic (Chua),Low,Loamy (Thịt/Phù sa)
Natore,5.91,17.81,1.42,39.91,26.47,33.6,1.28,5,⚠️⚠️✅⚠️✅,24.4131849,88.9866684,12.53,Optimal (Tối ưu),Low,Loamy (Thịt/Phù sa)
Netrokona,5.92,19.91,1.93,36.51,29.44,34.05,1.29,5,✅⚠️⚠️✅✅,24.8855734,90.7332362,10.31,Optimal (Tối ưu),Low,Loamy (Thịt/Phù sa)
Nilphamari,6.0,15.44,1.64,29.14,32.45,38.4,1.31,5,✅✅⚠️✅✅,25.9339275,88.8534588,9.41,Optimal (Tối ưu),Low,Loamy (Thịt/Phù sa)
Noakhali,5.79,23.52,1.72,33.46,29.05,37.49,1.31,4,✅✅⚠️❌⚠️,22.2540799,91.1714399,13.67,Optimal (Tối ưu),Low,Loamy (Thịt/Phù sa)
Pabna,5.99,19.54,1.47,39.89,19.7,40.41,1.28,5,✅✅✅✅⚠️,24.0068082,89.2448341,13.28,Optimal (Tối ưu),Low,Loamy (Thịt/Phù sa)
Panchagar,5.88,18.49,1.72,30.85,26.88,42.26,1.29,5,✅✅✅✅✅,26.3209446,88.5471139,10.74,Optimal (Tối ưu),Low,Loamy (Thịt/Phù sa)
Patuakhali,5.73,17.04,1.8,25.82,35.1,39.05,1.32,5,✅✅✅⚠️⚠️,22.0084243,90.3826827,9.46,Optimal (Tối ưu),Low,Loamy (Thịt/Phù sa)
Pirojpur,5.79,33.57,4.33,29.02,23.88,47.1,1.22,5,⚠️✅⚠️⚠️✅,22.5095602,90.0072495,7.75,Optimal (Tối ưu),Low,Loamy (Thịt/Phù sa)
Rajbari,5.84,28.05,4.03,30.96,22.82,46.22,1.25,5,✅✅✅⚠️✅,23.7398373,89.5704133,6.96,Optimal (Tối ưu),Low,Loamy (Thịt/Phù sa)
Rajshahi,6.11,18.59,1.58,36.24,17.79,45.99,1.29,5,✅✅✅✅⚠️,24.6285432,89.0376862,11.76,Optimal (Tối ưu),Low,Loamy (Thịt/Phù sa)
Rangamati,5.7,24.39,2.13,32.36,27.91,39.73,1.25,5,✅⚠️⚠️⚠️✅,22.6509208,92.1814332,11.45,Optimal (Tối ưu),Low,Loamy (Thịt/Phù sa)
Rangpur,5.6,12.12,1.24,30.27,32.89,36.88,1.3,5,✅✅✅✅✅,25.6376135,89.0826381,9.77,Optimal (Tối ưu),Low,Loamy (Thịt/Phù sa)
Satkhira,5.93,20.48,2.1,32.6,23.58,43.84,1.27,5,✅✅✅✅⚠️,22.7166509,89.0749857,9.75,Optimal (Tối ưu),Low,Loamy (Thịt/Phù sa)
Shariatpur,5.64,20.12,2.85,32.88,22.11,45.02,1.27,5,⚠️✅✅✅✅,23.2132841,90.3481247,7.06,Optimal (Tối ưu),Low,Loamy (Thịt/Phù sa)
Sherpur,5.74,23.2,2.18,31.38,27.07,41.57,1.29,5,✅⚠️⚠️✅⚠️,25.0228367,90.0149736,10.64,Optimal (Tối ưu),Low,Loamy (Thịt/Phù sa)
Sirajganj,5.87,16.81,1.53,30.62,29.44,39.96,1.34,5,✅⚠️⚠️⚠️✅,24.4572235,89.7057047,10.98,Optimal (Tối ưu),Low,Loamy (Thịt/Phù sa)
Sunamganj,5.89,15.26,1.56,33.84,29.64,36.52,1.33,5,✅⚠️✅✅✅,25.0671031,91.3985824,9.78,Optimal (Tối ưu),Low,Loamy (Thịt/Phù sa)
Sylhet,5.61,19.98,1.81,28.45,42.62,28.93,1.24,5,✅✅✅✅⚠️,24.7358854,91.6852476,11.03,Optimal (Tối ưu),Low,Loamy (Thịt/Phù sa)
Tangail,5.71,26.11,1.62,28.16,38.4,33.45,1.29,5,✅✅✅✅✅,24.2738513,89.9375911,16.11,Optimal (Tối ưu),Low,Loamy (Thịt/Phù sa)
Thakurgaon,5.85,20.19,1.81,30.97,32.95,36.08,1.3,5,✅✅✅✅⚠️,23.773143,90.3591626,11.15,Optimal (Tối ưu),Low,Loamy (Thịt/Phù sa)
