B,Category,Cu,Cycle_Year,DISTRICT,DISTRICT_L,EC,Feature_ID,K,Mn,N,OC,P,S,STATE,STATE_LGD,Scan_Lat,Scan_Lon,TEHSIL,VILLAGE,Zn,fe,pH
0.47,Deficient,0.7,2017-19,BAGALKOT,524,0.225,29_524_shc_2017-19.465,273.038,4.5,286.62,0.5,20.02,26.25,KARNATAKA,29,15.916000000000036,76.10599999999738,HUNGUND,SANKLAPUR,0.25,0.46,7.9
0.56,Sufficient,0.73,2017-19,BAGALKOT,524,0.26,29_524_shc_2017-19.410,321.64,2.81,516.8,0.51,28.94,19.16,KARNATAKA,29,15.922000000000038,75.96199999999772,HUNGUND,DAMMUR,0.48,1.33,7.78
0.39,Deficient,1.12,2017-19,BAGALKOT,524,0.08,29_524_shc_2017-19.223,172.24,7.23,309.54,0.54,26.299,17.0,KARNATAKA,29,15.93000000000004,75.59199999999858,BADAMI,KARDIGUD,0.42,1.4,7.1
1.0,Sufficient,0.37,2017-19,BAGALKOT,524,0.1,29_524_shc_2017-19.154,191.36,1.19,154.77,0.27,9.464,16.5,KARNATAKA,29,15.93000000000004,75.47399999999885,BADAMI,CHIMMANAKATTI,0.11,0.38,8.44
0.28,Deficient,0.85,2017-19,BAGALKOT,524,0.13,29_524_shc_2017-19.330,646.09,1.49,406.39,0.67,11.0,20.0,KARNATAKA,29,15.932000000000041,75.7959999999981,BADAMI,GONAL,0.2,0.46,8.74
0.33,Deficient,0.64,2017-19,BAGALKOT,524,0.14,29_524_shc_2017-19.324,554.51,1.41,349.67,0.61,23.93,18.0,KARNATAKA,29,15.934000000000042,75.77999999999814,BADAMI,SHIRBADGI,0.27,0.26,8.61
0.68,Sufficient,0.81,2017-19,BAGALKOT,524,0.15,29_524_shc_2017-19.487,221.17,3.03,349.67,0.61,28.94,29.25,KARNATAKA,29,15.940000000000044,76.15199999999727,HUNGUND,HIRE KODAGALI,0.21,0.31,8.1
0.87,Sufficient,0.58,2017-19,BAGALKOT,524,0.17,29_524_shc_2017-19.530,320.85,2.28,246.49,0.43,9.282,17.25,KARNATAKA,29,15.940000000000044,76.3139999999969,HUNGUND,SOMLAPUR,0.21,0.23,8.4
0.32,Deficient,1.21,2017-19,BAGALKOT,524,0.16,29_524_shc_2017-19.136,360.0,1.77,589.6,0.59,36.15,18.61,KARNATAKA,29,15.942000000000045,75.44999999999891,BADAMI,KAKANUR,0.51,1.63,8.32
0.63,Sufficient,0.41,2017-19,BAGALKOT,524,0.12,29_524_shc_2017-19.169,290.33,1.44,154.77,0.28,32.62,6.75,KARNATAKA,29,15.942000000000045,75.50399999999878,BADAMI,KALLAPUR,0.24,0.94,7.77
0.3,Deficient,0.94,2017-19,BAGALKOT,524,0.13,29_524_shc_2017-19.242,141.75,6.85,303.81,0.53,26.03,60.25,KARNATAKA,29,15.942000000000045,75.63199999999848,BADAMI,KABBALGERI,1.27,1.96,7.9
0.51,Sufficient,0.73,2017-19,BAGALKOT,524,0.11,29_524_shc_2017-19.477,205.313,4.69,372.6,0.65,27.57,44.0,KARNATAKA,29,15.944000000000045,76.13199999999732,HUNGUND,HANAMNAL,0.26,0.36,7.7
0.59,Sufficient,0.81,2017-19,BAGALKOT,524,0.12,29_524_shc_2017-19.369,196.08,6.33,120.37,0.21,33.94,62.75,KARNATAKA,29,15.946000000000046,75.86799999999793,HUNGUND,BHIMANGAD,0.46,2.36,7.5
0.95,Sufficient,0.58,2017-19,BAGALKOT,524,0.07,29_524_shc_2017-19.181,326.3,2.88,206.36,0.36,36.76,27.0,KARNATAKA,29,15.950000000000047,75.51999999999875,BADAMI,MAMATGERI,0.55,0.64,8.1
0.51,Sufficient,0.92,2017-19,BAGALKOT,524,0.15,29_524_shc_2017-19.503,256.16,4.34,241.0,0.42,24.9325,19.4,KARNATAKA,29,15.952000000000048,76.1859999999972,HUNGUND,HIRE OTGERI,0.18,0.3,8.0
0.28,Deficient,0.85,2017-19,BAGALKOT,524,0.13,29_524_shc_2017-19.473,646.09,1.49,406.39,0.67,11.0,20.0,KARNATAKA,29,15.954000000000049,76.12799999999733,HUNGUND,GONAL,0.2,0.46,8.74
0.49,Deficient,0.7,2017-19,BAGALKOT,524,0.12,29_524_shc_2017-19.164,117.68,7.26,223.18,0.39,60.879,22.75,KARNATAKA,29,15.95600000000005,75.48999999999882,BADAMI,TAPASKATTI,0.36,2.6,8.2
0.78,Sufficient,0.21,2017-19,BAGALKOT,524,0.15,29_524_shc_2017-19.357,507.38,6.57,298.0,0.5,20.9,25.5,KARNATAKA,29,15.95800000000005,75.84999999999798,BADAMI,CHIMALGI,0.15,0.76,8.5
0.59,Sufficient,0.53,2017-19,BAGALKOT,524,0.14,29_524_shc_2017-19.334,464.74,1.09,257.95,0.43,18.25,14.25,KARNATAKA,29,15.962000000000051,75.80599999999808,BADAMI,PATTADKAL,0.28,0.26,8.83
0.8,Sufficient,0.91,2017-19,BAGALKOT,524,0.2,29_524_shc_2017-19.464,261.338,2.7,315.28,0.55,26.48,33.75,KARNATAKA,29,15.964000000000052,76.10399999999738,HUNGUND,ILKAL,0.26,0.29,8.3
0.61,Sufficient,0.51,2017-19,BAGALKOT,524,0.07,29_524_shc_2017-19.221,218.81,2.745,154.77,0.27,19.7,18.25,KARNATAKA,29,15.966000000000053,75.58799999999859,BADAMI,MUSHTIGERI,0.27,1.025,7.55
0.47,Deficient,0.91,2017-19,BAGALKOT,524,0.19,29_524_shc_2017-19.494,273.71,3.86,184.9,0.32,27.027,17.625,KARNATAKA,29,15.968000000000053,76.17399999999722,HUNGUND,VAJHAL,0.15,0.28,8.2
0.25,Deficient,0.46,2017-19,BAGALKOT,524,0.12,29_524_shc_2017-19.146,292.5,1.76,395.1,0.57,25.84,12.46,KARNATAKA,29,15.970000000000054,75.45999999999889,BADAMI,NIRALKERI,0.28,2.41,7.85
0.6,Sufficient,0.27,2017-19,BAGALKOT,524,0.08,29_524_shc_2017-19.197,245.1,2.14,131.84,0.23,25.03,44.25,KARNATAKA,29,15.970000000000054,75.54599999999868,BADAMI,UGALVAT,0.33,0.9,7.0
0.49,Deficient,0.61,2017-19,BAGALKOT,524,0.22,29_524_shc_2017-19.480,247.388,1.26,257.95,0.45,20.57,26.0,KARNATAKA,29,15.972000000000055,76.1379999999973,HUNGUND,GORUBAL,0.17,0.24,8.1
1.0,Sufficient,0.44,2017-19,BAGALKOT,524,0.06,29_524_shc_2017-19.179,409.33,2.6,166.24,0.29,30.8,11.5,KARNATAKA,29,15.978000000000057,75.51799999999875,BADAMI,HALAGERI,0.31,0.71,7.8
0.5,Sufficient,0.95,2017-19,BAGALKOT,524,0.1,29_524_shc_2017-19.276,174.375,5.58,217.83,0.38,17.11,31.0,KARNATAKA,29,15.984000000000059,75.69599999999834,BADAMI,KUTAKANKERI,0.38,0.82,7.5
0.38,Deficient,1.38,2017-19,BAGALKOT,524,0.21,29_524_shc_2017-19.392,435.15,6.39,338.21,0.59,18.2,41.0,KARNATAKA,29,15.984000000000059,75.91599999999782,HUNGUND,KELUR,0.35,0.72,7.79
0.28,Deficient,0.85,2017-19,BAGALKOT,524,0.13,29_524_shc_2017-19.525,646.09,1.49,406.39,0.67,11.0,20.0,KARNATAKA,29,15.98600000000006,76.27999999999697,HUNGUND,GONAL,0.2,0.46,8.74
0.32,Deficient,0.65,2017-19,BAGALKOT,524,0.11,29_524_shc_2017-19.137,269.44,2.58,551.6,0.39,19.75,13.11,KARNATAKA,29,15.99000000000006,75.44999999999891,BADAMI,RADDER TIMMAPUR,0.35,2.16,7.76
0.39,Deficient,1.73,2017-19,BAGALKOT,524,0.31,29_524_shc_2017-19.522,187.763,4.49,487.2,0.85,8.645,35.25,KARNATAKA,29,15.992000000000061,76.22999999999709,HUNGUND,KRISHNAPUR,0.53,0.34,7.3
0.74,Sufficient,0.67,2017-19,BAGALKOT,524,0.04,29_524_shc_2017-19.159,290.03,4.41,166.24,0.296,42.6,31.75,KARNATAKA,29,15.994000000000062,75.47999999999884,BADAMI,HALIGERI,0.73,0.49,7.4
0.51,Sufficient,0.71,2017-19,BAGALKOT,524,0.22,29_524_shc_2017-19.468,240.53,3.15,233.77,0.41,28.3,15.5,KARNATAKA,29,16.000000000000064,76.10799999999738,HUNGUND,HERUR,0.21,0.3,8.3
0.58,Sufficient,1.01,2017-19,BAGALKOT,524,0.17,29_524_shc_2017-19.511,323.1,3.92,298.08,0.52,13.195,33.75,KARNATAKA,29,16.000000000000064,76.20599999999715,HUNGUND,HIRE SINGANGUTTI,0.32,0.39,8.3
0.766,Sufficient,0.84,2017-19,BAGALKOT,524,0.16,29_524_shc_2017-19.250,305.1,3.37,212.1,0.34,11.6,37.25,KARNATAKA,29,16.002000000000063,75.64199999999846,BADAMI,HALAKURKI,0.26,0.59,8.3
0.56,Sufficient,0.19,2017-19,BAGALKOT,524,0.08,29_524_shc_2017-19.312,268.31,7.3,149.03,0.24,22.2,12.75,KARNATAKA,29,16.002000000000063,75.7539999999982,BADAMI,HANAPUR,0.35,5.2,8.2
0.37,Deficient,1.38,2017-19,BAGALKOT,524,0.15,29_524_shc_2017-19.383,247.1,7.69,269.42,0.46,19.838,61.75,KARNATAKA,29,16.002000000000063,75.89599999999787,HUNGUND,CHILAPUR,0.36,0.68,7.5
0.47,Deficient,0.69,2017-19,BAGALKOT,524,0.15,29_524_shc_2017-19.347,378.9,5.86,395.53,0.7,19.84,27.0,KARNATAKA,29,16.00400000000006,75.82999999999802,BADAMI,KOTGINAHALLI,0.4,0.89,7.7
0.67,Sufficient,1.1,2017-19,BAGALKOT,524,0.14,29_524_shc_2017-19.403,224.438,4.09,321.01,0.56,24.3,41.0,KARNATAKA,29,16.00600000000006,75.94399999999776,HUNGUND,SANGAPUR,0.25,0.37,8.0
0.44,Deficient,1.34,2017-19,BAGALKOT,524,0.22,29_524_shc_2017-19.411,508.613,6.46,355.4,0.62,18.93,35.0,KARNATAKA,29,16.00600000000006,75.96199999999772,HUNGUND,GORAJINAL,0.29,0.66,8.0
0.59,Sufficient,0.44,2017-19,BAGALKOT,524,0.175,29_524_shc_2017-19.424,375.53,3.45,240.76,0.42,11.875,28.625,KARNATAKA,29,16.00800000000006,75.98399999999766,HUNGUND,NAGUR,0.24,1.255,8.1
0.31,Deficient,1.17,2017-19,BAGALKOT,524,0.11,29_524_shc_2017-19.143,292.5,2.52,470.1,0.35,44.25,19.25,KARNATAKA,29,16.012000000000057,75.4559999999989,BADAMI,CHANCHALAKATTI,0.91,1.15,7.55
0.4,Deficient,2.53,2017-19,BAGALKOT,524,0.19,29_524_shc_2017-19.191,229.5,8.38,338.2,0.59,9.191,40.5,KARNATAKA,29,16.016000000000055,75.53599999999871,BADAMI,KERUR,0.52,0.65,7.2
0.47,Deficient,0.74,2017-19,BAGALKOT,524,0.13,29_524_shc_2017-19.233,179.66,6.09,240.76,0.42,27.12,32.35,KARNATAKA,29,16.016000000000055,75.60999999999854,BADAMI,YANKANCHI,0.35,0.71,8.0
0.38,Deficient,1.47,2017-19,BAGALKOT,524,0.14,29_524_shc_2017-19.166,226.8,8.39,212.1,0.37,30.12,43.5,KARNATAKA,29,16.018000000000054,75.49199999999881,BADAMI,HANUMANERI,0.41,1.56,7.8
0.5,Sufficient,0.835,2017-19,BAGALKOT,524,0.18,29_524_shc_2017-19.438,230.625,1.72,389.8,0.67,16.107,34.5,KARNATAKA,29,16.018000000000054,76.0139999999976,HUNGUND,YADAHALLI,0.22,0.41,8.2
0.52,Sufficient,0.76,2017-19,BAGALKOT,524,0.25,29_524_shc_2017-19.449,461.36,3.44,272.246,0.475,25.1,20.75,KARNATAKA,29,16.018000000000054,76.04199999999753,HUNGUND,CHITTAVADGI,0.32,0.41,7.93
0.51,Sufficient,0.445,2017-19,BAGALKOT,524,0.1,29_524_shc_2017-19.127,247.5,2.5,426.5,0.525,30.485,16.24,KARNATAKA,29,16.020000000000053,75.43399999999895,BADAMI,BELLIKANDI,0.72,1.96,7.9
0.59,Sufficient,1.26,2017-19,BAGALKOT,524,0.28,29_524_shc_2017-19.214,205.08,6.19,275.2,0.48,27.48,33.0,KARNATAKA,29,16.020000000000053,75.57799999999861,BADAMI,MATTIKATTI,0.37,0.55,7.5
0.63,Sufficient,0.86,2017-19,BAGALKOT,524,0.18,29_524_shc_2017-19.283,352.575,6.01,298.08,0.52,25.84,42.75,KARNATAKA,29,16.020000000000053,75.70799999999831,BADAMI,HANSUR,0.29,1.12,7.6
0.72,Sufficient,0.8,2017-19,BAGALKOT,524,0.19,29_524_shc_2017-19.471,235.01,3.52,234.98,0.41,34.49,27.5,KARNATAKA,29,16.02200000000005,76.11599999999736,HUNGUND,KESARBHAVI,0.25,0.3,8.3
0.42,Deficient,0.89,2017-19,BAGALKOT,524,0.15,29_524_shc_2017-19.339,335.7,5.93,372.6,0.6,25.1,22.5,KARNATAKA,29,16.02400000000005,75.81999999999805,BADAMI,KOTAGINAHALLI,0.49,0.85,7.9
0.53,Sufficient,1.85,2017-19,BAGALKOT,524,0.18,29_524_shc_2017-19.240,237.15,3.45,217.12,0.38,27.12,29.0,KARNATAKA,29,16.030000000000047,75.61999999999851,BADAMI,GUBBER KOPPA,0.21,0.48,7.8
0.64,Sufficient,0.98,2017-19,BAGALKOT,524,0.17,29_524_shc_2017-19.492,270.45,6.24,292.28,0.51,28.11,48.0,KARNATAKA,29,16.030000000000047,76.16399999999724,HUNGUND,JAMMALDINNI,0.28,0.23,8.2
0.38,Deficient,0.81,2017-19,BAGALKOT,524,0.21,29_524_shc_2017-19.225,434.363,5.86,286.62,0.5,18.2,35.0,KARNATAKA,29,16.032000000000046,75.59599999999857,BADAMI,MANINAGAR,0.46,0.76,7.8
0.4,Deficient,1.36,2017-19,BAGALKOT,524,0.12,29_524_shc_2017-19.428,238.38,4.7,108.91,0.19,25.75,31.75,KARNATAKA,29,16.032000000000046,75.99199999999765,HUNGUND,HONNARAHALLI,0.25,0.68,7.7
0.46,Deficient,1.06,2017-19,BAGALKOT,524,0.16,29_524_shc_2017-19.527,372.15,2.98,349.0,0.61,32.7155,42.5,KARNATAKA,29,16.032000000000046,76.28799999999696,HUNGUND,HARNAPUR,0.34,0.32,8.3
0.69,Sufficient,0.505,2017-19,BAGALKOT,524,0.17,29_524_shc_2017-19.475,421.82,3.83,235.02,0.41,23.65,28.75,KARNATAKA,29,16.034000000000045,76.12999999999732,HUNGUND,HIRE HUNKUNTI,0.21,0.41,8.45
0.94,Sufficient,0.55,2017-19,BAGALKOT,524,0.1,29_524_shc_2017-19.138,190.01,9.135,166.24,0.29,28.57,48.875,KARNATAKA,29,16.038000000000043,75.44999999999891,BADAMI,HAVALKOD,0.45,0.95,7.0
0.68,Sufficient,0.82,2017-19,BAGALKOT,524,0.18,29_524_shc_2017-19.348,328.163,5.46,329.605,0.54,20.25,35.25,KARNATAKA,29,16.038000000000043,75.83399999999801,BADAMI,ASANGI,0.26,0.63,7.7
0.35,Deficient,0.88,2017-19,BAGALKOT,524,0.14,29_524_shc_2017-19.327,299.0,4.4,275.2,0.47,24.6,35.25,KARNATAKA,29,16.040000000000042,75.78599999999813,BADAMI,PARVATI,0.385,0.795,7.5
0.92,Sufficient,0.62,2017-19,BAGALKOT,524,0.15,29_524_shc_2017-19.421,283.16,2.73,252.22,0.44,5.7765,66.0,KARNATAKA,29,16.040000000000042,75.97999999999767,HUNGUND,CHIKKAYARANAKERI,0.26,0.3,8.0
0.6,Sufficient,0.59,2017-19,BAGALKOT,524,0.17,29_524_shc_2017-19.365,247.05,2.28,389.06,0.68,36.22,31.5,KARNATAKA,29,16.04200000000004,75.86199999999795,HUNGUND,KALLIGUDDA,0.18,0.16,7.8
0.435,Deficient,0.53,2017-19,BAGALKOT,524,0.19,29_524_shc_2017-19.440,304.988,2.64,257.95,0.45,31.4,24.25,KARNATAKA,29,16.04200000000004,76.01999999999758,HUNGUND,BANNIHATTI,0.33,0.42,7.95
0.57,Sufficient,1.04,2017-19,BAGALKOT,524,0.12,29_524_shc_2017-19.123,216.23,3.31,378.33,0.66,21.212,18.5,KARNATAKA,29,16.04400000000004,75.42799999999896,BADAMI,JANGVAD,0.18,0.395,7.9
0.6,Sufficient,1.22,2017-19,BAGALKOT,524,0.05,29_524_shc_2017-19.172,215.25,8.14,238.34,0.43,12.28,38.5,KARNATAKA,29,16.04600000000004,75.50599999999878,BADAMI,NARENUR,0.45,1.96,6.5
0.75,Sufficient,2.36,2017-19,BAGALKOT,524,0.2,29_524_shc_2017-19.212,281.309,6.39,475.78,0.83,30.3,37.5,KARNATAKA,29,16.04600000000004,75.57199999999862,BADAMI,KADAPATTI,0.79,0.43,7.9
0.47,Deficient,0.95,2017-19,BAGALKOT,524,0.29,29_524_shc_2017-19.496,214.988,4.285,514.304,0.505,27.57,13.52,KARNATAKA,29,16.04600000000004,76.17599999999722,HUNGUND,TARIVAL,0.39,0.85,7.7
0.54,Sufficient,0.63,2017-19,BAGALKOT,524,0.16,29_524_shc_2017-19.427,355.163,2.81,298.08,0.52,17.75,38.0,KARNATAKA,29,16.048000000000037,75.98999999999765,HUNGUND,HIREYARANKERE,0.35,0.28,8.0
0.61,Sufficient,1.36,2017-19,BAGALKOT,524,0.2,29_524_shc_2017-19.412,313.2,7.46,407.0,0.71,26.39,44.0,KARNATAKA,29,16.052000000000035,75.96399999999771,HUNGUND,HANCHINAL,0.25,0.45,8.1
0.74,Sufficient,0.94,2017-19,BAGALKOT,524,0.12,29_524_shc_2017-19.259,350.33,1.82,223.56,0.39,15.3,15.0,KARNATAKA,29,16.054000000000034,75.65999999999842,BADAMI,HANGARGI,0.35,0.42,8.15
0.56,Sufficient,0.72,2017-19,BAGALKOT,524,0.21,29_524_shc_2017-19.485,347.96,3.48,237.89,0.39,25.39,22.5,KARNATAKA,29,16.054000000000034,76.15999999999725,HUNGUND,MALGIHAL,0.195,0.54,8.5
0.67,Sufficient,1.15,2017-19,BAGALKOT,524,0.23,29_524_shc_2017-19.190,236.25,4.69,375.6,0.65,28.39,51.25,KARNATAKA,29,16.056000000000033,75.53199999999872,BADAMI,MALAGI,0.49,0.32,7.9
0.55,Sufficient,0.86,2017-19,BAGALKOT,524,0.21,29_524_shc_2017-19.370,407.25,3.9,372.6,0.65,33.67,28.5,KARNATAKA,29,16.056000000000033,75.99999999999763,HUNGUND,MULLUR,0.36,0.46,7.9
0.44,Deficient,0.81,2017-19,BAGALKOT,524,0.18,29_524_shc_2017-19.236,321.638,3.99,447.12,0.78,30.39,32.0,KARNATAKA,29,16.058000000000032,75.61799999999852,BADAMI,LAKKASKOPPA,0.29,0.58,8.1
0.74,Sufficient,0.68,2017-19,BAGALKOT,524,0.12,29_524_shc_2017-19.514,334.125,4.61,378.0,0.66,10.19,57.0,KARNATAKA,29,16.06000000000003,76.21399999999713,HUNGUND,BENKANADONI,0.24,0.35,8.0
0.25,Deficient,1.21,2017-19,BAGALKOT,524,0.21,29_524_shc_2017-19.316,252.68,4.845,465.21,0.41,24.12,13.25,KARNATAKA,29,16.06200000000003,75.76199999999818,BADAMI,KOTIKAL,0.39,1.25,8.66
0.63,Sufficient,0.75,2017-19,BAGALKOT,524,0.18,29_524_shc_2017-19.423,372.15,3.71,235.02,0.41,28.0,16.0,KARNATAKA,29,16.06200000000003,75.98199999999767,HUNGUND,RAKKASAGI,0.25,0.35,8.2
0.64,Sufficient,0.97,2017-19,BAGALKOT,524,0.18,29_524_shc_2017-19.271,514.3,1.74,263.4,0.415,18.0,10.58,KARNATAKA,29,16.06400000000003,75.68599999999836,BADAMI,HIRE BUDHIHAL,0.34,1.27,8.55
0.48,Deficient,0.9,2017-19,BAGALKOT,524,0.18,29_524_shc_2017-19.401,259.425,3.89,286.62,0.44,23.48,24.25,KARNATAKA,29,16.06400000000003,75.93599999999778,HUNGUND,AMINGARH,0.42,0.89,7.64
0.86,Sufficient,0.58,2017-19,BAGALKOT,524,0.17,29_524_shc_2017-19.506,455.18,1.59,418.46,0.73,15.02,36.5,KARNATAKA,29,16.06400000000003,76.18799999999719,HUNGUND,BUDIHAL,0.34,0.26,8.0
0.32,Deficient,1.89,2017-19,BAGALKOT,524,0.16,29_524_shc_2017-19.228,511.765,7.4,435.65,0.76,16.29,35.0,KARNATAKA,29,16.066000000000027,75.59999999999856,BADAMI,JAMMANAKATTI,0.4,0.96,7.6
0.45,Deficient,0.89,2017-19,BAGALKOT,524,0.17,29_524_shc_2017-19.350,388.575,6.19,332.47,0.57,19.11,31.75,KARNATAKA,29,16.066000000000027,75.83399999999801,BADAMI,HALLADUR,0.46,0.92,7.9
0.85,Sufficient,0.68,2017-19,BAGALKOT,524,0.29,29_524_shc_2017-19.413,351.68,3.72,252.22,0.44,20.3,8.25,KARNATAKA,29,16.068000000000026,75.96399999999771,HUNGUND,KALLAGONAL,1.47,0.23,8.3
0.95,Sufficient,0.57,2017-19,BAGALKOT,524,0.29,29_524_shc_2017-19.476,347.0,4.55,229.29,0.4,27.21,31.75,KARNATAKA,29,16.076000000000022,76.12999999999732,HUNGUND,GHATIGNUR,0.19,0.25,8.3
0.955,Sufficient,0.89,2017-19,BAGALKOT,524,0.2,29_524_shc_2017-19.129,470.48,6.08,200.63,0.35,31.255,17.25,KARNATAKA,29,16.08000000000002,75.43399999999895,BADAMI,SHIPARMATTI,0.61,0.37,8.0
0.5,Sufficient,0.88,2017-19,BAGALKOT,524,0.1,29_524_shc_2017-19.356,267.3,5.625,292.35,0.51,26.75,64.75,KARNATAKA,29,16.08000000000002,75.84599999999799,BADAMI,INJANVARI,0.28,0.54,7.5
0.81,Sufficient,0.68,2017-19,BAGALKOT,524,0.23,29_524_shc_2017-19.414,361.46,4.045,235.02,0.41,14.74,34.75,KARNATAKA,29,16.08000000000002,75.96399999999771,HUNGUND,HULLIHAL,0.4,0.27,8.4
