Khu vực,Tiểu bang,Lượng mưa trung bình,Nhiệt độ trung bình của năm,Tỷ lệ đất được tưới tiêu,Tổng lượng phân bón tiêu thụ trong năm,Loại cây ở khu vực đó,Năng suất trung bình của khu vực
Gulbarga,Karnataka,3512.4,26.8,Spray,0.0,Coconut,4247.0
Gulbarga,Karnataka,3296.0,37.0,Spray,0.0,Coconut,3290.0
Gulbarga,Karnataka,3296.0,37.0,Spray,0.0,Coconut,3138.0
Gulbarga,Karnataka,3296.0,37.0,Spray,0.0,Coconut,3423.0
Gulbarga,Karnataka,3550.0,38.0,Spray,0.0,Coconut,3899.0
Gulbarga,Karnataka,3550.0,38.0,Spray,0.0,Coconut,4015.0
Gulbarga,Karnataka,3550.0,38.0,Spray,0.0,Coconut,4279.0
Gulbarga,Karnataka,3654.0,39.0,Spray,0.0,Coconut,4167.0
Gulbarga,Karnataka,3654.0,39.0,Spray,0.0,Coconut,4479.0
Gulbarga,Karnataka,3654.0,39.0,Spray,0.0,Coconut,3699.0
Gulbarga,Karnataka,3105.0,42.0,Spray,0.0,Coconut,71.0
Gulbarga,Karnataka,3105.0,42.0,Spray,0.0,Coconut,52.0
Gulbarga,Karnataka,3105.0,42.0,Spray,0.0,Coconut,12.0
Gulbarga,Karnataka,3654.0,129.0,Drip,0.0,Cocoa,62.0
Gulbarga,Karnataka,3105.0,132.0,Drip,0.0,Cocoa,25.0
Gulbarga,Karnataka,2903.1,136.0,Drip,0.0,Coffee,2089.0
Gulbarga,Karnataka,2903.1,137.0,Drip,0.0,Coffee,2810.0
Gulbarga,Karnataka,2903.1,138.0,Drip,0.0,Coffee,841.0
Gulbarga,Karnataka,2996.6,139.0,Drip,0.0,Coffee,3550.0
Gulbarga,Karnataka,2996.6,140.0,Drip,0.0,Coffee,109.0
Gulbarga,Karnataka,2996.6,141.0,Drip,0.0,Coffee,3368.0
Gulbarga,Karnataka,3522.8,142.0,Drip,0.0,Coffee,3671.0
Gulbarga,Karnataka,3522.8,143.0,Drip,0.0,Coffee,2404.0
Gulbarga,Karnataka,3522.8,144.0,Drip,0.0,Coffee,2805.0
Gulbarga,Karnataka,3729.8,145.0,Drip,0.0,Coffee,2331.0
Gulbarga,Karnataka,3729.8,146.0,Drip,0.0,Coffee,2088.0
Gulbarga,Karnataka,3729.8,147.0,Drip,0.0,Coffee,2628.0
Gulbarga,Karnataka,2746.2,148.0,Drip,0.0,Coffee,1939.0
Gulbarga,Karnataka,2746.2,149.0,Drip,0.0,Cardamum,1871.0
Gulbarga,Karnataka,2746.2,150.0,Drip,0.0,Cardamum,1868.0
Gulbarga,Karnataka,3605.4,154.0,Drip,0.0,Cardamum,1901.0
Gulbarga,Karnataka,3605.4,155.0,Drip,0.0,Cardamum,972.0
Gulbarga,Karnataka,3605.4,156.0,Drip,0.0,Cardamum,874.0
Gulbarga,Karnataka,3512.4,157.0,Drip,0.0,Cardamum,592.0
Gulbarga,Karnataka,3512.4,158.0,Drip,0.0,Cardamum,864.0
Gulbarga,Karnataka,3512.4,159.0,Drip,0.0,Cardamum,5373.0
Gulbarga,Karnataka,3296.0,160.0,Drip,0.0,Cardamum,6589.0
Gulbarga,Karnataka,3296.0,161.0,Drip,0.0,Cardamum,5107.0
Gulbarga,Karnataka,3296.0,162.0,Drip,0.0,Cardamum,5518.0
Gulbarga,Karnataka,3550.0,163.0,Drip,0.0,Cardamum,4912.0
Madikeri,Karnataka,3550.0,164.0,Drip,0.0,Pepper,3830.0
Madikeri,Karnataka,3550.0,165.0,Drip,0.0,Pepper,4.0
Madikeri,Karnataka,3654.0,166.0,Drip,0.0,Pepper,9.0
Madikeri,Karnataka,3654.0,167.0,Drip,0.0,Pepper,12.0
Madikeri,Karnataka,3654.0,168.0,Drip,0.0,Pepper,2089.0
Madikeri,Karnataka,3105.0,175.0,Basin,0.0,Pepper,2404.0
Madikeri,Karnataka,3105.0,176.0,Basin,0.0,Pepper,2805.0
Madikeri,Karnataka,3105.0,177.0,Basin,0.0,Pepper,2331.0
Madikeri,Karnataka,2903.1,180.0,Basin,0.0,Arecanut,1939.0
Madikeri,Karnataka,2903.1,181.0,Basin,0.0,Arecanut,1871.0
Madikeri,Karnataka,2903.1,182.0,Basin,0.0,Arecanut,1868.0
Madikeri,Karnataka,3522.8,186.0,Basin,0.0,Arecanut,1901.0
Madikeri,Karnataka,3522.8,187.0,Basin,0.0,Arecanut,972.0
Madikeri,Karnataka,3522.8,188.0,Basin,0.0,Arecanut,874.0
Madikeri,Karnataka,2903.1,189.0,Basin,0.0,Arecanut,592.0
Madikeri,Karnataka,2903.1,190.0,Basin,0.0,Arecanut,864.0
Madikeri,Karnataka,2903.1,191.0,Basin,0.0,Arecanut,5373.0
Hassan,Karnataka,2996.6,192.0,Basin,0.0,Arecanut,6589.0
Hassan,Karnataka,2996.6,193.0,Basin,0.0,Arecanut,5107.0
Hassan,Karnataka,2996.6,194.0,Basin,0.0,Ginger,5518.0
Hassan,Karnataka,3522.8,195.0,Basin,0.0,Ginger,4912.0
Hassan,Karnataka,3522.8,196.0,Basin,0.0,Ginger,3830.0
Hassan,Karnataka,3522.8,197.0,Basin,0.0,Ginger,4.0
Hassan,Karnataka,3729.8,198.0,Basin,0.0,Ginger,9.0
Hassan,Karnataka,3729.8,199.0,Basin,0.0,Ginger,12.0
Hassan,Karnataka,3729.8,200.0,Basin,0.0,Ginger,2089.0
Hassan,Karnataka,2746.2,201.0,Basin,0.0,Ginger,2810.0
Hassan,Karnataka,2746.2,202.0,Basin,0.0,Ginger,841.0
Hassan,Karnataka,2746.2,203.0,Basin,0.0,Ginger,3550.0
Hassan,Karnataka,3360.0,204.0,Basin,0.0,Ginger,109.0
Hassan,Karnataka,3360.0,205.0,Basin,0.0,Ginger,3368.0
Hassan,Karnataka,3360.0,206.0,Basin,0.0,Ginger,3671.0
Hassan,Karnataka,3605.4,207.0,Basin,0.0,Ginger,2404.0
Hassan,Karnataka,3605.4,208.0,Basin,0.0,Ginger,2805.0
Hassan,Karnataka,3605.4,209.0,Basin,0.0,Tea,2331.0
Hassan,Karnataka,3512.4,210.0,Basin,0.0,Tea,2088.0
Hassan,Karnataka,3512.4,211.0,Basin,0.0,Tea,2628.0
Hassan,Karnataka,3512.4,212.0,Basin,0.0,Tea,1939.0
Hassan,Karnataka,3296.0,213.0,Basin,0.0,Tea,1871.0
Hassan,Karnataka,3296.0,214.0,Basin,0.0,Tea,1868.0
Hassan,Karnataka,3550.0,218.0,Spray,0.0,Tea,1901.0
Hassan,Karnataka,3654.0,219.0,Spray,0.0,Tea,972.0
Hassan,Karnataka,3654.0,220.0,Spray,0.0,Tea,874.0
Hassan,Karnataka,3654.0,221.0,Spray,0.0,Tea,592.0
Hassan,Karnataka,3105.0,27.2,Spray,0.0,Paddy,3830.0
Hassan,Karnataka,3105.0,27.2,Spray,0.0,Paddy,2783.0
Hassan,Karnataka,2903.1,27.0,Spray,0.0,Paddy,975.0
Hassan,Karnataka,2903.1,27.0,Spray,0.0,Paddy,2.0
Hassan,Karnataka,2903.1,27.0,Spray,0.0,Paddy,836.0
Hassan,Karnataka,2996.6,27.0,Spray,0.0,Paddy,806.0
Hassan,Karnataka,2996.6,27.2,Spray,0.0,Paddy,880.0
Hassan,Karnataka,2996.6,27.2,Spray,0.0,Paddy,770.0
Hassan,Karnataka,3522.8,27.2,Spray,0.0,Groundnut,395.0
Hassan,Karnataka,3522.8,27.1,Spray,0.0,Groundnut,187.0
Hassan,Karnataka,2903.1,27.1,Spray,0.0,Groundnut,121.0
Hassan,Karnataka,2903.1,26.8,Spray,0.0,Groundnut,103.0
Hassan,Karnataka,2903.1,26.8,Spray,0.0,Groundnut,71.0
Hassan,Karnataka,2996.6,26.8,Spray,0.0,Groundnut,3961.0
Hassan,Karnataka,2996.6,37.0,Spray,0.0,Groundnut,4247.0
Hassan,Karnataka,2996.6,37.0,Spray,0.0,Groundnut,3290.0
Hassan,Karnataka,3522.8,37.0,Spray,0.0,Groundnut,3138.0
Hassan,Karnataka,3522.8,38.0,Spray,0.0,Groundnut,3423.0
Hassan,Karnataka,3522.8,38.0,Spray,0.0,Groundnut,3899.0
Hassan,Karnataka,3729.8,38.0,Spray,0.0,Groundnut,4015.0
Hassan,Karnataka,3729.8,39.0,Spray,0.0,Groundnut,4279.0
Hassan,Karnataka,3729.8,39.0,Spray,0.0,Groundnut,4167.0
Hassan,Karnataka,2746.2,39.0,Spray,0.0,Blackgram,4479.0
Hassan,Karnataka,2746.2,40.0,Spray,0.0,Blackgram,3699.0
Hassan,Karnataka,2746.2,40.0,Spray,0.0,Blackgram,4904.0
Hassan,Karnataka,3360.0,40.0,Spray,0.0,Blackgram,2821.0
Hassan,Karnataka,3360.0,41.0,Spray,0.0,Blackgram,3472.0
Hassan,Karnataka,3360.0,41.0,Drip,0.0,Blackgram,3647.0
Hassan,Karnataka,3605.4,41.0,Drip,0.0,Blackgram,393.0
Hassan,Karnataka,3605.4,42.0,Drip,0.0,Blackgram,167.0
Hassan,Karnataka,3605.4,42.0,Drip,0.0,Blackgram,71.0
Hassan,Karnataka,3512.4,42.0,Drip,0.0,Blackgram,52.0
Hassan,Karnataka,3512.4,43.0,Drip,0.0,Blackgram,2783.0
Hassan,Karnataka,3296.0,27.0,Drip,0.0,Blackgram,1533.0
Hassan,Karnataka,3296.0,27.0,Drip,0.0,Blackgram,1647.0
Hassan,Karnataka,3296.0,27.0,Drip,0.0,Blackgram,975.0
Hassan,Karnataka,3550.0,27.0,Drip,0.0,Cashew,2.0
Hassan,Karnataka,3550.0,27.0,Drip,0.0,Cashew,836.0
Hassan,Karnataka,3550.0,27.0,Drip,0.0,Cashew,806.0
Hassan,Karnataka,3654.0,27.2,Drip,0.0,Cashew,880.0
Hassan,Karnataka,3654.0,27.2,Drip,0.0,Cashew,770.0
Hassan,Karnataka,3654.0,27.2,Drip,0.0,Cashew,395.0
Hassan,Karnataka,3105.0,27.2,Drip,0.0,Cashew,4247.0
Hassan,Karnataka,3105.0,27.2,Drip,0.0,Cashew,3290.0
Hassan,Karnataka,3105.0,27.2,Drip,0.0,Cashew,3138.0
Hassan,Karnataka,2903.1,27.1,Drip,0.0,Coconut,4015.0
Hassan,Karnataka,2903.1,26.8,Drip,0.0,Coconut,4279.0
Hassan,Karnataka,2903.1,26.8,Drip,0.0,Coconut,4167.0
Hassan,Karnataka,2996.6,26.8,Drip,0.0,Coconut,4479.0
Hassan,Karnataka,2996.6,37.0,Drip,0.0,Coconut,3699.0
Hassan,Karnataka,2996.6,37.0,Drip,0.0,Coconut,4904.0
Hassan,Karnataka,3522.8,37.0,Drip,0.0,Coconut,2821.0
Hassan,Karnataka,3522.8,38.0,Drip,0.0,Coconut,3472.0
Hassan,Karnataka,3522.8,38.0,Drip,0.0,Coconut,3647.0
Hassan,Karnataka,2903.1,38.0,Drip,0.0,Coconut,393.0
Hassan,Karnataka,2903.1,39.0,Drip,0.0,Coconut,167.0
Hassan,Karnataka,2903.1,39.0,Drip,0.0,Coconut,71.0
Hassan,Karnataka,2996.6,39.0,Drip,0.0,Coconut,52.0
Hassan,Karnataka,2996.6,40.0,Drip,0.0,Coconut,2570.0
Hassan,Karnataka,3522.8,41.0,Drip,0.0,Ginger,1402.0
Hassan,Karnataka,3729.8,42.0,Basin,0.0,Ginger,1132.0
Hassan,Karnataka,2746.2,43.0,Basin,0.0,Ginger,804.0
Hassan,Karnataka,3360.0,27.0,Basin,0.0,Ginger,792.0
Hassan,Karnataka,3605.4,27.0,Basin,0.0,Ginger,338.0
Hassan,Karnataka,2903.1,27.0,Drip,0.0,Coconut,2570.0
Hassan,Karnataka,2996.6,27.2,Drip,0.0,Coconut,1402.0
Mangalore,Karnataka,3522.8,27.0,Drip,0.0,Coconut,1132.0
Mangalore,Karnataka,2746.2,27.2,Drip,0.0,Coconut,792.0
Mangalore,Karnataka,3360.0,27.1,Drip,0.0,Coconut,338.0
Mangalore,Karnataka,3605.4,26.8,Drip,0.0,Coconut,404.0
Kodagu,Karnataka,3550.0,38.0,Drip,0.0,Coconut,316.0
Kodagu,Karnataka,3654.0,39.0,Drip,0.0,Coconut,382.0
Kodagu,Karnataka,3105.0,42.0,Drip,0.0,Coconut,291.0
Kodagu,Karnataka,2903.1,43.0,Drip,0.0,Coconut,283.0
Kodagu,Karnataka,2903.1,27.0,Basin,0.0,Coconut,7157.0
Kodagu,Karnataka,2996.6,27.0,Basin,0.0,Coconut,8700.0
Kodagu,Karnataka,2996.6,27.0,Basin,0.0,Coconut,8838.0
Kodagu,Karnataka,3296.0,27.0,Basin,0.0,Coconut,8954.0
Kodagu,Karnataka,3550.0,27.2,Basin,0.0,Coconut,9230.0
Mysuru,Karnataka,3105.0,27.1,Basin,0.0,Coconut,95.0
Mysuru,Karnataka,3105.0,27.1,Basin,0.0,Coconut,19.0
Mysuru,Karnataka,3105.0,27.1,Basin,0.0,Coconut,54.0
Mysuru,Karnataka,2903.1,26.8,Basin,0.0,Coconut,19.0
Mysuru,Karnataka,2903.1,37.0,Basin,0.0,Coconut,32.0
Mysuru,Karnataka,2903.1,37.0,Basin,0.0,Coconut,8.0
Mysuru,Karnataka,2996.6,37.0,Basin,0.0,Coconut,50.0
Mysuru,Karnataka,2996.6,38.0,Basin,0.0,Coconut,10.0
Mysuru,Karnataka,2996.6,38.0,Basin,0.0,Coconut,29.0
Mysuru,Karnataka,2903.1,38.0,Basin,0.0,Coconut,44.0
Mysuru,Karnataka,2903.1,39.0,Basin,0.0,Coconut,33.0
Mysuru,Karnataka,2903.1,39.0,Basin,0.0,Coconut,14.0
Mysuru,Karnataka,2996.6,39.0,Basin,0.0,Coconut,56.0
Mysuru,Karnataka,2996.6,40.0,Basin,0.0,Coconut,26.0
Mysuru,Karnataka,2996.6,40.0,Basin,0.0,Coconut,98.0
Mysuru,Karnataka,3522.8,40.0,Basin,0.0,Coconut,3.0
Mysuru,Karnataka,3512.4,27.2,Spray,0.0,Coconut,2783.0
Mysuru,Karnataka,3512.4,27.2,Spray,0.0,Coconut,1533.0
Mysuru,Karnataka,3296.0,27.0,Spray,0.0,Coconut,1647.0
Mysuru,Karnataka,3296.0,27.0,Spray,0.0,Coconut,975.0
Mysuru,Karnataka,3296.0,27.0,Spray,0.0,Coconut,2.0
Mysuru,Karnataka,3550.0,27.0,Spray,0.0,Coconut,836.0
Mysuru,Karnataka,3550.0,27.0,Spray,0.0,Coconut,806.0
Mysuru,Karnataka,3550.0,27.0,Spray,0.0,Coconut,880.0
Mysuru,Karnataka,3654.0,27.2,Spray,0.0,Coconut,770.0
Mysuru,Karnataka,3654.0,27.2,Spray,0.0,Coconut,395.0
Mysuru,Karnataka,3654.0,27.2,Spray,0.0,Coconut,187.0
Kasaragodu,Karnataka,3105.0,37.0,Spray,0.0,Coconut,3290.0
Kasaragodu,Karnataka,3105.0,37.0,Spray,0.0,Coconut,3138.0
Kasaragodu,Karnataka,3105.0,37.0,Spray,0.0,Coconut,3423.0
Kasaragodu,Karnataka,2903.1,38.0,Spray,0.0,Coconut,4279.0
Kasaragodu,Karnataka,2903.1,39.0,Spray,0.0,Coconut,4167.0
Kasaragodu,Karnataka,2903.1,39.0,Spray,0.0,Coconut,4479.0
Kasaragodu,Karnataka,2996.6,39.0,Spray,0.0,Coconut,3699.0
Kasaragodu,Karnataka,2996.6,41.0,Spray,0.0,Coconut,4904.0
Kasaragodu,Karnataka,2996.6,42.0,Spray,0.0,Coconut,2821.0
Kasaragodu,Karnataka,3522.8,42.0,Spray,0.0,Coconut,3472.0
Kasaragodu,Karnataka,3522.8,42.0,Spray,0.0,Coconut,3647.0
Kasaragodu,Karnataka,3522.8,43.0,Spray,0.0,Coconut,393.0
Kasaragodu,Karnataka,3729.8,43.0,Spray,0.0,Coconut,167.0
Kasaragodu,Karnataka,3729.8,128.0,Spray,0.0,Coconut,71.0
Kasaragodu,Karnataka,3729.8,129.0,Spray,0.0,Coconut,52.0
Kasaragodu,Karnataka,2746.2,130.0,Spray,0.0,Coconut,12.0
Kasaragodu,Karnataka,2746.2,131.0,Spray,0.0,Coconut,51.0
Kasaragodu,Karnataka,2746.2,132.0,Spray,0.0,Coconut,61.0
Kasaragodu,Karnataka,3360.0,133.0,Drip,0.0,Cocoa,67.0
Kasaragodu,Karnataka,3360.0,134.0,Drip,0.0,Cocoa,62.0
Kasaragodu,Karnataka,3360.0,135.0,Drip,0.0,Cocoa,32.0
Kasaragodu,Karnataka,3605.4,136.0,Drip,0.0,Cocoa,22.0
Kasaragodu,Karnataka,3605.4,137.0,Drip,0.0,Cocoa,25.0
Kasaragodu,Karnataka,3605.4,138.0,Drip,0.0,Cocoa,4.0
Raichur,Karnataka,3512.4,139.0,Drip,0.0,Coffee,9.0
Raichur,Karnataka,3512.4,140.0,Drip,0.0,Coffee,12.0
Raichur,Karnataka,3512.4,141.0,Drip,0.0,Coffee,2089.0
Raichur,Karnataka,3296.0,142.0,Drip,0.0,Coffee,2810.0
Raichur,Karnataka,3296.0,143.0,Drip,0.0,Coffee,841.0
Raichur,Karnataka,3296.0,144.0,Drip,0.0,Coffee,3550.0
Raichur,Karnataka,3550.0,145.0,Drip,0.0,Coffee,109.0
Raichur,Karnataka,3550.0,146.0,Drip,0.0,Coffee,3368.0
Raichur,Karnataka,3550.0,147.0,Drip,0.0,Coffee,3671.0
Raichur,Karnataka,3654.0,148.0,Drip,0.0,Coffee,2404.0
Raichur,Karnataka,3654.0,149.0,Drip,0.0,Coffee,2805.0
Raichur,Karnataka,3654.0,150.0,Drip,0.0,Coffee,2331.0
Raichur,Karnataka,2903.1,154.0,Drip,0.0,Cardamum,1871.0
Raichur,Karnataka,2903.1,155.0,Drip,0.0,Cardamum,1868.0
Raichur,Karnataka,2996.6,159.0,Drip,0.0,Cardamum,1901.0
Raichur,Karnataka,3522.8,160.0,Drip,0.0,Cardamum,972.0
Raichur,Karnataka,3522.8,161.0,Drip,0.0,Cardamum,874.0
Raichur,Karnataka,3522.8,162.0,Drip,0.0,Cardamum,592.0
Raichur,Karnataka,3729.8,163.0,Drip,0.0,Cardamum,864.0
Raichur,Karnataka,3729.8,164.0,Drip,0.0,Cardamum,5373.0
Raichur,Karnataka,3729.8,165.0,Drip,0.0,Cardamum,6589.0
Raichur,Karnataka,2746.2,166.0,Drip,0.0,Cardamum,5107.0
Raichur,Karnataka,2746.2,167.0,Drip,0.0,Cardamum,5518.0
Raichur,Karnataka,2746.2,168.0,Drip,0.0,Cardamum,4912.0
Gulbarga,Karnataka,3360.0,169.0,Drip,0.0,Cotton,3830.0
Gulbarga,Karnataka,3360.0,170.0,Drip,0.0,Cotton,4.0
Gulbarga,Karnataka,3360.0,171.0,Drip,0.0,Cotton,9.0
Gulbarga,Karnataka,3605.4,172.0,Drip,0.0,Cotton,12.0
Gulbarga,Karnataka,3605.4,173.0,Drip,0.0,Pepper,2089.0
Gulbarga,Karnataka,3605.4,174.0,Drip,0.0,Pepper,2810.0
Gulbarga,Karnataka,3512.4,175.0,Drip,0.0,Pepper,841.0
Gulbarga,Karnataka,3512.4,176.0,Drip,0.0,Pepper,3550.0
Gulbarga,Karnataka,3512.4,177.0,Basin,0.0,Pepper,109.0
Gulbarga,Karnataka,3296.0,178.0,Basin,0.0,Pepper,3368.0
Gulbarga,Karnataka,3296.0,179.0,Basin,0.0,Pepper,3671.0
Gulbarga,Karnataka,3296.0,180.0,Basin,0.0,Pepper,2404.0
Gulbarga,Karnataka,3550.0,181.0,Basin,0.0,Pepper,2805.0
Gulbarga,Karnataka,3550.0,182.0,Basin,0.0,Pepper,2331.0
Gulbarga,Karnataka,3550.0,183.0,Basin,0.0,Pepper,2088.0
Gulbarga,Karnataka,3654.0,184.0,Basin,0.0,Arecanut,2628.0
Gulbarga,Karnataka,3654.0,185.0,Basin,0.0,Arecanut,1939.0
Gulbarga,Karnataka,3654.0,186.0,Basin,0.0,Arecanut,1871.0
Gulbarga,Karnataka,3105.0,193.0,Basin,0.0,Arecanut,874.0
Gulbarga,Karnataka,3105.0,194.0,Basin,0.0,Arecanut,592.0
Gulbarga,Karnataka,3105.0,195.0,Basin,0.0,Arecanut,864.0
Gulbarga,Karnataka,2903.1,198.0,Basin,0.0,Arecanut,5107.0
Gulbarga,Karnataka,2903.1,199.0,Basin,0.0,Ginger,5518.0
Gulbarga,Karnataka,2903.1,200.0,Basin,0.0,Ginger,4912.0
Gulbarga,Karnataka,2996.6,201.0,Basin,0.0,Ginger,3830.0
Gulbarga,Karnataka,2996.6,202.0,Basin,0.0,Ginger,4.0
Gulbarga,Karnataka,2996.6,203.0,Basin,0.0,Ginger,9.0
Gulbarga,Karnataka,3522.8,204.0,Basin,0.0,Ginger,12.0
Gulbarga,Karnataka,3522.8,205.0,Basin,0.0,Ginger,2089.0
Madikeri,Karnataka,3522.8,206.0,Basin,0.0,Ginger,2810.0
Madikeri,Karnataka,3729.8,207.0,Basin,0.0,Ginger,841.0
Madikeri,Karnataka,3729.8,208.0,Basin,0.0,Ginger,3550.0
Madikeri,Karnataka,3729.8,209.0,Basin,0.0,Ginger,109.0
Madikeri,Karnataka,2746.2,210.0,Basin,0.0,Ginger,3368.0
Madikeri,Karnataka,2746.2,211.0,Basin,0.0,Ginger,3671.0
Madikeri,Karnataka,2746.2,212.0,Basin,0.0,Ginger,2404.0
Madikeri,Karnataka,3360.0,213.0,Basin,0.0,Ginger,2805.0
Madikeri,Karnataka,3360.0,214.0,Basin,0.0,Tea,2331.0
Madikeri,Karnataka,3360.0,215.0,Basin,0.0,Tea,2088.0
Madikeri,Karnataka,3605.4,216.0,Basin,0.0,Tea,2628.0
Madikeri,Karnataka,3605.4,217.0,Basin,0.0,Tea,1939.0
Madikeri,Karnataka,3605.4,218.0,Basin,0.0,Tea,1871.0
Madikeri,Karnataka,3512.4,219.0,Basin,0.0,Tea,1868.0
Madikeri,Karnataka,3296.0,27.0,Spray,0.0,Tea,1901.0
Madikeri,Karnataka,3296.0,27.0,Spray,0.0,Tea,972.0
Madikeri,Karnataka,3550.0,27.0,Spray,0.0,Tea,874.0
Madikeri,Karnataka,3550.0,27.0,Spray,0.0,Tea,592.0
Madikeri,Karnataka,3550.0,27.0,Spray,0.0,Tea,864.0
Madikeri,Karnataka,3654.0,27.2,Spray,0.0,Tea,5373.0
Madikeri,Karnataka,3654.0,27.2,Spray,0.0,Paddy,6589.0
Madikeri,Karnataka,3654.0,27.2,Spray,0.0,Paddy,5107.0
Madikeri,Karnataka,2903.1,27.0,Spray,0.0,Paddy,2783.0
Chikmangaluru,Karnataka,2903.1,27.0,Spray,0.0,Paddy,1533.0
Chikmangaluru,Karnataka,2996.6,27.2,Spray,0.0,Paddy,1647.0
Chikmangaluru,Karnataka,2996.6,27.2,Spray,0.0,Paddy,975.0
Chikmangaluru,Karnataka,2996.6,27.2,Spray,0.0,Paddy,2.0
Chikmangaluru,Karnataka,3522.8,27.1,Spray,0.0,Paddy,836.0
Chikmangaluru,Karnataka,3522.8,27.1,Spray,0.0,Paddy,806.0
Chikmangaluru,Karnataka,3522.8,27.1,Spray,0.0,Paddy,880.0
Chikmangaluru,Karnataka,3729.8,26.8,Spray,0.0,Paddy,770.0
Chikmangaluru,Karnataka,3729.8,26.8,Spray,0.0,Groundnut,395.0
Chikmangaluru,Karnataka,3729.8,26.8,Spray,0.0,Groundnut,187.0
Chikmangaluru,Karnataka,2746.2,37.0,Spray,0.0,Groundnut,187.0
Chikmangaluru,Karnataka,2746.2,37.0,Spray,0.0,Cotton,121.0
Chikmangaluru,Karnataka,2746.2,37.0,Spray,0.0,Cotton,103.0
