B,Cu,EC,Fe,Feature_ID,K,Mn,N,OC,P,S,Scan_Lat,Scan_Lon,Zn,pH,village
0.8,0.54,0.15,1.45,29_524_shc_2024-25.13057,180.0,4.23,435.0,0.76,27.0,18.7,15.830000000000007,75.74399999999822,0.28,7.9,Belur
0.87,0.59,0.16,3.14,29_524_shc_2024-25.12965,258.0,4.32,286.0,0.5,19.0,12.0,15.84000000000001,75.73799999999824,0.53,6.9,Belur
0.64,0.49,0.2,2.71,29_524_shc_2024-25.12966,247.0,3.0,321.0,0.56,16.0,17.7,15.84000000000001,75.73799999999824,0.68,7.3,Belur
0.64,0.59,0.16,2.87,29_524_shc_2024-25.13028,191.0,4.0,310.0,0.54,18.0,19.0,15.84000000000001,75.73799999999824,0.55,6.8,Belur
0.9,0.56,0.17,1.32,29_524_shc_2024-25.13029,180.0,5.31,384.0,0.67,19.0,19.7,15.84000000000001,75.73799999999824,0.44,7.1,Belur
0.71,0.68,0.23,3.76,29_524_shc_2024-25.13080,214.0,3.87,332.0,0.58,16.0,21.0,15.84000000000001,75.73799999999824,0.6,6.9,Belur
1.04,0.39,0.28,2.72,29_524_shc_2024-25.12940,281.0,6.45,304.0,0.53,15.0,21.0,15.842000000000011,75.65199999999844,0.66,7.1,Budihal
0.71,0.55,0.23,0.74,29_524_shc_2024-25.13019,214.0,4.0,338.0,0.59,17.0,26.0,15.842000000000011,75.65199999999844,0.4,7.0,Budihal
0.59,0.5,0.38,2.0,29_524_shc_2024-25.13025,225.0,5.0,298.0,0.52,11.0,24.5,15.842000000000011,75.65199999999844,0.37,7.2,Budihal
0.54,0.47,0.48,1.6,29_524_shc_2024-25.13031,247.0,7.0,315.0,0.55,12.0,19.0,15.842000000000011,75.65199999999844,0.28,7.6,Budihal
0.83,0.43,0.36,2.27,29_524_shc_2024-25.13033,258.0,5.0,292.0,0.51,23.0,19.2,15.842000000000011,75.65199999999844,0.63,7.3,Budihal
0.31,0.47,0.21,0.68,29_524_shc_2024-25.7954,56.0,2.14,212.0,0.37,25.0,16.0,15.844000000000012,75.5419999999987,0.44,7.2,Kittali
0.3,0.73,0.19,0.57,29_524_shc_2024-25.8743,45.0,2.47,206.0,0.36,18.0,19.5,15.844000000000012,75.5419999999987,0.28,7.9,Kittali
1.48,0.44,0.12,0.55,29_524_shc_2024-25.16081,101.0,2.55,149.0,0.26,26.0,12.0,15.844000000000012,75.68799999999835,0.26,6.0,Khyad
4.02,0.14,0.12,0.54,29_524_shc_2024-25.16766,135.0,2.5,102.0,0.17,11.0,10.0,15.844000000000012,75.68799999999835,0.34,5.9,Khyad
3.17,0.26,0.14,0.48,29_524_shc_2024-25.17051,146.0,2.77,149.0,0.26,11.0,10.5,15.844000000000012,75.68799999999835,0.45,5.5,Khyad
1.73,0.26,0.11,0.68,29_524_shc_2024-25.17135,124.0,2.38,161.0,0.28,30.0,7.25,15.844000000000012,75.68799999999835,0.48,6.1,Khyad
2.27,0.17,0.14,0.7,29_524_shc_2024-25.17186,146.0,3.44,172.0,0.3,11.0,12.5,15.844000000000012,75.68799999999835,0.28,5.6,Khyad
0.83,0.29,0.15,2.1,29_524_shc_2024-25.7955,78.0,2.1,258.0,0.45,11.0,10.0,15.844000000000012,75.53599999999871,0.34,7.1,Kalas
0.69,0.57,0.12,1.96,29_524_shc_2024-25.13038,270.0,2.37,338.0,0.59,17.0,17.0,15.844000000000012,75.73799999999824,0.55,6.9,Belur
0.69,0.37,0.17,1.08,29_524_shc_2024-25.9977,259.0,4.0,332.0,0.58,12.0,24.2,15.844000000000012,75.64399999999846,0.47,7.7,Budihal
0.74,0.36,0.17,1.0,29_524_shc_2024-25.9978,315.0,3.76,281.0,0.49,18.0,22.7,15.844000000000012,75.64399999999846,0.33,7.1,Budihal
0.39,0.5,0.16,1.04,29_524_shc_2024-25.9979,292.0,4.0,281.0,0.49,13.0,21.0,15.844000000000012,75.64399999999846,0.26,8.1,Budihal
0.71,0.4,0.15,1.37,29_524_shc_2024-25.13018,270.0,3.78,481.0,0.84,12.0,19.0,15.844000000000012,75.64399999999846,0.39,7.7,Budihal
1.17,0.41,0.16,1.52,29_524_shc_2024-25.13026,405.0,6.6,235.0,0.41,21.0,22.5,15.844000000000012,75.64399999999846,0.21,7.5,Budihal
0.88,0.1,0.08,1.99,29_524_shc_2024-25.15357,195.0,5.79,95.0,0.15,28.0,18.5,15.844000000000012,75.64399999999846,0.41,7.3,Budihal
0.98,0.4,0.33,2.42,29_524_shc_2024-25.15734,292.0,6.78,487.0,0.85,28.0,19.0,15.844000000000012,75.64399999999846,0.39,7.6,Budihal
0.75,0.28,0.11,0.47,29_524_shc_2024-25.16079,138.0,2.92,64.0,0.11,64.0,19.0,15.844000000000012,75.68599999999836,0.17,7.7,Katharaki
0.65,0.28,0.11,0.59,29_524_shc_2024-25.16082,146.0,2.41,154.0,0.27,55.0,15.2,15.844000000000012,75.68599999999836,0.21,7.9,Katharaki
0.64,0.19,0.12,4.05,29_524_shc_2024-25.17129,157.0,4.05,201.0,0.35,32.0,23.5,15.844000000000012,75.68599999999836,0.13,6.9,Katharaki
0.96,0.65,0.07,0.84,29_524_shc_2024-25.17052,101.0,2.48,172.0,0.3,17.0,4.5,15.846000000000013,75.61599999999852,0.37,7.8,Hebballi
0.58,0.37,0.31,2.86,29_524_shc_2024-25.10108,270.0,2.86,275.0,0.48,17.0,19.0,15.846000000000013,75.73399999999825,0.55,7.2,Dhanakashirur
0.47,0.81,0.17,0.48,29_524_shc_2024-25.9458,67.0,2.33,235.0,0.41,34.0,23.2,15.846000000000013,75.5379999999987,0.37,7.5,Kittali
0.71,0.62,0.3,3.46,29_524_shc_2024-25.12954,247.0,3.76,263.0,0.46,12.0,22.2,15.846000000000013,75.73399999999825,0.46,7.3,Dhanakashirur
1.37,1.15,0.25,4.13,29_524_shc_2024-25.13013,281.0,8.69,252.0,0.44,22.0,17.0,15.846000000000013,75.73399999999825,0.43,7.2,Dhanakashirur
1.08,1.33,0.24,2.37,29_524_shc_2024-25.13014,326.0,4.98,269.0,0.47,23.0,12.0,15.846000000000013,75.73399999999825,0.39,7.5,Dhanakashirur
0.76,0.6,0.28,3.4,29_524_shc_2024-25.13015,247.0,4.0,275.0,0.48,17.0,19.0,15.846000000000013,75.73399999999825,0.47,6.9,Dhanakashirur
0.81,0.74,0.29,2.86,29_524_shc_2024-25.13036,270.0,2.77,252.0,0.44,12.0,22.0,15.846000000000013,75.73399999999825,0.47,7.1,Dhanakashirur
0.82,0.48,0.27,2.38,29_524_shc_2024-25.13045,292.0,5.19,292.0,0.51,24.0,18.7,15.846000000000013,75.73399999999825,0.58,7.3,Dhanakashirur
0.96,0.62,0.26,2.88,29_524_shc_2024-25.13048,292.0,6.94,321.0,0.56,40.0,16.5,15.846000000000013,75.73399999999825,0.69,7.1,Dhanakashirur
0.71,0.66,0.26,2.6,29_524_shc_2024-25.13049,213.0,5.19,418.0,0.73,22.0,19.5,15.846000000000013,75.73399999999825,0.77,7.2,Dhanakashirur
0.84,0.46,0.31,2.7,29_524_shc_2024-25.13050,236.0,3.76,224.0,0.39,18.0,24.3,15.846000000000013,75.73399999999825,0.33,7.0,Dhanakashirur
0.84,0.37,0.26,2.76,29_524_shc_2024-25.13064,258.0,3.76,275.0,0.48,12.0,21.0,15.846000000000013,75.73399999999825,0.88,6.9,Dhanakashirur
0.76,0.49,0.23,2.86,29_524_shc_2024-25.13065,202.0,4.0,269.0,0.47,16.0,22.0,15.846000000000013,75.73399999999825,0.47,7.0,Dhanakashirur
0.89,0.55,0.32,3.4,29_524_shc_2024-25.13066,258.0,2.87,263.0,0.46,17.0,7.2,15.846000000000013,75.73399999999825,0.26,7.8,Dhanakashirur
0.64,0.27,0.16,0.87,29_524_shc_2024-25.15356,236.0,2.76,64.0,0.11,31.0,16.7,15.846000000000013,75.73399999999825,0.22,6.5,Dhanakashirur
0.54,0.86,0.25,1.49,29_524_shc_2024-25.10105,168.0,3.89,252.0,0.44,11.0,19.0,15.852000000000015,75.65599999999843,0.46,6.9,Neeralagi
0.49,0.96,0.3,1.87,29_524_shc_2024-25.12947,180.0,4.0,263.0,0.46,18.0,20.2,15.852000000000015,75.65599999999843,0.29,7.2,Neeralagi
1.25,1.47,0.29,3.99,29_524_shc_2024-25.12951,168.0,8.45,235.0,0.41,12.0,21.5,15.852000000000015,75.65599999999843,0.26,7.2,Neeralagi
0.9,1.0,0.34,3.56,29_524_shc_2024-25.13011,123.0,8.73,246.0,0.43,36.0,22.2,15.852000000000015,75.65599999999843,0.48,6.7,Neeralagi
0.54,0.2,0.28,2.18,29_524_shc_2024-25.13012,146.0,4.0,235.0,0.41,13.0,21.0,15.852000000000015,75.65599999999843,0.46,7.1,Neeralagi
0.58,0.37,0.39,1.5,29_524_shc_2024-25.13063,157.0,4.26,275.0,0.48,12.0,21.0,15.852000000000015,75.65599999999843,0.37,6.5,Neeralagi
0.41,0.29,0.09,0.57,29_524_shc_2024-25.1186,101.0,1.45,172.0,0.3,30.0,16.7,15.854000000000015,75.53599999999871,0.47,7.1,Kittali
0.34,0.29,0.07,0.96,29_524_shc_2024-25.1187,90.0,2.0,178.0,0.31,18.0,20.2,15.854000000000015,75.53599999999871,0.61,7.2,Kittali
0.45,0.47,0.11,0.69,29_524_shc_2024-25.7983,90.0,1.55,195.0,0.34,37.0,8.5,15.854000000000015,75.53599999999871,0.34,7.0,Kittali
0.65,0.29,0.05,0.73,29_524_shc_2024-25.7985,90.0,1.46,103.0,0.18,9.0,20.5,15.854000000000015,75.53599999999871,0.47,7.2,Kittali
0.57,0.47,0.08,0.97,29_524_shc_2024-25.8007,101.0,1.89,166.0,0.29,41.0,21.0,15.854000000000015,75.53599999999871,0.57,6.8,Kittali
0.51,0.48,0.09,0.44,29_524_shc_2024-25.8805,135.0,1.26,149.0,0.26,26.0,9.0,15.854000000000015,75.53599999999871,0.48,7.1,Kittali
0.43,0.47,0.06,0.68,29_524_shc_2024-25.11643,56.0,1.39,69.0,0.12,13.0,25.5,15.854000000000015,75.53599999999871,0.39,6.8,Kittali
0.78,0.92,0.19,1.68,29_524_shc_2024-25.12945,191.0,2.71,178.0,0.31,15.0,34.2,15.856000000000016,75.59999999999856,0.34,8.0,Hebballi
2.73,0.36,0.1,0.36,29_524_shc_2024-25.19320,90.0,1.84,82.0,0.14,83.0,4.5,15.860000000000017,75.77599999999815,0.29,7.1,Hosur
0.7,0.34,0.11,0.28,29_524_shc_2024-25.19321,222.0,2.04,79.0,0.13,32.0,14.0,15.860000000000017,75.81799999999805,0.26,6.7,Guddada Mallapur
0.45,0.38,0.21,1.18,29_524_shc_2024-25.1488,168.0,2.48,263.0,0.46,24.0,5.5,15.86600000000002,75.52799999999873,0.86,7.7,Kalas
0.37,0.47,0.27,0.34,29_524_shc_2024-25.9276,112.0,2.76,155.0,0.27,43.0,7.0,15.86600000000002,75.52799999999873,0.52,7.9,Kalas
0.76,0.46,0.15,1.4,29_524_shc_2024-25.12926,202.0,3.46,235.0,0.41,12.0,20.2,15.872000000000021,75.52399999999874,0.4,7.6,Wadawatti
0.36,0.48,0.08,1.48,29_524_shc_2024-25.19326,90.0,2.76,166.0,0.29,24.0,15.0,15.872000000000021,75.55799999999866,0.48,7.2,Belawalakoppa
0.88,1.89,0.15,2.1,29_524_shc_2024-25.13928,202.0,2.6,206.0,0.36,18.0,47.7,15.872000000000021,75.59799999999856,0.49,7.0,Lakhamapur
0.39,0.55,0.06,0.36,29_524_shc_2024-25.13929,67.0,2.65,69.0,0.12,22.0,6.5,15.874000000000022,75.49999999999879,0.22,6.4,Govanakoppa
0.43,0.29,0.12,0.93,29_524_shc_2024-25.1377,90.0,1.8,183.0,0.32,91.0,6.75,15.882000000000025,75.65799999999842,0.37,6.9,Yaragoppa.S.B
0.52,0.28,0.11,0.84,29_524_shc_2024-25.8275,67.0,1.74,189.0,0.33,35.0,5.0,15.882000000000025,75.65799999999842,0.29,6.6,Yaragoppa.S.B
0.67,0.16,0.11,0.73,29_524_shc_2024-25.8580,101.0,1.86,206.0,0.36,70.0,5.75,15.882000000000025,75.65799999999842,0.18,7.1,Yaragoppa.S.B
0.36,0.36,0.1,0.35,29_524_shc_2024-25.7805,146.0,3.0,183.0,0.32,75.0,4.25,15.886000000000026,75.65799999999842,0.36,6.4,Yaragoppa.S.B
0.59,0.28,0.08,0.28,29_524_shc_2024-25.8581,123.0,2.48,212.0,0.37,45.0,5.25,15.886000000000026,75.65799999999842,0.48,7.5,Yaragoppa.S.B
0.34,0.37,0.09,0.37,29_524_shc_2024-25.9311,101.0,2.63,189.0,0.33,39.0,2.5,15.886000000000026,75.65799999999842,0.47,6.9,Yaragoppa.S.B
0.88,0.39,0.18,1.37,29_524_shc_2024-25.12937,202.0,2.66,235.0,0.41,11.0,34.7,15.888000000000027,75.49199999999881,0.47,7.2,Beeranur
0.84,0.87,0.15,3.4,29_524_shc_2024-25.16875,180.0,2.44,235.0,0.41,18.0,34.0,15.888000000000027,75.51799999999875,0.56,6.7,Kulageri
0.76,1.08,0.18,2.71,29_524_shc_2024-25.16876,191.0,2.87,263.0,0.46,16.0,31.0,15.888000000000027,75.51799999999875,0.39,6.9,Kulageri
0.74,1.13,0.18,3.46,29_524_shc_2024-25.17292,191.0,3.46,235.0,0.41,16.0,32.7,15.888000000000027,75.51799999999875,0.54,7.8,Kulageri
0.81,1.12,0.15,2.84,29_524_shc_2024-25.17484,202.0,2.55,263.0,0.46,12.0,31.0,15.888000000000027,75.51799999999875,0.46,6.9,Kulageri
0.85,0.36,0.1,0.73,29_524_shc_2024-25.7809,236.0,2.7,155.0,0.27,65.0,7.5,15.888000000000027,75.65399999999843,0.79,8.2,Yaragoppa.S.B
0.44,0.6,0.14,0.43,29_524_shc_2024-25.7812,56.0,3.48,143.0,0.25,13.0,8.75,15.888000000000027,75.65399999999843,0.63,7.5,Yaragoppa.S.B
0.69,0.73,0.14,0.88,29_524_shc_2024-25.8434,78.0,2.87,132.0,0.23,43.0,5.75,15.888000000000027,75.65399999999843,0.54,7.7,Yaragoppa.S.B
0.59,0.52,0.07,0.38,29_524_shc_2024-25.13922,135.0,2.88,194.0,0.34,21.0,3.25,15.888000000000027,75.50199999999879,0.47,6.6,Govanakoppa
0.64,0.91,0.12,0.63,29_524_shc_2024-25.8587,90.0,3.08,138.0,0.24,49.0,7.5,15.888000000000027,75.65399999999843,0.48,7.7,Yaragoppa.S.B
0.89,0.54,0.15,0.37,29_524_shc_2024-25.9005,67.0,2.89,155.0,0.27,56.0,7.5,15.888000000000027,75.65399999999843,0.54,7.7,Yaragoppa.S.B
0.58,0.8,0.13,0.37,29_524_shc_2024-25.9007,90.0,2.18,183.0,0.32,32.0,10.0,15.888000000000027,75.65399999999843,0.74,7.9,Yaragoppa.S.B
0.46,0.27,0.1,0.7,29_524_shc_2024-25.9010,101.0,3.88,241.0,0.42,68.0,6.0,15.888000000000027,75.65399999999843,0.68,7.7,Yaragoppa.S.B
0.59,0.28,0.12,0.28,29_524_shc_2024-25.9316,112.0,1.89,149.0,0.26,46.0,12.7,15.888000000000027,75.65399999999843,0.68,7.5,Yaragoppa.S.B
0.63,0.8,0.14,0.52,29_524_shc_2024-25.9320,78.0,2.08,155.0,0.27,17.0,7.25,15.888000000000027,75.65399999999843,0.29,8.1,Yaragoppa.S.B
0.87,0.71,0.14,0.39,29_524_shc_2024-25.9604,67.0,2.87,149.0,0.26,64.0,9.0,15.888000000000027,75.65399999999843,0.28,7.8,Yaragoppa.S.B
0.41,0.29,0.13,0.54,29_524_shc_2024-25.1383,135.0,2.18,212.0,0.37,37.0,21.0,15.890000000000027,75.6699999999984,0.31,7.6,Yaragoppa.S.B
0.52,0.68,0.12,0.56,29_524_shc_2024-25.1388,135.0,3.0,178.0,0.31,3.0,13.7,15.890000000000027,75.6699999999984,0.29,7.5,Yaragoppa.S.B
0.49,0.42,0.13,0.68,29_524_shc_2024-25.8437,135.0,3.0,155.0,0.27,7.0,16.7,15.890000000000027,75.6699999999984,0.36,7.8,Yaragoppa.S.B
0.75,0.36,0.1,0.39,29_524_shc_2024-25.8441,135.0,2.71,235.0,0.41,38.0,21.7,15.890000000000027,75.6699999999984,0.28,7.4,Yaragoppa.S.B
0.61,0.54,0.09,0.39,29_524_shc_2024-25.8593,90.0,2.97,206.0,0.36,8.0,11.7,15.890000000000027,75.6699999999984,0.41,7.6,Yaragoppa.S.B
0.67,0.38,0.11,0.54,29_524_shc_2024-25.9564,101.0,2.86,224.0,0.39,8.0,17.7,15.890000000000027,75.6699999999984,0.18,7.5,Yaragoppa.S.B
0.8,0.37,0.18,0.39,29_524_shc_2024-25.9926,90.0,3.68,223.0,0.39,16.0,20.7,15.890000000000027,75.6699999999984,0.29,7.4,Yaragoppa.S.B
0.45,0.63,0.13,1.81,29_524_shc_2024-25.17169,90.0,5.28,155.0,0.27,22.0,4.5,15.890000000000027,75.49199999999881,0.56,6.9,Beeranur
0.41,0.18,0.1,0.86,29_524_shc_2024-25.1381,101.0,2.47,172.0,0.3,11.0,7.5,15.890000000000027,75.65599999999843,0.17,7.8,Yaragoppa.S.B
0.65,0.26,0.1,0.42,29_524_shc_2024-25.1382,78.0,2.46,224.0,0.39,56.0,8.0,15.890000000000027,75.65599999999843,0.48,7.2,Yaragoppa.S.B
0.72,0.14,0.13,0.36,29_524_shc_2024-25.8432,90.0,2.88,166.0,0.29,10.0,5.0,15.890000000000027,75.65599999999843,0.28,7.6,Yaragoppa.S.B
0.56,0.13,0.11,0.26,29_524_shc_2024-25.8583,78.0,2.71,212.0,0.37,6.0,13.5,15.890000000000027,75.65599999999843,0.37,7.7,Yaragoppa.S.B
0.26,0.26,0.11,0.39,29_524_shc_2024-25.9312,90.0,2.68,178.0,0.31,19.0,11.2,15.890000000000027,75.65599999999843,0.36,7.1,Yaragoppa.S.B
0.64,1.03,0.22,0.43,29_524_shc_2024-25.4877,933.0,2.49,183.0,0.32,8.0,29.0,15.894000000000029,75.50599999999878,0.23,7.5,Khanapur S.K.
0.54,0.84,0.4,0.77,29_524_shc_2024-25.16537,79.0,1.77,361.0,0.63,13.0,20.5,15.894000000000029,75.57399999999862,0.36,7.5,Timmapur S.N.
0.52,0.36,0.2,0.73,29_524_shc_2024-25.13412,157.0,2.86,57.0,0.1,27.0,30.7,15.894000000000029,76.11399999999736,0.7,7.9,Chickkodagali
0.44,0.78,0.18,0.29,29_524_shc_2024-25.519,258.0,2.86,79.0,0.13,16.0,89.2,15.89600000000003,75.50799999999877,0.12,8.7,Khanapur S.K.
0.77,0.73,0.18,0.33,29_524_shc_2024-25.620,304.0,2.5,58.0,0.1,12.0,33.2,15.89600000000003,75.50599999999878,0.18,8.3,Khanapur S.K.
0.44,0.68,0.14,0.68,29_524_shc_2024-25.17865,90.0,2.0,60.0,0.1,25.0,7.0,15.89800000000003,75.4539999999989,0.32,7.9,Haganur
0.9,0.76,0.22,0.34,29_524_shc_2024-25.4774,225.0,2.49,64.0,0.11,14.0,27.5,15.89800000000003,75.51399999999876,0.36,8.9,Kulageri
0.83,0.71,0.18,0.29,29_524_shc_2024-25.4780,304.0,2.27,69.0,0.12,14.0,34.5,15.90000000000003,75.51599999999875,0.13,7.9,Kulageri
0.84,1.19,0.23,0.67,29_524_shc_2024-25.584,596.0,3.08,79.0,0.13,26.0,36.0,15.902000000000031,75.51599999999875,0.23,8.3,Kulageri
0.93,1.24,0.18,0.36,29_524_shc_2024-25.4866,461.0,4.8,92.0,0.16,22.0,30.5,15.902000000000031,75.51599999999875,0.27,8.4,Kulageri
2.83,0.32,0.11,0.38,29_524_shc_2024-25.7929,67.0,1.48,149.0,0.26,13.0,8.0,15.902000000000031,75.67199999999839,0.24,7.5,Badami (Rural) *
2.88,0.36,0.08,0.42,29_524_shc_2024-25.8724,90.0,1.55,120.0,0.21,17.0,3.0,15.902000000000031,75.67199999999839,0.29,7.1,Badami (Rural) *
2.29,0.42,0.09,0.48,29_524_shc_2024-25.8770,101.0,2.29,155.0,0.27,52.0,5.5,15.902000000000031,75.67199999999839,0.32,7.1,Badami (Rural) *
0.26,0.47,0.12,0.18,29_524_shc_2024-25.8795,180.0,2.89,155.0,0.27,61.0,15.5,15.902000000000031,76.10799999999738,0.47,7.7,Sankalapur
0.57,0.34,0.2,0.24,29_524_shc_2024-25.13310,213.0,2.77,92.0,0.16,22.0,70.7,15.902000000000031,76.10799999999738,0.37,8.0,Sankalapur
0.55,0.47,0.17,0.34,29_524_shc_2024-25.16106,124.0,3.0,212.0,0.37,12.0,26.0,15.902000000000031,76.10799999999738,0.4,8.3,Sankalapur
0.24,0.58,0.3,0.5,29_524_shc_2024-25.17074,146.0,2.55,79.0,0.13,11.0,63.2,15.902000000000031,76.10799999999738,0.32,7.8,Sankalapur
0.38,0.37,0.12,0.42,29_524_shc_2024-25.17149,191.0,3.41,92.0,0.16,55.0,62.7,15.902000000000031,76.10799999999738,0.32,8.4,Sankalapur
0.8,0.68,0.19,0.28,29_524_shc_2024-25.17073,123.0,2.36,69.0,0.12,54.0,56.5,15.902000000000031,76.10599999999738,0.38,8.3,Sankalapur
0.6,0.31,0.16,1.24,29_524_shc_2024-25.15340,292.0,2.46,149.0,0.26,8.0,22.7,15.904000000000032,75.4939999999988,0.24,7.4,Chirlakoppa
0.69,0.26,0.18,1.28,29_524_shc_2024-25.15348,225.0,2.18,109.0,0.19,22.0,19.0,15.904000000000032,75.4939999999988,0.22,7.9,Chirlakoppa
0.72,0.31,0.18,1.14,29_524_shc_2024-25.15351,270.0,2.38,161.0,0.28,22.0,25.2,15.904000000000032,75.4939999999988,0.17,7.3,Chirlakoppa
0.34,0.53,0.14,0.88,29_524_shc_2024-25.9293,213.0,3.1,201.0,0.35,47.0,55.5,15.904000000000032,76.10599999999738,0.41,8.4,Sankalapur
2.19,0.26,0.08,0.37,29_524_shc_2024-25.10417,123.0,1.96,103.0,0.18,10.0,9.25,15.906000000000033,75.65599999999843,0.3,7.4,Badami (Rural) *
0.34,0.47,0.14,0.97,29_524_shc_2024-25.17146,168.0,2.7,349.0,0.6,48.0,20.2,15.906000000000033,76.10399999999738,0.28,8.1,Sankalapur
0.48,0.2,0.17,1.1,29_524_shc_2024-25.4575,393.0,3.51,138.0,0.24,22.0,25.7,15.912000000000035,75.52399999999874,0.17,8.7,Somanakoppa
0.71,0.24,0.16,1.1,29_524_shc_2024-25.17673,202.0,2.64,114.0,0.2,59.0,15.7,15.916000000000036,75.4519999999989,0.11,7.8,Karalakoppa
